swe1_id	row	source	anchor	quoted	asserted_by	candidate	axis	feasible	note
SWE1-Diagnostics-010	17	CFTS004-INFO	CFTS004-4940345	Radios without navigation shall not function with this DID.	NR1L-DIAG-223	NR1L-DIAG-223(Revise)	節內補充	N	配置相依（無導航機種），不在本次受測配置
SWE1-Diagnostics-011	18	037-VM	037 row 18 VM	state 3)Perform HMI functional testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-224;NR1L-DIAG-225	已斷言，不另產	enable／disable 態軸	Y	037 VM 之情境 ＋ 同 DID Read 節 CFTS004-4939956（引兩錨）
SWE1-Diagnostics-011	18	037-VM	037 row 18 VM	testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-224;NR1L-DIAG-225	已斷言，不另產	逾時軸	Y	已由 `-012`／`NR1L-DIAG-226`（5 s timeout）斷言
SWE1-Diagnostics-011	18	CFTS004-INFO	CFTS004-4940345	Radios without navigation shall not function with this DID.	NR1L-DIAG-224;NR1L-DIAG-225		節內補充	N	配置相依（無導航機種），不在本次受測配置
SWE1-Diagnostics-012	19	037-VM	037 row 19 VM	state 3)Perform HMI functional testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-226	已斷言，不另產	enable／disable 態軸	Y	037 VM 之情境 ＋ 同 DID Read 節 CFTS004-4939956（引兩錨）
SWE1-Diagnostics-012	19	037-VM	037 row 19 VM	testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-226	已斷言，不另產	逾時軸	Y	已由 `-012`／`NR1L-DIAG-226`（5 s timeout）斷言
SWE1-Diagnostics-012	19	CFTS004-INFO	CFTS004-4940345	Radios without navigation shall not function with this DID.	NR1L-DIAG-226		節內補充	N	配置相依（無導航機種），不在本次受測配置
SWE1-Diagnostics-022	29	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-433		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-023	30	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-434;NR1L-DIAG-435		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-024	31	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-436		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-025	32	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-437		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-026	33	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-438;NR1L-DIAG-439		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-027	34	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-440		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-028	35	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-441;NR1L-DIAG-442;NR1L-DIAG-443;NR1L-DIAG-444;NR1L-DIAG-445		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-029	36	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-446;NR1L-DIAG-447		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-030	37	CFTS004-INFO	CFTS004-4939807	Unless otherwise noted, the HU shall report the status of the following items as reported by the Sirius XM chipset when requested by this DID.	NR1L-DIAG-448		節內補充	N	引言句 —— 其列表未隨 CFTS004 匯出帶出，無列舉內容可斷言（DR-DIAG-5）
SWE1-Diagnostics-035	42	CFTS004-INFO	CFTS004-4940338	The frequency shall be calculated based on the starting frequency of the current band (F), the frequency step size of the current band (S) and the step number contained in the diag	NR1L-DIAG-195	NR1L-DIAG-556	節內補充	P	**候選並已產出** —— F／S 之值未載，以佔位書寫
SWE1-Diagnostics-036	43	CFTS004-INFO	CFTS004-4940338	The frequency shall be calculated based on the starting frequency of the current band (F), the frequency step size of the current band (S) and the step number contained in the diag	NR1L-DIAG-196;NR1L-DIAG-197		節內補充	P	**候選並已產出** —— F／S 之值未載，以佔位書寫
SWE1-Diagnostics-037	44	CFTS004-INFO	CFTS004-4940338	The frequency shall be calculated based on the starting frequency of the current band (F), the frequency step size of the current band (S) and the step number contained in the diag	NR1L-DIAG-198		節內補充	P	**候選並已產出** —— F／S 之值未載，以佔位書寫
SWE1-Diagnostics-052	59	CFTS004-INFO	CFTS004-4939683	The following data shall be readable from and writeable to this DID:	NR1L-DIAG-018;NR1L-DIAG-019		節內補充	N	引言句 —— 列表未帶出
SWE1-Diagnostics-053	60	CFTS004-INFO	CFTS004-4939683	The following data shall be readable from and writeable to this DID:	NR1L-DIAG-020;NR1L-DIAG-021		節內補充	N	引言句 —— 列表未帶出
SWE1-Diagnostics-054	61	037-VC	037 row 61 VC	requested by this DID, the radio shall report the status of the following push buttons: Power, Up, Down, Select, Dark, Mute, Back, Radio, Player, Nav,	NR1L-DIAG-043	已斷言，不另產	逐欄位軸	Y	已由「每 037 列一子欄位」或 ER §6.1 逐項斷言
SWE1-Diagnostics-057	64	CFTS004-INFO	CFTS004-4939627	"The document, ""CIP Screen Test Patterns"" shall define test patterns."	NR1L-DIAG-014		節內補充	N	外部缺件（已以 `<test pattern byte>` 佔位）
SWE1-Diagnostics-073	80	037-VC	037 row 80 VC	to +9 (including neutral 0) are accepted; values outside this range are rejected with appropriate NRC. || Unit, integration, and diagnostic tool-base	NR1L-DIAG-152;NR1L-DIAG-153	已斷言，不另產	邊界軸	Y	已由 BVA sibling 斷言
SWE1-Diagnostics-076	83	037-VM	037 row 83 VM	ic tool-based testing to validate write behavior, boundary handling, and error responses.	NR1L-DIAG-157	已斷言，不另產	邊界軸	Y	已由 BVA sibling 斷言
SWE1-Diagnostics-082	89	037-VC	037 row 89 VC	e step values within 0 to 38 are accepted; values outside this range are rejected with appropriate NRC without affecting system state. || Unit, integr	NR1L-DIAG-165;NR1L-DIAG-166	已斷言，不另產	邊界軸	Y	已由 BVA sibling 斷言
SWE1-Diagnostics-085	92	037-VM	037 row 92 VM	ic tool-based testing to validate write behavior, boundary handling, and error responses.	NR1L-DIAG-170	已斷言，不另產	邊界軸	Y	已由 BVA sibling 斷言
SWE1-Diagnostics-109	116	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-057		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-109	116	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-057	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-110	117	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-058;NR1L-DIAG-059		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-110	117	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-058;NR1L-DIAG-059	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-111	118	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-060		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-111	118	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-060	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-112	119	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-006		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-112	119	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-006	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-113	120	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-007;NR1L-DIAG-008		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-113	120	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-007;NR1L-DIAG-008	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-114	121	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-061		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-114	121	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-061	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-115	122	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-062	NR1L-DIAG-554	節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-115	122	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-062	NR1L-DIAG-554	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-116	123	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-063;NR1L-DIAG-064		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-116	123	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-063;NR1L-DIAG-064	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-117	124	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-065		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-117	124	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-065	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-118	125	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-066		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-118	125	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-066	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-119	126	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-067;NR1L-DIAG-068		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-119	126	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-067;NR1L-DIAG-068	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-120	127	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-069		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-120	127	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-069	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-121	128	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-070		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-121	128	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-070	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-122	129	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-071;NR1L-DIAG-072		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-122	129	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-071;NR1L-DIAG-072	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-123	130	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-073		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-123	130	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-073	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-124	131	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-074		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-124	131	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-074	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-125	132	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-075;NR1L-DIAG-076		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-125	132	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-075;NR1L-DIAG-076	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-126	133	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-077		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-126	133	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-077	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-127	134	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-078		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-127	134	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-078	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-128	135	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-079;NR1L-DIAG-080		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-128	135	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-079;NR1L-DIAG-080	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-129	136	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-081		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-129	136	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-081	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-130	137	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-082		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-130	137	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-082	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-131	138	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-083;NR1L-DIAG-084		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-131	138	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-083;NR1L-DIAG-084	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-132	139	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-085		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-132	139	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-085	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-133	140	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-086		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-133	140	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-086	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-134	141	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-087;NR1L-DIAG-088		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-134	141	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-087;NR1L-DIAG-088	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-135	142	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-089		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-135	142	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-089	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-136	143	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-090		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-136	143	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-090	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-137	144	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-091;NR1L-DIAG-092		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-137	144	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-091;NR1L-DIAG-092	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-138	145	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-093		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-138	145	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-093	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-139	146	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-094		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-139	146	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-094	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-140	147	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-095;NR1L-DIAG-096		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-140	147	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-095;NR1L-DIAG-096	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-141	148	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-097		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
SWE1-Diagnostics-141	148	CFTS004-INFO	CFTS004-4940293	The Externally generated tone - input signal shall be applied to the AV1 analog audio input (aux). Note: this tone shall not be functional with the speaker quadrant selection; this	NR1L-DIAG-097	已斷言，不另產	節內補充	Y	**候選並已產出** —— 補充已引之 4940296（R-DIAG23(c)）
SWE1-Diagnostics-142	149	CFTS004-INFO	CFTS004-4940284	The following tones shall be selectable in this DID:	NR1L-DIAG-098		節內補充	N	引言句 —— 列表未帶出（DR-DIAG-4 已載）
