# source_sha256	c98909e2c15eb0a02e1ab99f25c4c7bd77226fbd5f29842088bbe06f9f0f2afd	 sheet	Analysis Report
STLA 報告_SWRA\nSTLA Report_SWRA																	
SWE1-VC-RainSensor-016	Sys-RA-VF665_V42_VSM-601	Rain Sensor	The HMI layer shall request the Rain_Sensor PROXI configuration from VehicleConfigManager. \nVehicleConfigManager shall obtain the configuration from VehicleConfigService, which retrieves and validates the value. \nThe configuration response shall be returned to the HMI. \n\nWhen the HMI receives the value "Absent" via the $Rain_Sensor$ signal,\nit shall not display the Rain Sensor menu item and the customer shall not be able to perform any setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	* Set/simualte “Rain_Sensor” PROXI parameter is not equal to "absent".\n*Check  TLM shall not display the Rain Sensor menu item and the user can not perform any setting.	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-RainSensor-017	Sys-RA-VF665_V42_VSM-602	Rain Sensor	The HW supplier shall provide the IPC_VEHICLE_SETUP.RainSensorLevel signal to the Android Automotive framework through the vehicle communication network and the VHAL interface. VHAL shall forward the updated Rain Sensor property value to PropertyHalService, which shall notify CarPropertyService. CarPropertyService shall update CarPropertyManager, and CarPropertyManager shall notify the application layer through the registered property callback.\n\nWhen the HMI receives the value via the $IPC_VEHICLE_SETUP.RainSensorLevel$ signal, the HMI shall update the Rain Sensor status information on the display through the TLM_Vehicle_Setup_Menu.Info internal signal within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-Units-018	Sys-RA-VF665_V42_VSM-645	Units	Units	1.00.00	Heading												
SWE1-VC-Units-019	Sys-RA-VF665_V42_VSM-646	Units	The HMI layer shall send a request to VehicleConfigManager to retrieve the CAN node PROXI configuration status relevant to unit measurement packages.\nVehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the configuration status.\nThe retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nHMI receives the value as "Present" via the configuration signal.\nThe HMI shall display the Unit Custom setting in the Vehicle Settings menu and allow the customer to modify the measurement units setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-Distance-020	Sys-RA-VF665_V42_VSM-647	Distance	Distance	1.00.00	Heading												
SWE1-VC-Distance-021	Sys-RA-VF665_V42_VSM-648	Distance	The HMI layer shall send a request to VehicleConfigManager to retrieve the Odo_Units_Change PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the configuration status. The retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nWhen the HMI receives the value "Absent" via the $Odo_Units_Change$ signal, the HMI shall not display the Distance Measurement Unit menu item and the customer shall not be able to perform any setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	 *setting.Set/simulate “Odo_Units_Change” PROXI parameter is equal to absent”.\n*Check TLM shall not display the Distance Measurement Unit item and the user shall can not be able to perform any setting.	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-Distance-022	Sys-RA-VF665_V42_VSM-649	Distance	The HMI layer shall send a request to VehicleConfigManager to retrieve the Odo_Units_Change PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the configuration status. The retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nWhen the HMI receives the value "Present" via the $Odo_Units_Change$ signal, the HMI shall display the Distance Measurement Unit menu item and allow the customer to modify the setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	 *setting.Set/simulate “Odo_Units_Change” PROXI parameter is equal to present”.\n*Check TLM shall display the Distance Measurement Unit item and the user shall can be able to perform any setting.	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-Distance-023	Sys-RA-VF665_V42_VSM-650	Distance	When the customer selects Km, the HMI layer shall send the updated customer preference to CarPropertyManager through the Android Car API.\n CarPropertyManager shall invoke setProperty() with propId = DistanceUnit_Req and value = Km.\n CarPropertyService shall forward the request to PropertyHalService, which shall pass the property to VHAL. \nVHAL shall transmit the updated TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req signal to the IPC through the vehicle communication interface.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-Distance-024	Sys-RA-VF665_V42_VSM-651	Distance	When the customer selects Miles, the HMI layer shall send the updated customer preference to CarPropertyManager through the Android Car API. CarPropertyManager shall invoke setProperty() with propId = DistanceUnit_Req and value = Miles. CarPropertyService shall forward the request to PropertyHalService, \nwhich shall pass the property to VHAL. VHAL shall transmit the updated TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req signal to the IPC through the vehicle communication interface.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-Distance-025	Sys-RA-VF665_V42_VSM-652	Distance	The HW supplier shall provide the IPC_VEHICLE_SETUP.DistanceUnit signal to the Android Automotive layer through the vehicle communication network and VHAL.\n VHAL shall forward the updated property to PropertyHalService, which shall update CarPropertyService. \nCarPropertyService shall notify CarPropertyManager, and the application shall receive the property change callback.\n\n When the HMI receives the $IPC_VEHICLE_SETUP.DistanceUnit$ signal, \nit shall update the Distance Measurement Unit information on the display through TLM_Vehicle_Setup_Menu.Info.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-FuelConsumption-026	Sys-RA-VF665_V42_VSM-653	Fuel Consumption	Fuel Consumption	1.00.00	Heading												
SWE1-VC-FuelConsumption-027	Sys-RA-VF665_V42_VSM-654	Fuel Consumption	The HMI layer shall send a request to VehicleConfigManager to retrieve the Fuel_Type PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the vehicle fuel type configuration. The retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nHMI receives the value via signal,\n$Fuel_Type$.\n\nWhen the Fuel_Type PROXI parameter is different from CNG or GPL, the HMI/TLM shall display the Consumption Measurement Unit menu item in the Vehicle Settings menu and allow the customer to modify the setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
