gate_id	owner	criterion	source_ruling	effective_date	granularity	status	scope	selfcheck_items	hit_rounds	hits_total	hits_recent	retire_candidate	retired
ledger_series	lint_docs036	台帳系列前綴之一致	未載明	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
table_row	lint_docs036	markdown 表格列之欄數一致	未載明	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
delivery_spec	lint_delivery_spec	交付規格表（R-G42 一～七：列序、TC ID、Test Group、固定欄、檔名／MANIFEST、內容物、PENDING）	R-G42	2026-08-30	每檔每項	未校準（基線 docs/fw036/DELIVERY_SPEC_BASELINE.tsv 內之檔只計警示；基線外判紅）	delivered	不適用（交付版面，非 TC）	0	未知	未知，自本輪起算	N	N
features/amfm/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/audio_mgmt/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/bed_lowering/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/comfort/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/home/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/media/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/power/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/privacy/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/sxm/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/time_management/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/user_profiles/scripts/lint_tcs.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/audio_mgmt/scripts/selfcheck_b1.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/bed_lowering/scripts/selfcheck_pilot.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/vehicle_setting/scripts/selfcheck_anchored.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/vehicle_setting/scripts/selfcheck_w53.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/vehicle_setting/scripts/vf230_selfcheck_wvf62.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
features/vehicle_setting/scripts/vf230_wvf68_selfcheck.py	feature	**未拆之閘集合** —— 該腳本內各支檢查之 id 尚未逐支盤點	未載明	未載明	未載明	未入簿之前為未登錄	feature	未對映	0	未知	未知，自本輪起算	N	N
body_kind	lint_docs036	ruling 之節內須有至少一個 fenced block（`body_kind == section` 即缺陷）	R-G29 [DEFAULT]	2026-08-30	每條	**未校準（存量清完前只計數不判紅）**	always	0	0	48	48	N	N
