# compound_label_plan.tsv —— CMF-04 §5 / R-C60（CMF-03_review §2）。**本輪一行未改，只出 plan。**
# 量測（129 節 section_fulltext 全文）：`Face/Feet` 2 節（2.12.2／16.12.1）、`Feet plus Windshield` 2 節（2.12／2.12.2）
#   —— 二者於條文中為**模式循環之組合名**，非按鍵標籤；雙鍵操作之句型於條文零命中。
# 工作簿之既有不一致（0907 交付本即如此，非 CMF-02／03 所造）：L+M 兩欄中已引號 2 處、未引號 11 處。
tc_id	req_id	field	line_no	compound	quoted_today	line_verbatim	action	reason
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	expected_result	2	Face + Feet	no	2. The rear airflow mode is Face + Feet	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	test_item	1	Face + Feet	no	CR8.) The Rear Airflow Modes has 3 states: 1) Feet, 2) Face + Feet, 3) Face.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	test_item	3	Face + Feet	no	(read the rear airflow mode -> The rear airflow mode is Face + Feet)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-406	SWE1-HVAC-036-01	test_item	1	Face + Feet	no	CR8.) The Rear Airflow Modes has 3 states: 1) Feet, 2) Face + Feet, 3) Face.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	test_procedure	2	Feet plus Windshield	yes	"2. Select the ""Feet plus Windshield"" airflow mode"	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	expected_result	2	Feet plus Windshield	yes	"2. The ""Feet plus Windshield"" button is highlighted and its size is increased"	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	test_item	3	Feet plus Windshield	yes	"(select the ""Feet plus Windshield"" airflow mode -> The ""Feet plus Windshield"" button is highlighted and its size is increased)"	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	test_item	3	Feet plus Windshield	yes	"(select the ""Feet plus Windshield"" airflow mode -> The ""Feet plus Windshield"" button is highlighted and its size is increased)"	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	expected_result	2	Face/Feet	no	2. The Face/Feet airflow mode is active	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	test_item	1	Face/Feet	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	test_item	1	Feet plus Windshield	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	test_item	3	Face/Feet	no	(press the Mode hard control once -> The Face/Feet airflow mode is active)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	test_procedure	1	Face/Feet	no	1. Set the airflow mode to Face/Feet	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	expected_result	1	Face/Feet	no	1. The Face/Feet airflow mode is active	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	test_item	1	Face/Feet	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	test_item	1	Feet plus Windshield	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	expected_result	2	Feet plus Windshield	no	2. The Feet plus Windshield airflow mode is active	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	test_item	1	Face/Feet	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	test_item	1	Feet plus Windshield	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	test_item	3	Feet plus Windshield	no	(press the Mode hard control once -> The Feet plus Windshield airflow mode is active)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	test_procedure	1	Feet plus Windshield	no	1. Set the airflow mode to Feet plus Windshield	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	expected_result	1	Feet plus Windshield	no	1. The Feet plus Windshield airflow mode is active	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	test_item	1	Face/Feet	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	test_item	1	Feet plus Windshield	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	expected_result	2	Face/Feet	no	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	expected_result	2	Feet plus Windshield	no	2. The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	test_item	1	Face/Feet	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	test_item	1	Feet plus Windshield	no	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	test_item	3	Face/Feet	no	(press the Mode hard control four times, reading the airflow mode after each press -> The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	test_item	3	Feet plus Windshield	no	(press the Mode hard control four times, reading the airflow mode after each press -> The airflow mode read after the four presses is Face/Feet, then Feet, then Feet plus Windshield, then Face again, and Defrost is not among them)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-451	SWE1-HVAC-018-02	expected_result	2	Face/Feet	no	2. The Face/Feet airflow mode is active and the airflow mode does not continue to move while the control is held	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-451	SWE1-HVAC-018-02	test_item	3	Face/Feet	no	(press and hold the Mode hard control -> The Face/Feet airflow mode is active and the airflow mode does not continue to move while the control is held)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
