# vm_axis_plan.tsv —— CMF-03_A §2（只出 plan，不填）。每列＝一條 TC × 其 PC 所載之一個配置軸。
# **不作「PROXI 值 → 該 TC 適用與否」之判定**，三台之值只並列。Dec 與 PROXI Read 不一致者兩值並列。
# literal_match：該台之 PROXI label 字面出現於該 PC 行者列其名；否則 none。
# 出處：features/comfort/docs/reports/proxi_axis_values.tsv（CMF-02 §5-1，唯讀）。
tc_id	req_id	axis	proxi_parameter	pc_line_verbatim	proxi_Promaster	proxi_Toro	proxi_Fastback	literal_match
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-031	SWE1-HVAC-026	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-031	SWE1-HVAC-026	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	ATC／MTC	Climate_Type	The climate system is ATC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	ATC／MTC	Climate_Type	The climate system is ATC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	ATC／MTC	Climate_Type	The climate system is MTC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	ICS	Integrated_Climate_Touchscreen	The vehicle has climate hard controls and a climate touchscreen	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-041	SWE1-HVAC-027	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-041	SWE1-HVAC-027	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	ATC／MTC	Climate_Type	The climate system is MTC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	ATC／MTC	Climate_Type	The climate system is MTC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	ATC／MTC	Climate_Type	The climate system is MTC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	knob 型態	Climate_Panel_Type	The vehicle has 3 knob HVAC controls with ICS	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	ICS	Integrated_Climate_Touchscreen	The vehicle has 3 knob HVAC controls with ICS	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	ATC／MTC	Climate_Type	The climate system is MTC	Dec=2 (Automatic) / PROXI Read=3	Dec=1 (Manual) / PROXI Read=(empty)	Dec=2 (Automatic) / PROXI Read=3	none
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	knob 型態	Climate_Panel_Type	The vehicle has 3 knob HVAC controls with ICS	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	ICS	Integrated_Climate_Touchscreen	The vehicle has 3 knob HVAC controls with ICS	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
