tc_id_json	wb_row	req_id	tokens_before	tokens_after	upper_verbatim_ok	original_sentence	excerpt	lower
NR1L-ComfortHMI-197	329	SWE1-HVAC-104-05	118	10	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-Auto Pop-up: do not show (feedback is already on widget)	(read the screen for an AUTO pop-up -> No AUTO pop-up is shown)
NR1L-ComfortHMI-198	330	SWE1-HVAC-104-06	118	13	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-Heated Seats Pop-up: only on status bar (do not show drop down menu)	(read the status bar and the area below it -> The heated seats pop-up is shown on the status bar and no drop down menu is shown)
NR1L-ComfortHMI-199	331	SWE1-HVAC-104-07	118	13	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-Vented Seats Pop-up: only on status bar (do not show drop down menu)	(read the status bar and the area below it -> The vented seats pop-up is shown on the status bar and no drop down menu is shown)
NR1L-ComfortHMI-200	332	SWE1-HVAC-104-08	118	14	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	(read the status bar and the area below it -> The heated steering wheel pop-up is shown on the status bar and no drop down menu is shown)
NR1L-ComfortHMI-254	418	SWE1-HVAC-118-01	58	38	True	ICE11.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet/Windshield > Windshield), the user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes.	ICE11.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet/Windshield > Windshield), the user will be shifted with each press	(press the Mode hard control four times, reading the mode after each press -> The modes were Face/Feet, then Feet, then Feet/Windshield, then Windshield)
NR1L-ComfortHMI-255	419	SWE1-HVAC-118-02	58	28	True	ICE11.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet/Windshield > Windshield), the user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes.	the user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes.	(press and hold the Mode hard control and read the airflow mode -> The Face/Feet airflow mode is active and the mode does not move further while the control is held)
NR1L-ComfortHMI-256	420	SWE1-HVAC-118-03	74	22	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted.	(press the Mode hard control and read the airflow mode -> The airflow mode has moved to the next mode in the loop)
NR1L-ComfortHMI-257	421	SWE1-HVAC-118-04	74	22	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted.	(press the Mode hard control and read the mode buttons -> The new mode button is highlighted)
NR1L-ComfortHMI-258	422	SWE1-HVAC-118-05	74	26	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control	(press the Mode hard control and read the airflow mode -> The airflow mode has moved to the next mode in the loop)
NR1L-ComfortHMI-259	423	SWE1-HVAC-118-06	74	26	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control	(press the Mode hard control and read the area above the Climate main category control -> A small pop-up is shown above the Climate main category control)
NR1L-ComfortHMI-260	424	SWE1-HVAC-118-07	74	29	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)	(wait 3 seconds without further interaction -> The pop-up is no longer shown)
NR1L-ComfortHMI-426	425	SWE1-HVAC-118-07	74	29	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)	(press the fan speed hard control and read the screen -> The pop-up is no longer shown)
NR1L-ComfortHMI-261	426	SWE1-HVAC-118-08	74	38	True	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	(press the Mode hard control and read the displayed screen -> The displayed screen is the one opened in step 1)
NR1L-ComfortHMI-453	109	SWE1-HVAC-018-04	51	37	True	If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	(press the Mode hard control once -> A small pop-up appears above the Climate main category control and the Climate main screen is still not displayed)
NR1L-ComfortHMI-454	110	SWE1-HVAC-018-04	51	28	True	If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)	(do not interact with the head unit for 3 seconds -> The pop-up is no longer shown)
NR1L-ComfortHMI-455	111	SWE1-HVAC-018-04	51	28	True	If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.	a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed)	(press a button other than the Mode hard control -> The pop-up is no longer shown)
