tc_id	field	before	after
NR1L-ComfortHMI-157	test_procedure	"2. Turn AUTO on and read the ""FRONT DEF"" button"	"2. Turn ""AUTO"" on and read the ""FRONT DEF"" button"
NR1L-ComfortHMI-157	test_item(下半)	"turn AUTO on and read the ""FRONT DEF"" button -> The ""FRONT DEF"" button is no longer highlighted"	"turn ""AUTO"" on and read the ""FRONT DEF"" button -> The ""FRONT DEF"" button is no longer highlighted"
NR1L-ComfortHMI-396	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-161	test_procedure	"2. Turn AUTO on and read the ""REAR DEFROST"" button"	"2. Turn ""AUTO"" on and read the ""REAR DEFROST"" button"
NR1L-ComfortHMI-163	test_procedure	1. Select the Face airflow mode on the climate screen	"1. Select the ""Face"" airflow mode on the climate screen"
NR1L-ComfortHMI-164	test_procedure	1. Select the Feet airflow mode on the climate screen	"1. Select the ""Feet"" airflow mode on the climate screen"
NR1L-ComfortHMI-446	test_procedure	1. Set the airflow mode to Face	"1. Select the ""Face"" airflow mode"
NR1L-ComfortHMI-448	test_procedure	1. Set the airflow mode to Feet	"1. Select the ""Feet"" airflow mode"
NR1L-ComfortHMI-450	test_procedure	1. Set the airflow mode to Face	"1. Select the ""Face"" airflow mode"
NR1L-ComfortHMI-451	test_procedure	1. Set the airflow mode to Face	"1. Select the ""Face"" airflow mode"
NR1L-ComfortHMI-166	test_procedure	2. Turn AUTO on and read the exterior rear-view mirror defrost state	"2. Turn ""AUTO"" on and read the exterior rear-view mirror defrost state"
NR1L-ComfortHMI-019	test_procedure	7. Read the RECIRC state and its LED	"7. Read the ""RECIRC"" button state and its LED"
NR1L-ComfortHMI-019	test_procedure	8. Read the Sync state	8. Read the SYNC state
NR1L-ComfortHMI-019	expected_result	8. Sync is on	8. SYNC is on
NR1L-ComfortHMI-025	test_procedure	2. Change RECIRC	"2. Change ""RECIRC"""
NR1L-ComfortHMI-025	test_item(下半)	"change RECIRC -> The ""MAX DEF"" button is no longer active and the system is in the previous manual mode with A/C on"	"change ""RECIRC"" -> The ""MAX DEF"" button is no longer active and the system is in the previous manual mode with A/C on"
NR1L-ComfortHMI-272	test_procedure	1. Turn rear AUTO on	"1. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-272	expected_result	1. The rear AUTO button is highlighted	"1. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-272	expected_result	2. The rear fan speed indicator shows AUTO instead of the actual fan speed	"2. The rear fan speed indicator shows ""AUTO"" instead of the actual fan speed"
NR1L-ComfortHMI-272	test_item(下半)	read the rear fan speed indicator -> The rear fan speed indicator shows AUTO instead of the actual fan speed	"read the rear fan speed indicator -> The rear fan speed indicator shows ""AUTO"" instead of the actual fan speed"
NR1L-ComfortHMI-273	test_procedure	1. Turn rear AUTO on	"1. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-273	expected_result	1. The rear AUTO button is highlighted	"1. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-274	test_procedure	2. Turn rear AUTO on	"2. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-274	expected_result	2. The rear AUTO button is highlighted	"2. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-275	test_procedure	1. Turn rear AUTO on	"1. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-275	test_procedure	3. Turn rear AUTO on again	"3. Turn rear ""AUTO"" on again"
NR1L-ComfortHMI-275	expected_result	1. The rear AUTO button is highlighted	"1. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-275	expected_result	2. The rear AUTO button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode	"2. The rear ""AUTO"" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode"
NR1L-ComfortHMI-275	expected_result	3. The rear AUTO button is highlighted	"3. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-276	test_procedure	1. Turn rear AUTO on	"1. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-276	test_procedure	3. Read the rear AUTO button	"3. Read the rear ""AUTO"" button"
NR1L-ComfortHMI-276	expected_result	1. The rear AUTO button is highlighted	"1. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-276	expected_result	3. The rear AUTO button is still highlighted	"3. The rear ""AUTO"" button is still highlighted"
NR1L-ComfortHMI-276	test_item(下半)	read the rear AUTO button -> The rear AUTO button is still highlighted	"read the rear ""AUTO"" button -> The rear ""AUTO"" button is still highlighted"
NR1L-ComfortHMI-283	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-283	expected_result	1. The SYNC button is highlighted	"1. The ""SYNC"" button is highlighted"
NR1L-ComfortHMI-403	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-403	expected_result	1. The SYNC button is highlighted	"1. The ""SYNC"" button is highlighted"
NR1L-ComfortHMI-403	expected_result	2. SYNC is turned off and the SYNC button is no longer highlighted	"2. SYNC is turned off and the ""SYNC"" button is no longer highlighted"
NR1L-ComfortHMI-403	test_item(下半)	change the passenger temperature -> SYNC is turned off and the SYNC button is no longer highlighted	"change the passenger temperature -> SYNC is turned off and the ""SYNC"" button is no longer highlighted"
NR1L-ComfortHMI-404	test_procedure	1. Turn rear AUTO on	"1. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-404	expected_result	1. The rear AUTO button is highlighted	"1. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-404	expected_result	2. The rear fan speed indicator shows AUTO	"2. The rear fan speed indicator shows ""AUTO"""
NR1L-ComfortHMI-404	test_item(下半)	read the rear fan speed indicator -> The rear fan speed indicator shows AUTO	"read the rear fan speed indicator -> The rear fan speed indicator shows ""AUTO"""
NR1L-ComfortHMI-293	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-293	expected_result	1. The SYNC button is highlighted	"1. The ""SYNC"" button is highlighted"
NR1L-ComfortHMI-294	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-294	test_procedure	3. Read the SYNC button	"3. Read the ""SYNC"" button"
NR1L-ComfortHMI-294	expected_result	1. The SYNC button is highlighted	"1. The ""SYNC"" button is highlighted"
NR1L-ComfortHMI-294	expected_result	3. SYNC is off and the SYNC button is no longer highlighted	"3. SYNC is off and the ""SYNC"" button is no longer highlighted"
NR1L-ComfortHMI-294	test_item(下半)	read the SYNC button -> SYNC is off and the SYNC button is no longer highlighted	"read the ""SYNC"" button -> SYNC is off and the ""SYNC"" button is no longer highlighted"
NR1L-ComfortHMI-295	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-295	expected_result	1. The SYNC button is highlighted	"1. The ""SYNC"" button is highlighted"
NR1L-ComfortHMI-296	test_procedure	1. Select the rear Feet mode	"1. Select the rear ""Feet"" mode"
NR1L-ComfortHMI-405	test_procedure	1. Select the rear Face + Feet mode	"1. Select the rear ""Face + Feet"" mode"
NR1L-ComfortHMI-406	test_procedure	1. Select the rear Face mode	"1. Select the rear ""Face"" mode"
NR1L-ComfortHMI-298	test_procedure	2. Turn rear AUTO on	"2. Turn rear ""AUTO"" on"
NR1L-ComfortHMI-298	expected_result	2. The rear AUTO button is highlighted	"2. The rear ""AUTO"" button is highlighted"
NR1L-ComfortHMI-299	test_procedure	1. Select the rear Feet mode	"1. Select the rear ""Feet"" mode"
NR1L-ComfortHMI-299	test_procedure	2. Select the rear Face mode	"2. Select the rear ""Face"" mode"
NR1L-ComfortHMI-299	expected_result	3. Only the rear Face mode button is highlighted	"3. Only the rear ""Face"" mode button is highlighted"
NR1L-ComfortHMI-299	test_item(下半)	read the rear airflow mode buttons -> Only the rear Face mode button is highlighted	"read the rear airflow mode buttons -> Only the rear ""Face"" mode button is highlighted"
NR1L-ComfortHMI-408	test_procedure	1. Turn AUTO on for the front climate	"1. Turn ""AUTO"" on for the front climate"
NR1L-ComfortHMI-408	expected_result	2. The pop up shows AUTO as the front fan status	"2. The pop up shows ""AUTO"" as the front fan status"
NR1L-ComfortHMI-408	test_item(下半)	trigger the fan speed pop up using the hard controls -> The pop up shows AUTO as the front fan status	"trigger the fan speed pop up using the hard controls -> The pop up shows ""AUTO"" as the front fan status"
NR1L-ComfortHMI-067	test_procedure	2. Press the AUTO button	"2. Press the ""AUTO"" button"
NR1L-ComfortHMI-067	expected_result	1. The climate screen shows the AUTO control	"1. The climate screen shows the ""AUTO"" control"
NR1L-ComfortHMI-067	test_item(下半)	press the AUTO button -> The AUTO ECO mode is active	"press the ""AUTO"" button -> The AUTO ECO mode is active"
NR1L-ComfortHMI-068	test_procedure	1. Press the AUTO button until AUTO is off	"1. Press the ""AUTO"" button until AUTO is off"
NR1L-ComfortHMI-068	test_procedure	2. Press the AUTO button	"2. Press the ""AUTO"" button"
NR1L-ComfortHMI-068	test_procedure	3. Press the AUTO button	"3. Press the ""AUTO"" button"
NR1L-ComfortHMI-068	test_item(下半)	press the AUTO button -> The AUTO state is AUTO ON	"press the ""AUTO"" button -> The AUTO state is AUTO ON"
NR1L-ComfortHMI-069	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-069	test_procedure	2. Read the label on the AUTO button	"2. Read the label on the ""AUTO"" button"
NR1L-ComfortHMI-069	expected_result	2. The button label reads AUTO ECO	"2. The button label reads ""AUTO ECO"""
NR1L-ComfortHMI-069	test_item(下半)	read the label on the AUTO button -> The button label reads AUTO ECO	"read the label on the ""AUTO"" button -> The button label reads ""AUTO ECO"""
NR1L-ComfortHMI-070	test_procedure	1. Press the AUTO button until AUTO is off	"1. Press the ""AUTO"" button until AUTO is off"
NR1L-ComfortHMI-070	test_procedure	2. Press the AUTO button once	"2. Press the ""AUTO"" button once"
NR1L-ComfortHMI-070	test_item(下半)	press the AUTO button once -> The AUTO ECO functionality is activated	"press the ""AUTO"" button once -> The AUTO ECO functionality is activated"
NR1L-ComfortHMI-460	test_procedure	2. Press the position at which the AUTO button is shown in an ATC configuration	"2. Press the position at which the ""AUTO"" button is shown in an ATC configuration"
NR1L-ComfortHMI-460	expected_result	1. The climate screen is displayed and no AUTO button is shown	"1. The climate screen is displayed and no ""AUTO"" button is shown"
NR1L-ComfortHMI-460	test_item(下半)	press the position at which the AUTO button is shown in an ATC configuration -> The AUTO ECO functionality is not activated	"press the position at which the ""AUTO"" button is shown in an ATC configuration -> The AUTO ECO functionality is not activated"
NR1L-ComfortHMI-071	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-071	test_procedure	2. Press the AUTO button once	"2. Press the ""AUTO"" button once"
NR1L-ComfortHMI-071	test_item(下半)	press the AUTO button once -> The AUTO state is AUTO ON	"press the ""AUTO"" button once -> The AUTO state is AUTO ON"
NR1L-ComfortHMI-072	test_procedure	1. Press the AUTO button until the AUTO ON state is active	"1. Press the ""AUTO"" button until the AUTO ON state is active"
NR1L-ComfortHMI-072	test_procedure	2. Press the AUTO button once	"2. Press the ""AUTO"" button once"
NR1L-ComfortHMI-072	test_item(下半)	press the AUTO button once -> The AUTO state is AUTO ECO	"press the ""AUTO"" button once -> The AUTO state is AUTO ECO"
NR1L-ComfortHMI-073	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-073	test_procedure	2. Press the AUTO button repeatedly	"2. Press the ""AUTO"" button repeatedly"
NR1L-ComfortHMI-073	test_procedure	4. Press the AUTO button until the AUTO ECO mode is active	"4. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-074	test_procedure	2. Press the AUTO button until the AUTO ECO mode is active	"2. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-074	test_item(下半)	press the AUTO button until the AUTO ECO mode is active -> The airflow modes are deselected	"press the ""AUTO"" button until the AUTO ECO mode is active -> The airflow modes are deselected"
NR1L-ComfortHMI-075	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-076	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-077	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon	"1. Press the ""AUTO"" button until the AUTO ECO mode is active, then read the Comfort main Menu Bar icon"
NR1L-ComfortHMI-077	test_procedure	2. Press the AUTO button once, then read the Comfort main Menu Bar icon	"2. Press the ""AUTO"" button once, then read the Comfort main Menu Bar icon"
NR1L-ComfortHMI-077	test_item(下半)	press the AUTO button once, then read the Comfort main Menu Bar icon -> The Comfort main Menu Bar icon reflects the AUTO ON state	"press the ""AUTO"" button once, then read the Comfort main Menu Bar icon -> The Comfort main Menu Bar icon reflects the AUTO ON state"
NR1L-ComfortHMI-078	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-078	test_procedure	3. Press the AUTO button until the AUTO ON state is active	"3. Press the ""AUTO"" button until the AUTO ON state is active"
NR1L-ComfortHMI-079	test_procedure	1. Press the AUTO button until AUTO is off	"1. Press the ""AUTO"" button until AUTO is off"
NR1L-ComfortHMI-079	test_procedure	2. Press the AUTO button once and read the AUTO pop up	"2. Press the ""AUTO"" button once and read the AUTO pop up"
NR1L-ComfortHMI-079	test_item(下半)	"press the AUTO button once and read the AUTO pop up -> The AUTO pop up reads ""Press again to improve climate performance"""	"press the ""AUTO"" button once and read the AUTO pop up -> The AUTO pop up reads ""Press again to improve climate performance"""
NR1L-ComfortHMI-080	test_procedure	1. Press the AUTO button until the AUTO ECO mode is active	"1. Press the ""AUTO"" button until the AUTO ECO mode is active"
NR1L-ComfortHMI-080	test_procedure	2. Press the AUTO button once and read the AUTO pop up	"2. Press the ""AUTO"" button once and read the AUTO pop up"
NR1L-ComfortHMI-080	test_item(下半)	"press the AUTO button once and read the AUTO pop up -> The AUTO pop up reads ""Press again for lower battery consumption"""	"press the ""AUTO"" button once and read the AUTO pop up -> The AUTO pop up reads ""Press again for lower battery consumption"""
NR1L-ComfortHMI-197	test_procedure	1. Turn AUTO on using the AUTO hard control	"1. Turn ""AUTO"" on using the ""AUTO"" hard control"
NR1L-ComfortHMI-085	test_procedure	1. Turn SYNC on from the climate screen	"1. Turn ""SYNC"" on from the climate screen"
NR1L-ComfortHMI-203	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-204	test_procedure	2. Turn AUTO on and read the Mode buttons	"2. Turn ""AUTO"" on and read the Mode buttons"
NR1L-ComfortHMI-204	test_item(下半)	turn AUTO on and read the Mode buttons -> No Mode button is highlighted	"turn ""AUTO"" on and read the Mode buttons -> No Mode button is highlighted"
NR1L-ComfortHMI-205	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-206	test_procedure	2. Turn AUTO on and read the fan speed and the airflow mode	"2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
NR1L-ComfortHMI-206	test_item(下半)	turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system	"turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system"
NR1L-ComfortHMI-207	test_procedure	"2. Turn AUTO on and read the ""MAX A/C"" and ""MAX DEF"" buttons"	"2. Turn ""AUTO"" on and read the ""MAX A/C"" and ""MAX DEF"" buttons"
NR1L-ComfortHMI-207	test_item(下半)	"turn AUTO on and read the ""MAX A/C"" and ""MAX DEF"" buttons -> Neither ""MAX A/C"" nor ""MAX DEF"" is highlighted"	"turn ""AUTO"" on and read the ""MAX A/C"" and ""MAX DEF"" buttons -> Neither ""MAX A/C"" nor ""MAX DEF"" is highlighted"
NR1L-ComfortHMI-208	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-411	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-209	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-412	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-210	test_procedure	"1. Turn AUTO on from the climate screen and read the ""A/C"" button"	"1. Turn ""AUTO"" on from the climate screen and read the ""A/C"" button"
NR1L-ComfortHMI-103	test_procedure	1. Turn SYNC on from the climate screen	"1. Turn ""SYNC"" on from the climate screen"
NR1L-ComfortHMI-104	test_procedure	1. Turn SYNC on from the climate screen	"1. Turn ""SYNC"" on from the climate screen"
NR1L-ComfortHMI-105	test_procedure	1. Turn SYNC on from the climate screen	"1. Turn ""SYNC"" on from the climate screen"
NR1L-ComfortHMI-109	test_procedure	2. Turn AUTO on	"2. Turn ""AUTO"" on"
NR1L-ComfortHMI-109	expected_result	2. The fan speed indicator shows the AUTO label instead of a fan speed	"2. The fan speed indicator shows the ""AUTO"" label instead of a fan speed"
NR1L-ComfortHMI-109	test_item(下半)	turn AUTO on -> The fan speed indicator shows the AUTO label instead of a fan speed	"turn ""AUTO"" on -> The fan speed indicator shows the ""AUTO"" label instead of a fan speed"
NR1L-ComfortHMI-240	test_procedure	1. Set RECIRC to closed on the climate screen	"1. Set ""RECIRC"" to closed on the climate screen"
NR1L-ComfortHMI-240	test_procedure	"2. Press ""MAX DEF"" and read the RECIRC state and its LED"	"2. Press ""MAX DEF"" and read the ""RECIRC"" button state and its LED"
NR1L-ComfortHMI-240	test_item(下半)	"press ""MAX DEF"" and read the RECIRC state and its LED -> RECIRC is open and its LED is off"	"press ""MAX DEF"" and read the ""RECIRC"" button state and its LED -> RECIRC is open and its LED is off"
NR1L-ComfortHMI-421	test_procedure	"3. Change RECIRC and read the ""MAX DEF"" button"	"3. Change ""RECIRC"" and read the ""MAX DEF"" button"
NR1L-ComfortHMI-421	test_item(下半)	"change RECIRC and read the ""MAX DEF"" button -> ""MAX DEF"" is no longer highlighted and the airflow mode is the one selected in step 1"	"change ""RECIRC"" and read the ""MAX DEF"" button -> ""MAX DEF"" is no longer highlighted and the airflow mode is the one selected in step 1"
NR1L-ComfortHMI-251	test_procedure	1. Select the Face airflow mode on the climate screen	"1. Select the ""Face"" airflow mode on the climate screen"
NR1L-ComfortHMI-251	test_procedure	2. Select the Feet airflow mode and read the mode buttons	"2. Select the ""Feet"" airflow mode and read the mode buttons"
NR1L-ComfortHMI-251	test_item(下半)	select the Feet airflow mode and read the mode buttons -> The Feet airflow mode is active and the Face airflow mode is not	"select the ""Feet"" airflow mode and read the mode buttons -> The Feet airflow mode is active and the Face airflow mode is not"
NR1L-ComfortHMI-252	test_procedure	1. Read the size and highlight of the Feet airflow mode button and record them	"1. Read the size and highlight of the ""Feet"" airflow mode button and record them"
NR1L-ComfortHMI-252	test_procedure	2. Select the Feet airflow mode and read that button	"2. Select the ""Feet"" airflow mode and read that button"
NR1L-ComfortHMI-252	expected_result	1. The Feet airflow mode button is not highlighted	"1. The ""Feet"" airflow mode button is not highlighted"
NR1L-ComfortHMI-252	expected_result	2. The Feet airflow mode button is highlighted and larger than in step 1	"2. The ""Feet"" airflow mode button is highlighted and larger than in step 1"
NR1L-ComfortHMI-252	test_item(下半)	select the Feet airflow mode and read that button -> The Feet airflow mode button is highlighted and larger than in step 1	"select the ""Feet"" airflow mode and read that button -> The ""Feet"" airflow mode button is highlighted and larger than in step 1"
NR1L-ComfortHMI-253	test_procedure	1. Select the Feet airflow mode on the climate screen	"1. Select the ""Feet"" airflow mode on the climate screen"
NR1L-ComfortHMI-254	test_procedure	1. Select the Face airflow mode on the climate screen	"1. Select the ""Face"" airflow mode on the climate screen"
NR1L-ComfortHMI-255	test_procedure	1. Select the Face airflow mode on the climate screen	"1. Select the ""Face"" airflow mode on the climate screen"
NR1L-ComfortHMI-229	test_procedure	1. Set RECIRC to open on the climate screen	"1. Set ""RECIRC"" to open on the climate screen"
NR1L-ComfortHMI-427	test_procedure	"2. Change RECIRC and read the ""MAX A/C"" button"	"2. Change ""RECIRC"" and read the ""MAX A/C"" button"
NR1L-ComfortHMI-427	test_item(下半)	"change RECIRC and read the ""MAX A/C"" button -> The ""MAX A/C"" button is no longer highlighted"	"change ""RECIRC"" and read the ""MAX A/C"" button -> The ""MAX A/C"" button is no longer highlighted"
NR1L-ComfortHMI-265	test_procedure	2. Turn AUTO on and read the exterior rear-view mirror defrost state	"2. Turn ""AUTO"" on and read the exterior rear-view mirror defrost state"
NR1L-ComfortHMI-475	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
