tc_id	req_id	field	item	before	after
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	priority	R-C47	P1	P0
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	priority	R-C47	P1	P0
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	priority	R-C47	P1	P0
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-127	SWE1-HVAC-003-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-127	SWE1-HVAC-003-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-128	SWE1-HVAC-003-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-128	SWE1-HVAC-003-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-129	SWE1-HVAC-003-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-129	SWE1-HVAC-003-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-130	SWE1-HVAC-003-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-130	SWE1-HVAC-003-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-131	SWE1-HVAC-003-05	priority	R-C47	P2	P1
NR1L-ComfortHMI-131	SWE1-HVAC-003-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-132	SWE1-HVAC-003-06	priority	R-C47	P1	P0
NR1L-ComfortHMI-132	SWE1-HVAC-003-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-386	SWE1-HVAC-003-06	priority	R-C47	P1	P0
NR1L-ComfortHMI-386	SWE1-HVAC-003-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-387	SWE1-HVAC-003-06	priority	R-C47	P1	P0
NR1L-ComfortHMI-387	SWE1-HVAC-003-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-133	SWE1-HVAC-003-07	priority	R-C47	P1	P0
NR1L-ComfortHMI-133	SWE1-HVAC-003-07	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	priority	R-C47	P2	P1
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-135	SWE1-HVAC-003-09	priority	R-C47	P2	P1
NR1L-ComfortHMI-135	SWE1-HVAC-003-09	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-363	SWE1-HVAC-004-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-363	SWE1-HVAC-004-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-364	SWE1-HVAC-004-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-364	SWE1-HVAC-004-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-136	SWE1-HVAC-005-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-136	SWE1-HVAC-005-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-138	SWE1-HVAC-005-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-138	SWE1-HVAC-005-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-139	SWE1-HVAC-005-04	priority	R-C47	P2	P1
NR1L-ComfortHMI-139	SWE1-HVAC-005-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-140	SWE1-HVAC-006-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-140	SWE1-HVAC-006-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-141	SWE1-HVAC-006-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-141	SWE1-HVAC-006-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-142	SWE1-HVAC-006-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-142	SWE1-HVAC-006-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-439	SWE1-HVAC-006-04	priority	R-C47	P2	P1
NR1L-ComfortHMI-439	SWE1-HVAC-006-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-365	SWE1-HVAC-007-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-365	SWE1-HVAC-007-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-388	SWE1-HVAC-007-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-388	SWE1-HVAC-007-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-366	SWE1-HVAC-007-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-366	SWE1-HVAC-007-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-389	SWE1-HVAC-008-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-389	SWE1-HVAC-008-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-050	SWE1-HVAC-008-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-050	SWE1-HVAC-008-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-052	SWE1-HVAC-008-05	priority	R-C47	P2	P1
NR1L-ComfortHMI-052	SWE1-HVAC-008-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-053	SWE1-HVAC-009-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-053	SWE1-HVAC-009-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-054	SWE1-HVAC-009-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-054	SWE1-HVAC-009-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-390	SWE1-HVAC-009-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-390	SWE1-HVAC-009-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	priority	R-C47	P2	P1
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-391	SWE1-HVAC-009-05	priority	R-C47	P2	P1
NR1L-ComfortHMI-391	SWE1-HVAC-009-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	priority	R-C47	P2	P1
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-392	SWE1-HVAC-009-06	priority	R-C47	P2	P1
NR1L-ComfortHMI-392	SWE1-HVAC-009-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-393	SWE1-HVAC-010-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-393	SWE1-HVAC-010-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-394	SWE1-HVAC-010-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-394	SWE1-HVAC-010-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-395	SWE1-HVAC-010-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-395	SWE1-HVAC-010-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-066	SWE1-HVAC-011	priority	R-C47	P2	P1
NR1L-ComfortHMI-066	SWE1-HVAC-011	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-153	SWE1-HVAC-012-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-153	SWE1-HVAC-012-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-154	SWE1-HVAC-012-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-154	SWE1-HVAC-012-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-155	SWE1-HVAC-012-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-155	SWE1-HVAC-012-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-156	SWE1-HVAC-012-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-156	SWE1-HVAC-012-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-157	SWE1-HVAC-012-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-157	SWE1-HVAC-012-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-396	SWE1-HVAC-012-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-396	SWE1-HVAC-012-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-158	SWE1-HVAC-012-06	priority	R-C47	P2	P1
NR1L-ComfortHMI-158	SWE1-HVAC-012-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	priority	R-C47	P2	P1
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-143	SWE1-HVAC-014-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-143	SWE1-HVAC-014-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-145	SWE1-HVAC-014-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-145	SWE1-HVAC-014-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-146	SWE1-HVAC-014-04	priority	R-C47	P2	P1
NR1L-ComfortHMI-146	SWE1-HVAC-014-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-147	SWE1-HVAC-014-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-147	SWE1-HVAC-014-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-148	SWE1-HVAC-014-06	priority	R-C47	P2	P1
NR1L-ComfortHMI-148	SWE1-HVAC-014-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-149	SWE1-HVAC-015-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-149	SWE1-HVAC-015-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-150	SWE1-HVAC-015-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-150	SWE1-HVAC-015-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-151	SWE1-HVAC-015-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-151	SWE1-HVAC-015-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-430	SWE1-HVAC-015-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-430	SWE1-HVAC-015-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-431	SWE1-HVAC-015-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-431	SWE1-HVAC-015-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-440	SWE1-HVAC-016-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-440	SWE1-HVAC-016-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-441	SWE1-HVAC-016-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-441	SWE1-HVAC-016-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-442	SWE1-HVAC-016-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-442	SWE1-HVAC-016-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-444	SWE1-HVAC-016-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-444	SWE1-HVAC-016-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-445	SWE1-HVAC-016-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-445	SWE1-HVAC-016-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-451	SWE1-HVAC-018-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-451	SWE1-HVAC-018-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-452	SWE1-HVAC-018-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-452	SWE1-HVAC-018-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-453	SWE1-HVAC-018-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-453	SWE1-HVAC-018-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-454	SWE1-HVAC-018-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-454	SWE1-HVAC-018-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-455	SWE1-HVAC-018-04	priority	R-C47	P2	P1
NR1L-ComfortHMI-455	SWE1-HVAC-018-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-456	SWE1-HVAC-018-05	priority	R-C47	P2	P1
NR1L-ComfortHMI-456	SWE1-HVAC-018-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-457	SWE1-HVAC-018-06	priority	R-C47	P1	P0
NR1L-ComfortHMI-457	SWE1-HVAC-018-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-152	SWE1-HVAC-019-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-152	SWE1-HVAC-019-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-458	SWE1-HVAC-019-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-458	SWE1-HVAC-019-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-065	SWE1-HVAC-022-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-065	SWE1-HVAC-022-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-397	SWE1-HVAC-023-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-397	SWE1-HVAC-023-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-398	SWE1-HVAC-023-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-398	SWE1-HVAC-023-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-399	SWE1-HVAC-023-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-399	SWE1-HVAC-023-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	priority	R-C47	P1	P0
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	priority	R-C47	P1	P0
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	priority	R-C47	P1	P0
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	priority	R-C47	P1	P0
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	priority	R-C47	P1	P0
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	priority	R-C47	P2	P1
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-031	SWE1-HVAC-026	priority	R-C47	P1	P0
NR1L-ComfortHMI-031	SWE1-HVAC-026	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-041	SWE1-HVAC-027	priority	R-C47	P1	P0
NR1L-ComfortHMI-041	SWE1-HVAC-027	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-266	SWE1-HVAC-028-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-266	SWE1-HVAC-028-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-267	SWE1-HVAC-028-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-267	SWE1-HVAC-028-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-268	SWE1-HVAC-028-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-268	SWE1-HVAC-028-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-269	SWE1-HVAC-029-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-269	SWE1-HVAC-029-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-270	SWE1-HVAC-029-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-270	SWE1-HVAC-029-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
