sys_ra_sec	nrl	harman_status	md_status	鏈屬元件	sys2_description_first60
SYS-RA-SEC-566	NRL-134751	Rejected	Accepted	ECUCert	An external CA will issue an ECU certificate based on the co
SYS-RA-SEC-619	NRL-134804	Rejected	Accepted	SwdlSecureLib	FOTA Security Requirements Specification
SYS-RA-SEC-638	NRL-134823	Rejected	Accepted	SwdlSecureLib	CS.00130 : FCA Global Vehicle Cybersecurity Strategy : Firmw
SYS-RA-SEC-639	NRL-134824	Rejected	Accepted	SwdlSecureLib	CS.00130 : FCA Global Vehicle Cybersecurity Strategy : Firmw
SYS-RA-SEC-640	NRL-134825	Rejected	Accepted	SwdlSecureLib	CS.00178 : Application Over The Air Updates Cybersecurity Re
SYS-RA-SEC-642	NRL-134827	Rejected	Accepted	SwdlSecureLib	SD.00080 : Radio Firmware Update over Wi-Fi Security Require
SYS-RA-SEC-643	NRL-134828	Rejected	Accepted	SwdlSecureLib	SD.00080 : Radio Firmware Update over Wi-Fi Security Require
SYS-RA-SEC-656	NRL-134841	Rejected	Accepted	SwdlSecureLib	SD.00015/05: FOTA Deployment Package Signature
SYS-RA-SEC-659	NRL-134844	Rejected	Accepted	ECUCert	CS.00165 : ECU Identity Security Requirements
SYS-RA-SEC-660	NRL-134845	Rejected	Accepted	ECUCert	CS.00165 : ECU Identity Security Requirements
SYS-RA-SEC-662	NRL-134847	Rejected	Accepted	ECUCert	SD.00125: ECU Identity Retry Strategy
SYS-RA-SEC-664	NRL-134849	Rejected	Accepted	SwdlSecureLib	SD.00149: FOTA Manifest Files and Signature
