book	swe_id	kind	source_book	section_or_vf	test_set_draft	title
B	SWE1-RVC-002	umbrella	RVC+PAM	6.2.1	PAM Integration	Non-Exclusive PAM Features with Additive Visualization Logic
B	SWE1-RVC-002-01	leaf	RVC+PAM	6.2.1	PAM Integration	PAM features are not mutually exclusive
B	SWE1-RVC-002-02	leaf	RVC+PAM	6.2.1	PAM Integration	Adding a new PAM feature adds its visualization logic
B	SWE1-RVC-003	leaf	RVC+PAM	6.2.2	PAM Integration	Supported PAM Feature Set (Rear ParkSense / Front+Rear ParkSense / SDW)
B	SWE1-RVC-004	leaf	RVC+PAM	6.3	PAM Integration	PAM Flashing Lines Frequency Aligned to IPC
B	SWE1-RVC-005	leaf	RVC+PAM	6.4	PAM Integration	ParkSense Indication Consistency between HU and Cluster
B	SWE1-RVC-006	leaf	RVC+PAM	6.5	PAM Integration	PAM Audible Indications Provided via CAN per ParkSense Logic
B	SWE1-RVC-007	umbrella	RVC+PAM	7.1	Activation and Exit	Camera Display Priority and Thermal Wake-Up Behavior
B	SWE1-RVC-007-01	leaf	RVC+PAM	7.1	Activation and Exit	Camera display has higher priority than any other screen
B	SWE1-RVC-007-02	leaf	RVC+PAM	7.1	Activation and Exit	Wake head unit from thermal-protection sleep to show camera
B	SWE1-RVC-008	leaf	RVC+PAM	7.2	Activation and Exit	RVC+PAM Layout Activation Trigger Conditions
B	SWE1-RVC-008-01	leaf	RVC+PAM	7.2	Activation and Exit	Activate RVC+PAM layout when reverse is engaged
B	SWE1-RVC-008-02	leaf	RVC+PAM	7.2	Activation and Exit	Keep RVC+PAM layout active during reverse-to-drive delay condition
B	SWE1-RVC-008-03	leaf	RVC+PAM	7.2	Activation and Exit	Display camera feed immediately after shift into reverse
B	SWE1-RVC-008-04	leaf	RVC+PAM	7.2	Activation and Exit	Keep camera feed displayed until reverse is exited
B	SWE1-RVC-008-05	leaf	RVC+PAM	7.2	Activation and Exit	Allow RVC+PAM layout launch from Controls screen button
B	SWE1-RVC-008-06	leaf	RVC+PAM	7.2	Activation and Exit	Allow RVC+PAM layout launch from camera shortcut icon
B	SWE1-RVC-015	leaf	RVC+PAM	7.3	Activation and Exit	RVC-Only Layout Activation Trigger Conditions
B	SWE1-RVC-016	leaf	RVC+PAM	7.3.1	Activation and Exit	Fallback to RVC-Only Layout when PAM Capability Absent
B	SWE1-RVC-017	leaf	RVC+PAM	7.3.2	Activation and Exit	"Fallback to RVC-Only Layout on 7"" and 8.4"" Head Units"
B	SWE1-RVC-018	leaf	RVC+PAM	7.3.3	Activation and Exit	Vehicle Controls in RVC-Only Layout for 10.1 Portrait HU
B	SWE1-RVC-019	umbrella	RVC+PAM	7.4	Activation and Exit	Camera Activation Behavior and View Control (Umbrella)
B	SWE1-RVC-019-01	leaf	RVC+PAM	7.4	Activation and Exit	Initial default view on activation
B	SWE1-RVC-019-02	leaf	RVC+PAM	7.4	Activation and Exit	Image display while under speed threshold
B	SWE1-RVC-019-03	leaf	RVC+PAM	7.4	Activation and Exit	Soft button greyed when over speed threshold
B	SWE1-RVC-019-04	leaf	RVC+PAM	7.4	Activation and Exit	Manual button press shows RVC + sensors
B	SWE1-RVC-020	leaf	RVC+PAM	7.5	Activation and Exit	RVC+PAM Layout Dismissal Trigger Conditions
B	SWE1-RVC-021	leaf	RVC+PAM	7.5.1	Activation and Exit	Dismissal When Speed Threshold or RVC Timeout Reached (Drive)
B	SWE1-RVC-022	leaf	RVC+PAM	7.5.2	Activation and Exit	Dismissal When Gear Leaves Reverse and RVC Timeout Expires
B	SWE1-RVC-023	umbrella	RVC+PAM	7.5.3	Activation and Exit	Camera Display Behavior After Shifting Out of Reverse (Umbrella)
B	SWE1-RVC-023-01	leaf	RVC+PAM	7.5.3	Activation and Exit	10-second delay timer after exiting REVERSE
B	SWE1-RVC-023-02	leaf	RVC+PAM	7.5.3	Activation and Exit	Auto-dismiss at 8 mph speed threshold
B	SWE1-RVC-023-03	leaf	RVC+PAM	7.5.3	Activation and Exit	"Manual dismiss via ""X"" soft control (PU0361)"
B	SWE1-RVC-024	umbrella	RVC+PAM	8.1	(unassigned)	X Exit Button Placement and Behavior in Non-Reverse Gear
B	SWE1-RVC-024-01	leaf	RVC+PAM	8.1	(unassigned)	X exit button placement in non-REVERSE
B	SWE1-RVC-024-02	leaf	RVC+PAM	8.1	(unassigned)	X exit button reverts to last known screen
B	SWE1-RVC-025	umbrella	RVC+PAM	8.1.1	(unassigned)	"RVC Feed Persistence and ""X"" Unavailability in Reverse"
B	SWE1-RVC-025-01	leaf	RVC+PAM	8.1.1	(unassigned)	RVC feed remains on while vehicle is in REVERSE
B	SWE1-RVC-025-02	leaf	RVC+PAM	8.1.1	(unassigned)	X button unavailable while vehicle is in REVERSE
B	SWE1-RVC-026	leaf	RVC+PAM	8.2	Warning Banners	Check Entire Surroundings Banner Display Duration
B	SWE1-RVC-027	leaf	RVC+PAM	8.3	Warning Banners	Banner Edge-Fade to Avoid Covering Buttons
B	SWE1-RVC-028	leaf	RVC+PAM	8.3.1	Warning Banners	Banner Fade Behavior Applied to All Camera Messages
B	SWE1-RVC-029	leaf	RVC+PAM	8.3.2	Warning Banners	Return to Last Known HU State on RVC Turn-Off
B	SWE1-RVC-030	leaf	RVC+PAM	8.3.3	Warning Banners	"No Camera Delay When ""X"" Cannot Be Shown in Drive"
B	SWE1-RVC-031	umbrella	RVC+PAM	8.4	Warning Banners	Camera-Overlay Visual Specification (Color and Transparency)
B	SWE1-RVC-031-01	leaf	RVC+PAM	8.4	Warning Banners	X button and banner color/contrast
B	SWE1-RVC-031-02	leaf	RVC+PAM	8.4	Warning Banners	Overlay transparency at 60% (+/-5%)
B	SWE1-RVC-032	leaf	RVC+PAM	8.4.1	Warning Banners	Overlay Execution Only When No Other Layout Fits
B	SWE1-RVC-033	leaf	RVC+PAM	8.6	(unassigned)	RVC Display While Radio is Off
B	SWE1-RVC-034	leaf	RVC+PAM	8.7	(unassigned)	No Camera Display in Accessory Ignition Mode
B	SWE1-RVC-035	leaf	RVC+PAM	8.8	(unassigned)	PAM Graphic Sourced from PDO Graphical Releases
B	SWE1-RVC-036	leaf	RVC+PAM	9.2	Warning Banners	Error-Banner Sequence for Camera Diagnostic Events
B	SWE1-RVC-037	leaf	RVC+PAM	9.2.1	Warning Banners	"Display ""Camera System Unavailable"" for Camera Feed Faults"
B	SWE1-RVC-038	leaf	RVC+PAM	9.2.2	Warning Banners	"Display ""Camera System Unavailable"" for Blue-Screen Conditions"
B	SWE1-RVC-039	leaf	RVC+PAM	9.2.3	Warning Banners	"Display ""Camera Out of Position"" for Camera Misalignment Events"
B	SWE1-RVC-040	leaf	RVC+PAM	11.1	PAM Integration	PAM Visualization Adapts to Vehicle Proxy Configuration
B	SWE1-RVC-041	leaf	HeadUnitCameraSystems	6.1.2	Activation and Exit	"Camera Delay Option Disabled When ""X"" Cannot Be Shown"
B	SWE1-RVC-042	leaf	HeadUnitCameraSystems	6.1.3	Activation and Exit	Camera Feed Unavailable in OFF and ACC Ignition States
B	SWE1-RVC-043	leaf	HeadUnitCameraSystems	6.1.5	Activation and Exit	RVC is Non-Persistent When Enhanced Camera App is Equipped
B	SWE1-RVC-044	leaf	HeadUnitCameraSystems	6.1.6	Activation and Exit	RVC Follows General Camera Activation/Deactivation Strategy
B	SWE1-RVC-045	leaf	HeadUnitCameraSystems	6.2.2.1	Camera Settings	Rear View Camera Delay Setting (Default OFF)
B	SWE1-RVC-046	leaf	HeadUnitCameraSystems	6.2.2.2	Camera Settings	Rear View Camera Active Guidelines Setting (Default ON)
B	SWE1-RVC-047	umbrella	HeadUnitCameraSystems	6.2.2.3	Camera Settings	Rear View Camera Fixed Guidelines Setting and Mutual Exclusivity
B	SWE1-RVC-047-01	leaf	HeadUnitCameraSystems	6.2.2.3	Camera Settings	Fixed Guidelines on/off toggle with default OFF
B	SWE1-RVC-047-02	leaf	HeadUnitCameraSystems	6.2.2.3	Camera Settings	Mutual exclusivity with Active Guidelines
B	SWE1-RVC-048	umbrella	HeadUnitCameraSystems	6.5.1	Activation and Exit	Manual RVC Activation Entry Points (Controls / Apps Drawer / Camera App)
B	SWE1-RVC-048-01	leaf	HeadUnitCameraSystems	6.5.1	Activation and Exit	Activate RVC from controls page
B	SWE1-RVC-048-02	leaf	HeadUnitCameraSystems	6.5.1	Activation and Exit	Activate RVC from apps drawer
B	SWE1-RVC-048-03	leaf	HeadUnitCameraSystems	6.5.1	Activation and Exit	Activate RVC from camera app
B	SWE1-RVC-049	leaf	HeadUnitCameraSystems	6.5.2	Activation and Exit	RVC Soft Control in View Corner for TRG / CHMSL / FFCTL Configurations
B	SWE1-RVC-050	leaf	HeadUnitCameraSystems	6.5.3	Activation and Exit	RVC Not Accessible on Controls Page When Camera App is Present
B	SWE1-RVC-051	umbrella	HeadUnitCameraSystems	6.7.1	Activation and Exit	Enhanced Camera App Rear View Access and Controls (Umbrella)
B	SWE1-RVC-051-01	leaf	HeadUnitCameraSystems	6.7.1	Activation and Exit	Access rear view via Controls page
B	SWE1-RVC-051-02	leaf	HeadUnitCameraSystems	6.7.1	Activation and Exit	Access rear view via Apps Drawer
B	SWE1-RVC-051-03	leaf	HeadUnitCameraSystems	6.7.1	Activation and Exit	Display SVC bar in rear view
B	SWE1-RVC-051-04	leaf	HeadUnitCameraSystems	6.7.1	Activation and Exit	Limit X exit control to P/N/D
B	SWE1-RVC-052	leaf	HeadUnitCameraSystems	6.10.1	(unassigned)	Camera View Soft Controls for Equipped Camera Features
B	SWE1-RVC-053	leaf	HeadUnitCameraSystems	27.1.1	AUX Camera Access	Wired/Wireless AUX Cameras are Non-Persistent with Enhanced Camera App
B	SWE1-RVC-054	leaf	HeadUnitCameraSystems	27.1.2	AUX Camera Access	AUX Camera Features Follow General Activation/Deactivation Strategy
B	SWE1-RVC-055	leaf	HeadUnitCameraSystems	27.1.3	AUX Camera Access	Selected View Soft Control is Highlighted
B	SWE1-RVC-056	leaf	HeadUnitCameraSystems	27.1.4	AUX Camera Access	Camera Feature Follows Core HU Lockout Conditions
B	SWE1-RVC-057	leaf	HeadUnitCameraSystems	27.1.5	AUX Camera Access	Wireless AUX Limited to Four MOPAR Cameras via WiFi
B	SWE1-RVC-058	leaf	HeadUnitCameraSystems	27.1.5.1	AUX Camera Access	Wireless AUX Authentication via QR-Code Token
B	SWE1-RVC-059	leaf	HeadUnitCameraSystems	27.2.1.1	AUX Camera Access	Second-Surface AUX Cam Controls within Back-Up and CHMSL Views
B	SWE1-RVC-060	leaf	HeadUnitCameraSystems	27.2.2.1	AUX Camera Access	AUX Cameras Icons Present in Camera Views
B	SWE1-RVC-061	leaf	HeadUnitCameraSystems	27.2.3.1	AUX Camera Access	Wired AUX Camera is Always a Selectable Option
B	SWE1-RVC-062	leaf	HeadUnitCameraSystems	27.2.3.2	AUX Camera Access	"Wireless AUX ""AUX Cameras"" Button Greyed When Unavailable"
B	SWE1-RVC-063	leaf	HeadUnitCameraSystems	27.2.4.1	AUX Camera Access	"Camera Personalization Settings Grouped under ""Cameras"" Line"
B	SWE1-RVC-064	leaf	HeadUnitCameraSystems	27.2.5.1	AUX Camera Access	HMI Behavior Pattern V-3 for Push Button Control
B	SWE1-RVC-065	leaf	HeadUnitCameraSystems	27.2.6.1	AUX Camera Access	Equipped Camera Feature Set (RVC / CHMSL / TRG / FFCTL / SVC)
B	SWE1-RVC-066	leaf	HeadUnitCameraSystems	27.2.6.2	AUX Camera Access	Camera Access via Apps Drawer
B	SWE1-RVC-067	leaf	HeadUnitCameraSystems	27.2.6.3	AUX Camera Access	Camera Access via Camera App Home Page
B	SWE1-RVC-068	leaf	HeadUnitCameraSystems	27.2.6.4	AUX Camera Access	Selected View Soft Control Highlight (Second Surface)
B	SWE1-RVC-069	leaf	HeadUnitCameraSystems	27.3.2	AUX Camera Access	First Surface Has No Additional Requirements
B	SWE1-RVC-070	leaf	HeadUnitCameraSystems	27.3.3	AUX Camera Access	Camera Pop-Up Messages per R1 HMI Pop-Up List
B	SWE1-RVC-071	leaf	HeadUnitCameraSystems	27.3.4.1	AUX Camera Access	Camera Connection Process Lockout when Vehicle in Motion
B	SWE1-RVC-072	leaf	HeadUnitCameraSystems	27.3.5.1	AUX Camera Access	Wireless Camera Authentication via QR-Code WiFi Credentials
B	SWE1-RVC-073	leaf	HeadUnitCameraSystems	27.4.1	AUX Camera Access	Wireless Cameras Setting Toggle to Enable
B	SWE1-RVC-074	leaf	HeadUnitCameraSystems	27.4.2	AUX Camera Access	Wireless Cameras Toggle Popup When Projection Session Active
B	SWE1-RVC-075	leaf	HeadUnitCameraSystems	27.4.2.1	AUX Camera Access	Wireless Toggle YES Disconnects Projection and Enables Wireless
B	SWE1-RVC-076	leaf	HeadUnitCameraSystems	27.4.2.2	AUX Camera Access	Wireless Toggle NO Maintains Projection and Keeps Wireless Disabled
B	SWE1-RVC-077	leaf	HeadUnitCameraSystems	27.4.3	AUX Camera Access	Wireless Toggle Activates Silently When No Projection Active
B	SWE1-RVC-078	leaf	HeadUnitCameraSystems	27.4.4	AUX Camera Access	Enable Wireless Cameras Setting Updates Dynamically
B	SWE1-RVC-079	leaf	HeadUnitCameraSystems	27.4.5	AUX Camera Access	Projection Plug-In Popup Disables Wireless Cameras
B	SWE1-RVC-080	leaf	HeadUnitCameraSystems	27.5.1	AUX Camera Access	Connecting Message When Wireless AUX Cam Wakes from Sleep
B	SWE1-RVC-081	leaf	HeadUnitCameraSystems	27.5.2	AUX Camera Access	Wireless Setting Auto-Enables on AUX Selection (No Projection)
B	SWE1-RVC-082	umbrella	HeadUnitCameraSystems	27.6.1	AUX Camera Access	Wireless AUX Selection Popup with Projection Active (Setting OFF)
B	SWE1-RVC-082-01	leaf	HeadUnitCameraSystems	27.6.1	AUX Camera Access	Display confirmation popup on selection
B	SWE1-RVC-082-02	leaf	HeadUnitCameraSystems	27.6.1	AUX Camera Access	YES auto-enables the setting
B	SWE1-RVC-083	leaf	HeadUnitCameraSystems	27.6.2	AUX Camera Access	Connecting Message for Sleeping Wireless AUX Camera
B	SWE1-RVC-084	leaf	HeadUnitCameraSystems	27.7.1	AUX Camera Access	Wired and Wireless AUX Access via Controls Page and Apps Drawer
B	SWE1-RVC-085	leaf	HeadUnitCameraSystems	27.7.2	AUX Camera Access	AUX Soft Controls Not on Controls Page When Camera App Present
B	SWE1-RVC-086	leaf	HeadUnitCameraSystems	27.7.3	AUX Camera Access	Cross-Reference: Wireless Cameras Connection Pages
B	SWE1-RVC-087	leaf	HeadUnitCameraSystems	27.8.1	AUX Camera Access	More Aux Button Opens Popup of Available AUX Cameras
B	SWE1-RVC-088	leaf	HeadUnitCameraSystems	27.8.2	AUX Camera Access	Selecting New View in Popup Switches to That View
B	SWE1-RVC-089	leaf	HeadUnitCameraSystems	27.8.3	AUX Camera Access	"Pressing ""More AUX"" Again Closes the Popup"
B	SWE1-RVC-090	leaf	HeadUnitCameraSystems	27.8.4	AUX Camera Access	Signal Strength and Battery Shown Below More AUX Button
B	SWE1-RVC-091	leaf	HeadUnitCameraSystems	27.8.5	AUX Camera Access	Cross-Reference: Wireless Cameras Connection Pages
B	SWE1-RVC-092	leaf	HeadUnitCameraSystems	28.1	AUX Camera Access	More Cams Button Provides Access to Camera App Popup
B	SWE1-RVC-093	leaf	HeadUnitCameraSystems	28.2.1	AUX Camera Access	Check Entire Surroundings Shown 5s on AUX Cam Access
B	SWE1-RVC-094	leaf	HeadUnitCameraSystems	28.2.2	AUX Camera Access	"AUX Access Does Not Reset ""Check Entire Surroundings"" Timer"
B	SWE1-RVC-095	leaf	HeadUnitCameraSystems	28.2.3	AUX Camera Access	WiFi Signal and Battery Shown After 5s for Wireless AUX
B	SWE1-RVC-096	leaf	HeadUnitCameraSystems	28.2.4	AUX Camera Access	X Returns to Previous Screen from AUX Camera
B	SWE1-RVC-097	leaf	HeadUnitCameraSystems	28.3.1	AUX Camera Access	Camera System Unavailable Screen When AUX Not Connected
B	SWE1-RVC-098	umbrella	HeadUnitCameraSystems	28.3.2	AUX Camera Access	Behavior When Wired AUX 1 Missing but Other Wired AUX Present
B	SWE1-RVC-098-01	leaf	HeadUnitCameraSystems	28.3.2	AUX Camera Access	"Display ""Camera system unavailable"" blue screen"
B	SWE1-RVC-098-02	leaf	HeadUnitCameraSystems	28.3.2	AUX Camera Access	Provide More AUX selection on the unavailable screen
B	SWE1-RVC-099	leaf	HeadUnitCameraSystems	28.4.1	AUX Camera Access	Greyed-Out Soft Controls When Wireless AUX Unavailable
B	SWE1-RVC-100	leaf	HeadUnitCameraSystems	28.4.2	AUX Camera Access	Popup When Activating Greyed-Out Wireless AUX Control
B	SWE1-RVC-101	leaf	HeadUnitCameraSystems	28.6.1.1	AUX Camera Access	More Cams Behavior in Reverse vs Drive/Neutral
B	SWE1-RVC-102	leaf	HeadUnitCameraSystems	28.6.1.2	AUX Camera Access	Cross-Reference: Wireless Cameras Connection Pages
B	SWE1-RVC-103	umbrella	HeadUnitCameraSystems	28.7.1.1	AUX Camera Access	Image Manipulation Gestures (Pan / Zoom)
B	SWE1-RVC-103-01	leaf	HeadUnitCameraSystems	28.7.1.1	AUX Camera Access	Pan via drag/swipe gesture
B	SWE1-RVC-103-02	leaf	HeadUnitCameraSystems	28.7.1.1	AUX Camera Access	Zoom via pinch gesture
B	SWE1-RVC-104	umbrella	HeadUnitCameraSystems	28.7.1.2	AUX Camera Access	Image Reset and Latching of Manipulated Settings
B	SWE1-RVC-104-01	leaf	HeadUnitCameraSystems	28.7.1.2	AUX Camera Access	Reset image to default state
B	SWE1-RVC-104-02	leaf	HeadUnitCameraSystems	28.7.1.2	AUX Camera Access	Manipulated settings latch across sessions
B	SWE1-RVC-105	umbrella	HeadUnitCameraSystems	28.7.2	AUX Camera Access	Edit Image Soft Controls (Rotate 90 / Mirror / Reset)
B	SWE1-RVC-105-01	leaf	HeadUnitCameraSystems	28.7.2	AUX Camera Access	"Access ""Rotate 90"" via Edit image"
B	SWE1-RVC-105-02	leaf	HeadUnitCameraSystems	28.7.2	AUX Camera Access	"Access ""Mirror Image"" via Edit image"
B	SWE1-RVC-105-03	leaf	HeadUnitCameraSystems	28.7.2	AUX Camera Access	"Access ""Reset"" via Edit image"
B	SWE1-RVC-106	umbrella	HeadUnitCameraSystems	28.7.3	AUX Camera Access	AUX View Extension Controls (Umbrella)
B	SWE1-RVC-106-01	leaf	HeadUnitCameraSystems	28.7.3	AUX Camera Access	Extend view by 10s via AUX soft control
B	SWE1-RVC-106-02	leaf	HeadUnitCameraSystems	28.7.3	AUX Camera Access	Extend view by 10s via Extend-View soft control
B	SWE1-RVC-107	leaf	HeadUnitCameraSystems	28.7.4	AUX Camera Access	Signal Strength and Battery on Wireless AUX Views
B	SWE1-RVC-108	umbrella	HeadUnitCameraSystems	28.8.1	AUX Camera Access	Wireless AUX View Editing and Cross-View Access (Umbrella)
B	SWE1-RVC-108-01	leaf	HeadUnitCameraSystems	28.8.1	AUX Camera Access	Access Edit image from AUX video feed
B	SWE1-RVC-108-02	leaf	HeadUnitCameraSystems	28.8.1	AUX Camera Access	Access other AUX views below camera feed
B	SWE1-RVC-108-03	leaf	HeadUnitCameraSystems	28.8.1	AUX Camera Access	Access other AUX views via More AUX button
B	SWE1-RVC-109	leaf	HeadUnitCameraSystems	29.1.1	AUX Camera Settings	Individual AUX Cam Settings Popup via Settings Line Tap
B	SWE1-RVC-110	umbrella	HeadUnitCameraSystems	29.1.2	AUX Camera Settings	Wireless AUX Cam Settings Popup Actions (Umbrella)
B	SWE1-RVC-110-01	leaf	HeadUnitCameraSystems	29.1.2	AUX Camera Settings	Edit camera name from settings pop-up
B	SWE1-RVC-110-02	leaf	HeadUnitCameraSystems	29.1.2	AUX Camera Settings	Add/Remove as favorite from settings pop-up
B	SWE1-RVC-110-03	leaf	HeadUnitCameraSystems	29.1.2	AUX Camera Settings	Reset selected camera from settings pop-up
B	SWE1-RVC-110-04	leaf	HeadUnitCameraSystems	29.1.2	AUX Camera Settings	Access AUX settings via pencil-icon shortcut
B	SWE1-RVC-111	leaf	HeadUnitCameraSystems	29.2.1	AUX Camera Settings	Individual AUX Cam Settings Popup via Settings Line Tap (Variant)
B	SWE1-RVC-112	umbrella	HeadUnitCameraSystems	29.2.2	AUX Camera Settings	AUX Cam Settings Popup Actions with Wireless Toggle (Umbrella)
B	SWE1-RVC-112-01	leaf	HeadUnitCameraSystems	29.2.2	AUX Camera Settings	Enable wireless cameras toggle in pop-up
B	SWE1-RVC-112-02	leaf	HeadUnitCameraSystems	29.2.2	AUX Camera Settings	Edit camera name in pop-up
B	SWE1-RVC-112-03	leaf	HeadUnitCameraSystems	29.2.2	AUX Camera Settings	Add/Remove as favorite in pop-up
B	SWE1-RVC-112-04	leaf	HeadUnitCameraSystems	29.2.2	AUX Camera Settings	Delete camera from system in pop-up
B	SWE1-RVC-113	leaf	HeadUnitCameraSystems	29.2.3	AUX Camera Settings	Pencil-Icon Shortcut to AUX Settings on Camera App Page
B	SWE1-RVC-114	umbrella	HeadUnitCameraSystems	30.1.1	AUX Camera Settings	Two Entry Paths to Mark AUX Cam as Favorite
B	SWE1-RVC-114-01	leaf	HeadUnitCameraSystems	30.1.1	AUX Camera Settings	Mark favorite from AUX Cam settings menu
B	SWE1-RVC-114-02	leaf	HeadUnitCameraSystems	30.1.1	AUX Camera Settings	Mark favorite via star icon on camera app page
B	SWE1-RVC-115	leaf	HeadUnitCameraSystems	30.1.2	AUX Camera Settings	"Make-Favorite Flow: Press ""Make Favorite"" in Settings Menu"
B	SWE1-RVC-116	leaf	HeadUnitCameraSystems	30.1.3	AUX Camera Settings	Make-Favorite Confirmation Popup with 5s Auto-Dismiss
B	SWE1-RVC-117	leaf	HeadUnitCameraSystems	30.1.4	AUX Camera Settings	Remove as Favorite Button Toggle After Favorite Set
B	SWE1-RVC-118	leaf	HeadUnitCameraSystems	30.1.5	AUX Camera Settings	Favorite Star Shown on Camera Line in Settings Menu
B	SWE1-RVC-119	umbrella	HeadUnitCameraSystems	30.1.6	AUX Camera Settings	Favorite Camera Homepage Indicators and Ordering (Umbrella)
B	SWE1-RVC-119-01	leaf	HeadUnitCameraSystems	30.1.6	AUX Camera Settings	Show favorite star inside camera icon
B	SWE1-RVC-119-02	leaf	HeadUnitCameraSystems	30.1.6	AUX Camera Settings	Move favorite camera to favorite filter
B	SWE1-RVC-119-03	leaf	HeadUnitCameraSystems	30.1.6	AUX Camera Settings	Label remaining cameras sequentially
B	SWE1-RVC-120	leaf	HeadUnitCameraSystems	31.1.1	AUX Camera Settings	"Edit-Name Flow: Press ""Edit Name"" in Settings Menu"
B	SWE1-RVC-121	umbrella	HeadUnitCameraSystems	31.1.2	AUX Camera Settings	Camera Name Editing Keyboard Flow (Umbrella)
B	SWE1-RVC-121-01	leaf	HeadUnitCameraSystems	31.1.2	AUX Camera Settings	Display full QWERTY keyboard popup
B	SWE1-RVC-121-02	leaf	HeadUnitCameraSystems	31.1.2	AUX Camera Settings	Typing or backspace overwrites default name
B	SWE1-RVC-121-03	leaf	HeadUnitCameraSystems	31.1.2	AUX Camera Settings	OK confirms camera name change
B	SWE1-RVC-122	leaf	HeadUnitCameraSystems	31.1.3	AUX Camera Settings	Settings Menu Title Updates After Name Change
B	SWE1-RVC-123	leaf	HeadUnitCameraSystems	31.1.4	AUX Camera Settings	New Camera Name Reflected in Settings Line Item
B	SWE1-RVC-124	leaf	HeadUnitCameraSystems	31.1.5	AUX Camera Settings	New Camera Name Reflected on Camera App Homepage Soft Button
B	SWE1-RVC-125	umbrella	HeadUnitCameraSystems	31.1.6	AUX Camera Settings	AUX Camera Name Character Limit and Truncation Rules
B	SWE1-RVC-125-01	leaf	HeadUnitCameraSystems	31.1.6	AUX Camera Settings	Name character limit (2 lines x 7 chars = 14 total)
B	SWE1-RVC-125-02	leaf	HeadUnitCameraSystems	31.1.6	AUX Camera Settings	Truncate at character limit per Core Truncation rules
B	SWE1-RVC-125-03	leaf	HeadUnitCameraSystems	31.1.6	AUX Camera Settings	Do not truncate when full word fits
B	SWE1-RVC-126	leaf	HeadUnitCameraSystems	33.1.1	Wireless Camera Setup	"Auto-Enable and Start Pairing on ""Add Camera"" (No Projection)"
B	SWE1-RVC-127	umbrella	HeadUnitCameraSystems	33.1.2	Wireless Camera Setup	Add-Camera Flow with Projection Active (Umbrella)
B	SWE1-RVC-127-01	leaf	HeadUnitCameraSystems	33.1.2	Wireless Camera Setup	Display confirmation popup on Add camera
