# CAM-29 §1　A 本來源覆蓋覆核：CAM-28 附帶量測之無紀錄 92 ＋ RD 對帳 NO-TC 無 plan 紀錄 28，去重 94（只覆核不生成）
# disposition：COVERED-BY（內容配對，附 TC 逐字）／DUPLICATE-OF（同句且承接 TC 車型涵蓋本來源平台，機械判）／EXCLUDED（A-CA15）／GAP／BLOCKED（DR-CAM-a：VF617_V5 未到，SYS2 既有本查無，勿造）
source_id	swe_ids	book	platforms	disposition	tc_ids	evidence	test_set_candidate	axis	est_tc	description
SYS-RA-VF551_V2-544	SWE-CAM-016	vf551_v2	HDCC27	GAP	—	No TC verifies APP_Menu_BACKUP.Req = Not Pressed when the App Drawer Backup Camera soft button is not pressed	Display Arbitration	none	1	a. HU shall set APP_Menu_BACKUP.Req = Not Pressed when Backup Camera soft button is not pressed via the APP drawer.
SYS-RA-VF551_V2-546	SWE-CAM-016	vf551_v2	HDCC27	GAP	—	No TC verifies Controls_BACKUP.Req = Not Pressed when the Backup View Camera soft button is not pressed	Display Arbitration	none	1	a. HU shall set Controls_BACKUP.Req = Not Pressed when Backup View Camera soft button is not pressed.
SYS-RA-VF551_V2-547	SWE-CAM-016	vf551_v2	HDCC27	GAP	—	No TC presses the Radio Control Screen soft button to enable the RVC (Controls_BACKUP.Req = Pressed); NR1L-RVC-046 only checks presence on the Controls screen	Display Arbitration	none	1	· HU shall acquire the HU touch screen coordinates pressed by the driver to enable Rear View Camera View via Radio Control Screen soft button and set internal Signal Controls_BACKUP.Req = Pressed.
SYS-RA-VF551_V2-548	SWE-CAM-016	vf551_v2	HDCC27	GAP	—	No TC verifies RVC_ImageDefeat.Req = Not Pressed when the Image defeat soft button is not pressed (only the Pressed case in NR1L-RVC-006/242)	Display Arbitration	none	1	a. HU shall set RVC_ImageDefeat.Req = Not Pressed when Image defeat soft button is not pressed.
SYS-RA-VF551_V2-551	SWE-CAM-018	vf551_v2	HDCC27	EXCLUDED	—	A-CA15: hybrid branch PT_SYSTEM_FD_1.ShiftLeverPosition_PT (Hybrid_Type = REP/FCEV) not generated by ruling	—	—	—	The HU shall set ShiftLeverPosition to PT_SYSTEM_FD_1.ShiftLeverPosition_PT when Hybrid_Type = "Range Electric Paradigm Breaker" OR "Fuel Cell Electric Vehicle"
SYS-RA-VF551_V2-743	SWE-CAM-018	vf551_v2	DT27	GAP	—	No DT27 TC with Hybrid_Type != REP/BEV precondition showing the gear is taken from TRANSM_FD_4.ShiftLeverPosition (NR1L-RVC-111 equivalent is HDCC27 only; NR1L-RVC-158 is LVDS gating without Hybrid_Type precondition)	State Handling	none	1	The HU shall set ShiftLeverPosition to TRANSM_FD_4.ShiftLeverPosition when Hybrid_Type != "Range Electric Paradigm Breaker" OR "Battery Electric Vehicle"
SYS-RA-VF551_V2-744	SWE-CAM-018	vf551_v2	DT27	EXCLUDED	—	A-CA15: hybrid branch PT_SYSTEM_FD_1.ShiftLeverPosition_PT (Hybrid_Type = REP/FCEV) not generated by ruling	—	—	—	The HU shall set ShiftLeverPosition to PT_SYSTEM_FD_1.ShiftLeverPosition_PT when Hybrid_Type = "Range Electric Paradigm Breaker" OR "Fuel Cell Electric Vehicle"
SYS-RA-VF551_V3-207	SWE-CAM-016	vf551_v3	Fastack (376)	GAP	—	Pressed case covered on 376 by NR1L-RVC-006 (Press "X" on the rear view camera image / The rear view camera image is closed) but clause a) RVC_ImageDefeat.Req = Not Pressed when not pressed is untested	Display Arbitration	none	1	· Acquisition of the HU touch screen coordinates pressed by the driver to defeat Rear View Camera View via RVC Image (soft button), HU shall set internal Signal RVC_ImageDefeat.Req = [Pressed]. a) HU shall set RVC_ImageDefeat.Req = [Not Pressed] when Image defeat (soft button) is not pressed.
SYS-RA-VF551_V3-208	SWE-CAM-016	vf551_v3	Fastack (376)	GAP	—	No TC on 376 presses the Radio Control Screen soft button (Controls_BACKUP.Req = Pressed) nor verifies Not Pressed when not pressed	Display Arbitration	none	2	· Acquisition of the HU touch screen coordinates pressed by the driver to enable Rear View Camera View via Radio Control Screen (soft button), HU shall set internal Signal Controls_BACKUP.Req = [Pressed]. a) HU shall set Controls_BACKUP.Req = [Not Pressed] when Backup View Camera (soft button) is not pressed.
SYS-RA-VF551_V3-209	SWE-CAM-016	vf551_v3	Fastack (376)	GAP	—	Pressed case covered on 376 by NR1L-RVC-005 (Select "Rear View Camera" in the App Drawer) but clause a) APP_Menu_BACKUP.Req = Not Pressed when not pressed is untested	Display Arbitration	none	1	· Acquisition of the HU touch screen coordinates pressed by the driver to enable Rear View Camera View via app drawer (soft button), HU shall set internal Signal APP_Menu_BACKUP.Req= [Pressed]. a) HU shall set APP_Menu_BACKUP.Req = [Not Pressed] when Backup Camera (soft button) is not pressed via the APP drawer.
SYS-RA-VF551_V3-210	SWE-CAM-016	vf551_v3	Fastack (376)	GAP	—	Zoom press / Not Pressed TCs (NR1L-RVC-134/135/237/238) are HDCC27/DT27 only; no Fastack (376) TC for HU_ZOOM.req = Pressed / Not Pressed	LVDS Messaging	vehicle	2	· Acquisition of the HU touch screen coordinates pressed by the driver to Zoom In/Out via RVC Image (soft button), HU shall set internal Signal  HU_ZOOM.req = [Pressed]. a) HU shall set HU_ZOOM.req = [Not Pressed] when Zoom In/Out (soft button) is not pressed.
SYS-RA-VF551_V3-213	SWE-CAM-016	vf551_v3	Fastack (376)	COVERED-BY	NR1L-RVC-005;NR1L-RVC-046	RVC-005: Select "Rear View Camera" in the App Drawer / The rear view camera image is displayed in Manual Display Mode with the "X" exit button overlaid; RVC-046: The Rear Camera Softkey button is shown on the Controls screen and can be selected	—	—	—	· The Head Unit shall implement a soft keys button controls for RVC activation, refer to VF664 and HMI logic and flow.
SYS-RA-VF551_V3-214	SWE-CAM-016	vf551_v3	Fastack (376)	COVERED-BY	NR1L-RVC-023;NR1L-RVC-024	RVC-024: CAN source: BCM_FD_10.CmdIgnSts (HDCC27, DT27) / STATUS_BH_BCM2.CmdIgnSts (637, 2261, 376) ... The "Rear View Camera" entry is shown in the unavailable state and cannot be selected; RVC-023: The "Rear View Camera" entry is shown in the available state and can be selected	—	—	—	· The soft key button control for the RVC shall be in the available state only when STATUS_BH_BCM2.CmdIgnSts = [RUN].
SYS-RA-VF551_V3-249	SWE-CAM-015	vf551_v3	Fastack (376)	COVERED-BY	NR1L-RVC-021;NR1L-RVC-022	RVC-021: CAN source: TRANSM_FD_4.ShiftLeverPosition (HDCC27, DT27) / STATUS_CCAN4.ReverseGearSts (637, 2261, 376) ... The "X" exit button is overlaid on the rear view camera image; RVC-022: The shift lever is in R ... The rear view camera image stays displayed without interruption	—	—	—	· The Head Unit shall overly Image Defat [X] soft button on Rear View Camera Image when Gear_Stat.info != [REVERSE]. a) The Rear Camera Image shall not be interrupted by any button presses or other events when Gear_Stat.info = [REVERSE].
SYS-RA-VF551_V3-250	SWE-CAM-016	vf551_v3	Fastack (376)	DUPLICATE-OF SYS-RA-VF551_V2-532	NR1L-RVC-027	Description 正規化後與 SYS-RA-VF551_V2-532 逐字同；承接 TC 之車型涵蓋 Fastack (376)	—	—	—	· The Head Unit shall overlay Zoom soft button on Rear View Camera Image, Refer to Head Unit Zoom mode requirements.
SYS-RA-VF551_V3-264	SWE-CAM-015	vf551_v3	Fastack (376)	COVERED-BY	NR1L-RVC-005	Select "Rear View Camera" in the App Drawer / The rear view camera image is displayed in Manual Display Mode with the "X" exit button overlaid (pre: The shift lever is in P)	—	—	—	· The Head Unit shall be in Manul Display Mode when when STATUS_BH_BCM2.CmdIgnSts = [RUN] AND Gear_Stat.info != [REVERSE] AND the [RVC image activated via touch screen control, Controls_BACKUP.Req = [Pressed] OR APP_Menu_BACKUP.Req= [Pressed]], the Head Unit shall display the RVC image and shall be considered as operating in manual mode.
SYS-RA-VF551_V3-268	SWE-CAM-016	vf551_v3	Fastack (376)	GAP	—	Zoom +/- per ZoomViewRes 1X/4X, grayout on SNA, ZoomViewReq=Press on HU_ZOOM press and Not_Press default are only tested on HDCC27/DT27 (NR1L-RVC-134/135/237/238); Fastack (376) only has NR1L-RVC-027 (zoom button overlaid) - no Fastack TC for a)-e)	LVDS Messaging	vehicle	5	· The Head Unit functions when RVC active on the Radio: vehicleUpdate_1.TGW_CAMERA_DISP_STAT = [DISP_DIGITAL_RVC_CAMERA] AND vehicle speed below c_VEHSPD_MAX: BRAKE1.VehicleSpeedVSOSig < c_VEHSPD_MAX. a) The Head Unit shall display '+' on the Zoom Button when systemStatus.ZoomViewRes = [1X]. b) The Head Unit shall display '-' on the Zoom Button when systemStatus.ZoomViewRes = [4X]. c) The Head Unit shall grayout Zoom Button when systemStatus.ZoomViewRes = [SNA]. d) The Head Unit shall send vehicleUpdate_2.ZoomViewReq = [Press] when HU_ZOOM.req = [Pressed]. e) The Head Unit shall send vehicleUpdate_2.ZoomViewReq = [Not_Press] as the default.
SYS-RA-VF551_V3-269	SWE-CAM-016	vf551_v3	Fastack (376)	GAP	—	Zoom grayout at/above c_VEHSPD_MAX with ZoomViewReq=Not_Press only tested on HDCC27/DT27 (NR1L-RVC-130); no Fastack (376) TC	LVDS Messaging	vehicle	1	· The Head Unit shall grayout Zoom Soft Button when RVC display active on the Radio: vehicleUpdate_1.TGW_CAMERA_DISP_STAT = [DISP_DIGITAL_RVC_CAMERA] AND vehicle speed above c_VEHSPD_MAX: BRAKE1.VehicleSpeedVSOSig >= c_VEHSPD_MAX AND any zoom view status: systemStatus.ZoomViewRes = [ANY]. a) The Head Unit shall send vehicleUpdate_2.ZoomViewReq = [Not_Press].
SYS-RA-VF551_V33-218	SWE-CAM-015	vf551_v33	Toro(2261)	GAP	—	NR1L-RVC-064/061 only check the camera delay setting persists across an ignition cycle; storage at Ignition_Pre_Off of ReverseGearSts, ShiftLeverPosition, VehicleSpeedVSOSig/FailSts, RHatchSts, Grid_Lines_Off.Req and OperationalModeSts into NVM is not verified	Startup and Shutdown	none	1	When LTM_OperationalModeSts.Info pass into "Ignition_Pre_Off" ,  LTM stores the current value of following signals: STATUS_CCAN4.ReverseGearSts, STATUS_CCAN5.ShiftLeverPosition, STATUS_CCAN4.VehicleSpeedVSOSig, STATUS_CCAN4.VehicleSpeedVSOSigFailSts, STATUS_BH_BCM.RHatchSts, Rear_Camera_Delay_Off.Req, Rear_Camera_Grid_Lines_Off.Req, LTM_OperationalModeSts.Info into its non volatile memory.
SYS-RA-VF551_V33-232	SWE-CAM-015	vf551_v33	Toro(2261)	GAP	—	Display within RESPONSE_TIME of reverse Inserted (FMVSS 111) and the 16:9/4:3 format adjustment are not verified on Toro(2261); timing TC NR1L-RVC-201 is VF(ProMaster)637 only	Video Pipeline	vehicle	1	The Rear_Camera.Data are copied into Rear_Camera_Repetition.Data with adjustments about the format resolution by LTM(16:9, 4:3 aspect ratio) (for the details refer to LTM Algorithm Requirements paragraph).The rearview image shall be displayed  on TLM_Display.GUI within RESPONSE_TIME of the time at which the reverse gear is switched into "Inserted" (according to FMVSS 111 regulation).
SYS-RA-VF551_V33-240	SWE-CAM-015	vf551_v33	Toro(2261)	GAP	—	Branch 1 (Camera_DelayOff=OFF AND ReverseGearSts=Not_Inserted) covered by NR1L-RVC-213; branch 2 (Gear_Box_Type not MTX/MTA AND STATUS_CCAN5.ShiftLeverPosition=P) has no Toro(2261) TC (analog NR1L-RVC-207 is 637 only)	Video Pipeline	vehicle	1	IF ( (Camera_DelayOff.Req=="OFF" AND STATUS_CCAN4.ReverseGearSts==(equal) "Not_Inserted")  OR ((PROXI parameter Gear_Box_type is not equal to "MTX" AND Gear_Box_type is not equal to "MTA")  AND STATUS_CCAN5.ShiftLeverPosition==(equal) "P" ) )
SYS-RA-VF551_V33-246	SWE-CAM-015	vf551_v33	Toro(2261)	GAP	—	NR1L-RVC-031/008 (Toro) test delay ON + ReverseGearSts=Not_Inserted but do not set Gear_Box_Type (not MTX/MTA) nor STATUS_CCAN5.ShiftLeverPosition != P, which distinguish this ELSEIF branch	Display Arbitration	none	1	ELSEIF (Camera_DelayOff.Req ==(equal)"ON"AND STATUS_CCAN4.ReverseGearSts==(equal) "Not_Inserted" AND (PROXI parameter Gear_Box_type is not equal to "MTX" AND Gear_Box_type is not equal to "MTA") AND STATUS_CCAN5.ShiftLeverPosition!=(not equal) "P") ) THEN
SYS-RA-VF551_V33-419	SWE-CAM-015	vf551_v33	Toro(2261)	GAP	—	Only the generic message is checked (NR1L-RVCHMI-182: The display reads "Camera System Unavailable"); Rear_Camera_Enable.Info=FALSE and the DTC on video input missing in reverse are not verified on Toro(2261) (DTC analog NR1L-RVC-211 is 637 only)	Video Pipeline	vehicle	1	IF  PROXI pararmeter Rear_View_Camera is equal to "Present" AND LTM_OperationalModeSts.Info is equal to ("Ignition_On" OR "Ignition_On_Engine_On") AND Reverse gear is enganged (STATUS_CCAN4.ReverseGearSts==(equal) "Inserted"  for >= TIMEOUT_GEAR when Gear_Box_Type is not equal to "MTX") OR (STATUS_CCAN4.ReverseGearSts ==(equal) "Inserted" when Gear_Box_Type is equal to "MTX") LTM detects a video input missing from Rear_Camera.Data signals, LTM must overlaps the related message on the RVC images ("System not available" see TM HMI specification document) LTM sets Rear_Camera_Enable.Info==(equal)"FALSE" Set a DTC according to "LTM Diagnostic Specification" document
SYS-RA-VF551_V33-425	SWE-CAM-015	vf551_v33	Toro(2261)	GAP	—	No Toro(2261) TC for ReverseGearSts=SNA longer than TIME_W_RVC storing a DTC (only heal case NR1L-RVC-185 on HDCC27/DT27)	Diagnostics	vehicle	1	If the  LTM_OperationalModeSts.Info=="Ignition On" OR  LTM_OperationalModeSts.Info=="Ignition_On_EngOn", LTM receives STATUS_CCAN4.ReverseGearSts==(equal) "SNA", for a time greater than a threshold calibrated "TIME_W_RVC" LTM must: Store an appropriate DTC according to the rules contained in the document aimed to validate the diagnosis.
SYS-RA-VF551_V4-097	SWE-CAM-015	vf551_v4	HDCC27	COVERED-BY	NR1L-RVC-003;NR1L-RVCHMI-005	RVC-003: Send CAN: TRANSM_FD_4.ShiftLeverPosition = 2 (R) / The rear view camera image is displayed in Automatic Display Mode after the Reverse_Deb debounce; RVCHMI-005: Select the Rear View Camera soft control on the Controls screen / The rear view camera image is displayed	—	—	—	· The Rear View Camera system image shall be displayed under the following conditions: BCM_FD_10.CmdIgnSts = "RUN" AND ShiftLeverPosition = R AND Gear_Box_Type = ["ATX" OR "MTX], OR BCM_FD_10.CmdIgnSts = "RUN" AND RVC enabled via soft button, Controls_BACKUP.Req = Pressed
SYS-RA-VF551_V4-107	SWE-CAM-016	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-549	NR1L-RVC-006	Description 正規化後與 SYS-RA-VF551_V2-549 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· HU shall acquire the HU touch screen coordinates pressed by the driver to defeat Rear View Camera View via RVC Image soft button and set internal Signal RVC_ImageDefeat.Req = Pressed.
SYS-RA-VF551_V4-108	SWE-CAM-016	vf551_v4	HDCC27	GAP	—	No TC verifies RVC_ImageDefeat.Req = Not Pressed while the Image defeat soft button is not pressed (only Pressed case in NR1L-RVC-242)	HMI Overlays	none	1	a. HU shall set RVC_ImageDefeat.Req = Not Pressed when Image defeat soft button is not pressed.
SYS-RA-VF551_V4-109	SWE-CAM-016	vf551_v4	HDCC27	COVERED-BY	NR1L-RVCHMI-005	Select the Rear View Camera soft control on the Controls screen / The Rear View Camera soft control registers the selection / The rear view camera image is displayed	—	—	—	· HU shall acquire the HU touch screen coordinates pressed by the driver to enable Rear View Camera View via Radio Control Screen soft button and set internal Signal Controls_BACKUP.Req = Pressed.
SYS-RA-VF551_V4-110	SWE-CAM-016	vf551_v4	HDCC27	GAP	—	No TC verifies Controls_BACKUP.Req = Not Pressed while the Backup View Camera soft button is not pressed	HMI Overlays	none	1	a. HU shall set Controls_BACKUP.Req = Not Pressed when Backup View Camera soft button is not pressed.
SYS-RA-VF551_V4-113	SWE-CAM-016	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-535	NR1L-RVC-107	Description 正規化後與 SYS-RA-VF551_V2-535 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· The Head Unit shall implement the soft key button controls for RVC activation, refer to VF664 and HMI logic and flow.
SYS-RA-VF551_V4-114	SWE-CAM-016	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-534	NR1L-RVC-106	Description 正規化後與 SYS-RA-VF551_V2-534 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· The soft key button control for the RVC shall be in the available state only when BCM_FD_10.CmdIgnSts = RUN.
SYS-RA-VF551_V4-115	SWE-CAM-015	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-533	NR1L-RVC-021;NR1L-RVC-022	Description 正規化後與 SYS-RA-VF551_V2-533 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· The Head Unit overlays Image Defeat [X] soft button on Rear View Camera Image when ShiftLeverPosition != R. a) When ShiftLeverPosition = R, button presses and other events shall not interrupt the Rear Camera Image.
SYS-RA-VF551_V4-129	SWE-CAM-016	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-514	NR1L-RVC-103	Description 正規化後與 SYS-RA-VF551_V2-514 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	If BCM_FD_10.CmdIgnSts  = RUN AND the soft key button control for the rear view camera is activated, then the Head Unit display shall transition to the rear view camera image video within the duration Transition_time.
SYS-RA-VF551_V4-135	SWE-CAM-016	vf551_v4	HDCC27	GAP	—	NR1L-RVC-216 presses the Audio System Power button in Audio Mode ON with the image active but only checks the image is not interrupted; transition to Audio Mode OFF is not verified	State Handling	none	1	The Head Unit shall transition to Head Unit Audio Mode Off mode if each of the conditions is met: 1. Audio System Power button is pressed 2. Head Unit Audio Mode is ON 3. Rear camera image is active
SYS-RA-VF551_V4-141	SWE-CAM-016	vf551_v4	HDCC27	GAP	—	NR1L-RVC-217 presses the Audio System Power button in Audio Mode OFF with the image active but only checks the image is not interrupted; transition to Audio Mode ON is not verified	State Handling	none	1	The Head Unit shall transition to Head Unit Audio Mode ON if each of the following conditions is met: 1. Audio System Power button is pressed 2. Head Unit Audio Mode is OFF 3. Rear camera image is active
SYS-RA-VF551_V4-145	SWE-CAM-015	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-498	NR1L-RVC-003;NR1L-RVC-019;NR1L-RVC-020	Description 正規化後與 SYS-RA-VF551_V2-498 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· When all of the following conditions hold true: - BCM_FD_10.CmdIgnSts = RUN, - ShiftLeverPosition = R > Reverse_Deb.  the Head Unit shall display the RVC image as operating in Automatic Display Mode.
SYS-RA-VF551_V4-146	SWE-CAM-015	vf551_v4	HDCC27	GAP	—	NR1L-RVC-015 covers R->D with delay ON (stays displayed for the Ttimer1 period) but V4 condition is ShiftLeverPosition != R, which now includes P; R->P with delay ON on HDCC27 is not tested	Display Arbitration	boundary	1	· When Head Unit is in Automatic Display Mode AND all of the following condition hold true: - Gear shifted out of Reverse to ShiftLeverPosition != "R", - Camera Delay Enabled: IPC_VEHICLE_SETUP.Backup_Cam_Delay =  ON.  the Head Unit shall display RVC image associated with the selected gear for the cumulative time period of Ttimer1.
SYS-RA-VF551_V4-147	SWE-CAM-015	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-496	NR1L-RVC-017;NR1L-RVC-018;NR1L-RVC-241;NR1L-RVC-242	Description 正規化後與 SYS-RA-VF551_V2-496 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· When any of the following conditions hold true: - BCM_FD_10.CmdIgnSts !=  RUN, - BRAKE_FD_2.VehicleSpeedVSOSig >= c_VEHSPD_MAX, - Shift Lever status change to "Park" from other gears ShiftLeverPosition = P - RVC_ImageDefeat.Req = Pressed.  the Head Unit shall switch back to non-camera display.
SYS-RA-VF551_V4-148	SWE-CAM-015	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-495	NR1L-RVC-013	Description 正規化後與 SYS-RA-VF551_V2-495 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· When Head Unit is in Automatic Display Mode AND all of the following conditions hold true: - Gear shifted out of Reverse: ShiftLeverPosition != R - Camera Delay Disabled: IPC_VEHICLE_SETUP.Backup_Cam_Delay = OFF.  the Head Unit shall switch back to non-camera display
SYS-RA-VF551_V4-150	SWE-CAM-015	vf551_v4	HDCC27	COVERED-BY	NR1L-RVCHMI-005;NR1L-RVC-005	RVCHMI-005: Select the Rear View Camera soft control on the Controls screen / The rear view camera image is displayed; RVC-005: The rear view camera image is displayed in Manual Display Mode with the "X" exit button overlaid	—	—	—	· The Head Unit shall stay in Manual Display Mode and display the RVC image as operating in Manual mode, when all of the following conditions hold true: - BCM_FD_10.CmdIgnSts = RUN - ShiftLeverPosition != R  - RVC image activated via touch screen control: Controls_BACKUP.Req = Pressed
SYS-RA-VF551_V4-151	SWE-CAM-015	vf551_v4	HDCC27	GAP	—	Ttimer2 max-out (NR1L-RVCHMI-033) and ImageDefeat/X (NR1L-RVC-028) exits are covered in manual mode, but CmdIgnSts != RUN (NR1L-RVC-017) and shift to Park (NR1L-RVC-018) exits are only tested in Automatic Display Mode	Display Arbitration	none	2	· When Head Unit is in Manual Display mode AND RVC image is active, the Head Unit shall continue to display RVC image until any of the below conditions become True: - BCM_FD_10.CmdIgnSts != RUN,  - Shift Lever status change to "Park" from other gears ShiftLeverPosition = P,  - max out Ttimer2, - RVC_ImageDefeat.Req = Pressed.
SYS-RA-VF551_V4-155	SWE-CAM-015	vf551_v4	HDCC27	DUPLICATE-OF SYS-RA-VF551_V2-488	NR1L-RVC-011	Description 正規化後與 SYS-RA-VF551_V2-488 逐字同；承接 TC 之車型涵蓋 HDCC27	—	—	—	· When all of the following conditions hold True: - BCM_FD_10.CmdIgnSts = RUN - RVC image active - Shift Lever changes to Reverse ShiftLeverPosition = R > Reverse_Deb  the Head Unit shall continue to display RVC image and switch to the Automatic Display mode.
SYS-RA-VF551_V42-225	SWE-CAM-018	vf551_v42	VF(ProMaster)637	GAP	—	Both trigger branches are exercised on 637 (NR1L-RVC-202 non-MTX R, NR1L-RVC-240 MTX Inserted) but the TIMEOUT_GEAR dwell (>= TIMEOUT_GEAR) for the non-MTX branch is not checked (no on/off-point)	Video Pipeline	boundary	2	IF the LTM receives: the signal LTM_OperationalModeSts.Info equal to  "Ignition ON" or "Ignition_Start" or "Ignition_On_Prplsn_On"  AND (   the signal TRANSM2.ShiftLeverPosition equal to "R"  for a time equal or greater than TIMEOUT_GEAR AND the PROXI parameter Gear_Box_Type is different from "MTX"  OR the signal ENGINE1.ReverseGearSts is equal to "Inserted" AND the PROXI parameter Gear_Box_Type is equal to "MTX" ) THEN LTM shall:
