sheet	row	col	text	class	去向	lint_detail
Test Case Specification&Result	24	proc	8. Check whether $TELEMATIC_FD_5.CM_TCH_STAT$ is 1 (TCH_PSD) with coordinates	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_FD_5.CM_TCH_STAT$'
Test Case Specification&Result	26	proc	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	26	proc	8. Check whether $TELEMATIC_FD_5.CM_TCH_STAT$ is 1 (TCH_PSD) with coordinates	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_FD_5.CM_TCH_STAT$'
Test Case Specification&Result	28	proc	5. Check whether $TELEMATIC_FD_5.CM_TCH_STAT$ is 1 (TCH_PSD) with coordinates	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_FD_5.CM_TCH_STAT$'
Test Case Specification&Result	29	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 6 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	30	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	32	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	33	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	34	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	35	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	36	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	37	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 3 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	38	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	39	proc	1. Apply ENTER_FULL_OPERATION and read the signal $STATUS_TELEMATIC.PowerSts_Tel	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	39	proc	4. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it equal	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	39	er	3. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ equals State_before	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	39	er	4. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ equals State_before	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	40	proc	3. Read the bus trace and check that the first $STATUS_TELEMATIC$ frame transmit	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	40	er	3. The first $STATUS_TELEMATIC$ frame after the reconnection carries $STATUS_TEL	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	41	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'STATUS_BH_BCM2.RemStActvSts ='
Test Case Specification&Result	41	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	41	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	42	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'STATUS_BH_BCM2.RemStActvSts ='
Test Case Specification&Result	42	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	42	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	43	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'STATUS_BH_BCM2.RemStActvSts ='
Test Case Specification&Result	43	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	43	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	44	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'STATUS_BH_BCM2.RemStActvSts ='
Test Case Specification&Result	44	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	44	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	45	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 7 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	47	pre	2. $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	47	pre	3. $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM2.RemStActvSts$'
Test Case Specification&Result	47	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 1 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	47	test_item(括號下半)	(read $STATUS_TELEMATIC.PowerSts_Telematic$ -> The TLM passes to Standby)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	49	proc	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = the value under test (D	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	49	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	49	er	1. The signal value $STATUS_BH_BCM1.OperationalModeSts$ is received without a bu	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	50	proc	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = the value under test (D	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	50	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	50	er	1. The signal value $STATUS_BH_BCM1.OperationalModeSts$ is received without a bu	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	51	proc	1. Send CAN: STATUS_BH_BCM1.DriverDoorSts = 1 (Open) and send the signal $STATUS	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	51	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	52	proc	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = the value under test (D	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	52	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	52	er	1. The signal value $STATUS_BH_BCM1.OperationalModeSts$ is received without a bu	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	53	proc	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = the value under test (D	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	53	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	53	er	1. The signal value $STATUS_BH_BCM1.OperationalModeSts$ is received without a bu	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	54	proc	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = the value under test (D	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	54	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	54	er	1. The signal value $STATUS_BH_BCM1.OperationalModeSts$ is received without a bu	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	55	pre	2. $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	55	pre	3. $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM2.RemStActvSts$'
Test Case Specification&Result	55	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 1 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	55	test_item(括號下半)	(read $STATUS_TELEMATIC.PowerSts_Telematic$ -> The TLM passes to Standby)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	56	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	57	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'CLIMATIC_PANEL.Radio_Btn0 from'
Test Case Specification&Result	57	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	57	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	58	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	59	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'CLIMATIC_PANEL.Radio_Btn0 from'
Test Case Specification&Result	59	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	59	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	62	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	63	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	64	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	65	proc	4. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	66	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'CLIMATIC_PANEL.Radio_Btn0 from'
Test Case Specification&Result	66	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	66	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	67	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'CLIMATIC_PANEL.Radio_Btn0 from'
Test Case Specification&Result	67	proc	"1. Drive CLIMATIC_PANEL.Radio_Btn0 from ""Not_Pressed"" to ""Pressed"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
