row	col	old_text	new_text	rule
25	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
25	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
25	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
26	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
26	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
26	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
26	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
27	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
27	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
27	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
27	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
31	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
31	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
32	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
32	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
33	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
33	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
34	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
34	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
34	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
35	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
35	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
39	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
39	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
40	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
40	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
41	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
41	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
42	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
42	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
43	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
43	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
44	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
44	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
45	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
45	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
46	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
46	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
47	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
47	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
48	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
48	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
49	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
49	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
50	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
50	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
51	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
51	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
52	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
52	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
53	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
53	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 6 (Bench) is received	STATUS_TELEMATIC.PowerSts_Telematic = 6 (Bench) is sent	recv
54	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
54	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 6 (Bench) is received	STATUS_TELEMATIC.PowerSts_Telematic = 6 (Bench) is sent	recv
55	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
55	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 6 (Bench) is received	STATUS_TELEMATIC.PowerSts_Telematic = 6 (Bench) is sent	recv
61	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 4 (Ignition_On)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 4 (Ignition_On)	send
61	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
61	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
62	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
62	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
63	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
63	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
64	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
64	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
65	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
65	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
70	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
70	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
71	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
71	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
72	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
72	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
73	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
73	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
74	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
74	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
75	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
75	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	recv
76	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
76	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
81	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
81	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	recv
82	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
82	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
82	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
82	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
83	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
83	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
83	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
83	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
84	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
84	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
84	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
84	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
85	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
85	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
85	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
85	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
86	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
86	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
87	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
87	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
88	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
88	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
89	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
89	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
90	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
90	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
91	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
91	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	recv
93	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
93	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 0 (Remote Start Not Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 0 (Remote Start Not Active)	send
93	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
95	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	send
95	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
95	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
95	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
96	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	send
96	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
96	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
96	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
96	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
97	12	Send the signal $STATUS_BH_BCM1.DriverDoorSts$ = 1 (Open)	Send CAN: STATUS_BH_BCM1.DriverDoorSts = 1 (Open)	send
97	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
97	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
97	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
98	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	send
98	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
98	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
98	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
99	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	send
99	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
99	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	recv
99	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
100	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 2 (Ignition_Off)	send
100	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
100	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	recv
100	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
101	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
101	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 0 (Remote Start Not Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 0 (Remote Start Not Active)	send
101	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
102	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 4 (Ignition_On)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 4 (Ignition_On)	send
102	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
102	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	recv
103	12	Send the signal $CLIMATIC_PANEL.Radio_btn0$ = 0 (Not_Pressed)	Send CAN: CLIMATIC_PANEL.Radio_btn0 = 0 (Not_Pressed)	send
103	12	Send the signal $CLIMATIC_PANEL.Radio_btn0$ = 1 (Pressed)	Send CAN: CLIMATIC_PANEL.Radio_btn0 = 1 (Pressed)	send
103	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 4 (Ignition_On)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 4 (Ignition_On)	send
103	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
103	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	recv
103	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
104	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 4 (Ignition_On)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 4 (Ignition_On)	send
104	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
104	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	recv
105	12	Send the signal $CLIMATIC_PANEL.Radio_btn0$ = 0 (Not_Pressed)	Send CAN: CLIMATIC_PANEL.Radio_btn0 = 0 (Not_Pressed)	send
