本	路徑	sha12	資料列	v3式	SendCAN:	PROXI舊式	PROXI新式	機械項	待裁項	lintX	建議	判準
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/05_Player/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS025_PlayerFunctions_20260312(Review).xlsx	6c445247ef81	146	0	0	0	0	0	0	107	需 Pei 內容裁決	X 107 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/05_Player/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS025_PlayerFunctions_20260412(Refine).xlsx	49b09b834504	160	0	0	0	0	0	0	172	需 Pei 內容裁決	X 172 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/05_Player/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS025_PlayerFunctions_20260625(done).xlsx	f986a173025e	157	0	0	0	0	0	0	450	需 Pei 內容裁決	X 450 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/06_SWC/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SWC_20260529.xlsx	1401f83a33d3	142	0	52	26	0	0	26	20	需 Pei 內容裁決	待裁 26；PROXI 舊式 26 行（R-VS86 vs R-G70(e) 未裁）；X 20 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/06_SWC/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SWC_20260628(done_AACPonly).xlsx	7dd8f1737c20	142	0	52	26	0	0	26	20	需 Pei 內容裁決	待裁 26；PROXI 舊式 26 行（R-VS86 vs R-G70(e) 未裁）；X 20 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/bed_lowering/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_BedLowering_20260827.xlsx	efa1da4c8f59	151	501	0	0	0	347	93	169	需 Pei 內容裁決	待裁 93；X 169 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/bed_lowering/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_BedLowering_20260902.xlsx	a0331aa6e263	151	501	0	302	0	347	395	169	需 Pei 內容裁決	待裁 395；PROXI 舊式 302 行（R-VS86 vs R-G70(e) 未裁）；X 169 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/comfort/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Comfort_20260815_prepared.xlsx	b68117a211b0	0	0	0	0	0	0	0	0	不適用	TC 分頁 0 資料列（空模板或已清空）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/comfort/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Comfort_20260816_prepared_ext.xlsx	6d53056e559b	0	0	0	0	0	0	0	0	不適用	TC 分頁 0 資料列（空模板或已清空）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/comfort/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Comfort_20260817_rowsort.xlsx	235f2ca73d3b	465	0	0	4	0	0	4	319	需 Pei 內容裁決	待裁 4；PROXI 舊式 4 行（R-VS86 vs R-G70(e) 未裁）；X 319 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/display/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Display_20260826.xlsx	069724551474	23	40	0	0	0	26	14	25	需 Pei 內容裁決	待裁 14；X 25 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/ics_management/delivered/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_ICSManagement_20260830.xlsx	cb5697db79a6	31	119	0	0	0	91	25	29	需 Pei 內容裁決	待裁 25；X 29 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/popup/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Popup_20260828.xlsx	a13559d51d91	5	0	0	0	0	0	0	3	需 Pei 內容裁決	X 3 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
pm_29.xlsx	features/power/delivered/pm_29.xlsx	35305835796a	389	606	0	85	0	417	268	237	需 Pei 內容裁決	待裁 268；PROXI 舊式 85 行（R-VS86 vs R-G70(e) 未裁）；X 237 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
pm_73.xlsx	features/power/delivered/pm_73.xlsx	cedb6b84d422	287	269	0	25	0	209	69	103	需 Pei 內容裁決	待裁 69；PROXI 舊式 25 行（R-VS86 vs R-G70(e) 未裁）；X 103 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/power/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260830.xlsx	cedb6b84d422	287	269	0	25	0	209	69	103	需 Pei 內容裁決	待裁 69；PROXI 舊式 25 行（R-VS86 vs R-G70(e) 未裁）；X 103 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/power_moding/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerModing_20260825_writeback.xlsx	070ef73cea7b	51	0	0	0	0	0	0	39	需 Pei 內容裁決	X 39 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/power_moding/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerModing_20260826_writeback_rev2.xlsx	01e917b88e05	51	0	0	0	0	0	0	39	需 Pei 內容裁決	X 39 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/power_moding/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerModing_20260826_writeback_rev3.xlsx	8f471ddf27c4	51	0	0	0	0	0	0	39	需 Pei 內容裁決	X 39 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/privacy/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Privacy_20260813_prepared.xlsx	ed741d8d23f7	0	0	0	0	0	0	0	0	不適用	TC 分頁 0 資料列（空模板或已清空）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/privacy/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Privacy_20260813_regen-v1.xlsx	ad595ed0cad2	11	0	0	0	0	0	0	0	無需回修	v3 式 0、待裁項 0、X 0
prepared_step1_cleared.xlsx	features/privacy/output/prepared_step1_cleared.xlsx	b68117a211b0	0	0	0	0	0	0	0	0	不適用	TC 分頁 0 資料列（空模板或已清空）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/sw_update/delivered/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SWUpdate_20260830.xlsx	4f6caa35f2a7	319	3	0	0	0	3	0	159	需 Pei 內容裁決	X 159 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/sw_update/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SWUpdate_EMPTY_20260828.xlsx	3d43954129d7	0	0	0	0	0	0	0	0	不適用	TC 分頁 0 資料列（空模板或已清空）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/sxm/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_SXM_20260813.xlsx	0b9cb4f65f86	215	0	0	0	0	0	0	116	需 Pei 內容裁決	X 116 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx	717d48d8fb0b	59	133	0	5	0	71	5	49	需 Pei 內容裁決	待裁 5；PROXI 舊式 5 行（R-VS86 vs R-G70(e) 未裁）；X 49 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260819.xlsx	0e40ff5b3127	189	0	0	0	0	0	0	197	需 Pei 內容裁決	X 197 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260820_itemdata.xlsx	570eb7cd8d10	189	0	0	0	0	0	0	197	需 Pei 內容裁決	X 197 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260820_itemgap.xlsx	cbd04af65272	189	0	0	0	0	0	0	197	需 Pei 內容裁決	X 197 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/vehicle_category/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VehicleCategory_20260827_working.xlsx	c470defd66c5	126	0	0	0	0	0	0	189	需 Pei 內容裁決	X 189 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/vehicle_category/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VehicleCategory_20260902_working.xlsx	f9bbeffc56dc	126	0	0	16	0	0	16	189	需 Pei 內容裁決	待裁 16；PROXI 舊式 16 行（R-VS86 vs R-G70(e) 未裁）；X 189 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/vehicle_setting/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VF230_20260902.xlsx	aed08b4d83a8	438	0	180	386	0	0	427	361	需 Pei 內容裁決	待裁 427；PROXI 舊式 386 行（R-VS86 vs R-G70(e) 未裁）；X 361 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	features/vsm_v42/delivered/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_VehicleSetupManagementR1Low_20260902.xlsx	abc7f8aecd23	17	60	0	17	0	47	28	6	需 Pei 內容裁決	待裁 28；PROXI 舊式 17 行（R-VS86 vs R-G70(e) 未裁）；X 6 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
