rg_id	ledger_title	ledger_loc	fo_title	fo_loc	verdict	intra_dup
R-G27	概念映射須以確切詞組或欄位鍵為據	docs/fw036/RULINGS_LEDGER.md:598	來源集中制（`sources/`）	docs/fw036/FEATURE_ONBOARDING.md:1094	DIFFERENT	
R-G28	裁決選單須先驗證其能解題	docs/fw036/RULINGS_LEDGER.md:624	CFTS 嵌入物件之逐 feature 檢查	docs/fw036/FEATURE_ONBOARDING.md:1110	DIFFERENT	
R-G29	未驗項分流：交付正確性 vs 鷹架品質	docs/fw036/RULINGS_LEDGER.md:637	條文須加框（`body_kind` 之不變式）	docs/fw036/FEATURE_ONBOARDING.md:1159	DIFFERENT	
R-G30	流程檔位與 feature 規模成比例	docs/fw036/RULINGS_LEDGER.md:652			LEDGER_ONLY	
R-G31	推進聲明與斷路器	docs/fw036/RULINGS_LEDGER.md:667			LEDGER_ONLY	
R-G32	交付列序 = Requirement ID 升冪	docs/fw036/RULINGS_LEDGER.md:681			LEDGER_ONLY	
R-G33	test_item 上半之未涵蓋面向須於括號下半明寫	docs/fw036/RULINGS_LEDGER.md:724			LEDGER_ONLY	
R-G34	抄錄之置放以順序驗證通過為準	docs/fw036/RULINGS_LEDGER.md:773			LEDGER_ONLY	
R-G35	素材之可及性須於下放包內聲明	docs/fw036/RULINGS_LEDGER.md:832			LEDGER_ONLY	
R-G36	規格內容一律機器抽取，不得自下放包轉抄	docs/fw036/RULINGS_LEDGER.md:858			LEDGER_ONLY	
R-G37	適用性判準須自該檔之值域導出	docs/fw036/RULINGS_LEDGER.md:892			LEDGER_ONLY	
R-G38	自陳未驗項若於本輪可驗，須當場驗	docs/fw036/RULINGS_LEDGER.md:930			LEDGER_ONLY	
R-G39	關鍵詞產出候選，行為軸產出 TC	docs/fw036/RULINGS_LEDGER.md:971			LEDGER_ONLY	
R-G40	列序為交付屬性；宣告與讀者須成對	docs/fw036/RULINGS_LEDGER.md:1008			LEDGER_ONLY	
R-G41	掃描起點須先被盤點	docs/fw036/RULINGS_LEDGER.md:1069			LEDGER_ONLY	
R-G42	交付規格表	docs/fw036/RULINGS_LEDGER.md:1224	交付規格表（全域）	docs/fw036/FEATURE_ONBOARDING.md:1188	SAME_TITLE	
