outline	sibling_outline	verdict	provisional	source	equivalent_tc_pairs	reviewed_at	reason
10.1	14.12	not-sibling	false	vocab		129	**43 §1 之逐對判定（批次 16 使 R-C42 解封之十節落地）。** **方法 `[machine]`（R-C41）**：`identical-TC scan`（本輪）比對全 corpus 三欄，得 23 組逐字相同者，**本對不在其中**；逐對之語意判讀為 `[manual]`。ch10（ECO HVAC）與本節無交集，**非 sibling**（原 verdict `not-broken-by-3-samples (class)` 依 41 §4／42 §1 永不得為終判，本輪改為逐對判定）
10.1	14.13	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.19	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.2	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.3	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.4	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.5	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.6	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.7	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.8	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	14.9	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	15.1	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.1	16.10	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 12 使 `ICS Climate Modes` 六節落地）。** 非 sibling —— ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）。**新證據**：兩側 TC 皆已產出，本批所驗者為 ICS 介面之 AUTO／climate off／SYNC／MAX A/C，與 ch10 之 AUTO 三狀態循環、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.1	16.11	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 12 使 `ICS Climate Modes` 六節落地）。** 非 sibling —— ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）。**新證據**：兩側 TC 皆已產出，本批所驗者為 ICS 介面之 AUTO／climate off／SYNC／MAX A/C，與 ch10 之 AUTO 三狀態循環、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.1	16.12	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 13 使 `ICS Airflow and Defrost` 五節落地）。** verdict 維持 —— ch10 定 AUTO ECO 狀態於各處之反映，ch16 諸節定ICS 控件之操作與呈現；兩側 TC 之 `expected_result` 交集為空。**新證據**：TC 對 TC 之比對取代條文對條文之比對，結論不變
10.1	16.12.1	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 13 使 `ICS Airflow and Defrost` 五節落地）。** verdict 維持 —— ch10 定 AUTO ECO 狀態於各處之反映，ch16 諸節定ICS 控件之操作與呈現；兩側 TC 之 `expected_result` 交集為空。**新證據**：TC 對 TC 之比對取代條文對條文之比對，結論不變
10.1	16.13	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 12 使 `ICS Climate Modes` 六節落地）。** 非 sibling —— ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）。**新證據**：兩側 TC 皆已產出，本批所驗者為 ICS 介面之 AUTO／climate off／SYNC／MAX A/C，與 ch10 之 AUTO 三狀態循環、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.1	16.3	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 12 使 `ICS Climate Modes` 六節落地）。** 非 sibling —— ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）。**新證據**：兩側 TC 皆已產出，本批所驗者為 ICS 介面之 AUTO／climate off／SYNC／MAX A/C，與 ch10 之 AUTO 三狀態循環、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.1	16.8	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 13 使 `ICS Airflow and Defrost` 五節落地）。** verdict 維持 —— ch10 定 AUTO ECO 狀態於各處之反映，ch16 諸節定ICS 控件之操作與呈現；兩側 TC 之 `expected_result` 交集為空。**新證據**：TC 對 TC 之比對取代條文對條文之比對，結論不變
10.2	10.3	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO ECO']。**分級：共有單一低頻語彙，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.4	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO', 'AUTO ECO']。**分級：共有語彙 ≥2，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.5	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO', 'AUTO ECO']。**分級：共有語彙 ≥2，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.6	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO', 'AUTO ECO']。**分級：共有語彙 ≥2，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.7	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO']。**分級：僅共有單一高頻語彙**（40 §3），依該詞之類級處置逐對落地。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.8	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO', 'AUTO ECO']。**分級：共有語彙 ≥2，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.9	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO', 'AUTO ECO']。**分級：共有語彙 ≥2，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	10.9.1	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO', 'AUTO ECO']。**分級：共有語彙 ≥2，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.2	11.5	not-sibling	false	vocab		129	**43 §1 之逐對判定（66 §1 使 `11.5`／`12.6` 之 BLOCKED 列落地）。** **方法 `[machine]`**：`identical-TC scan` 之結果不含本對。共有語彙 ['AUTO']。**`11.5`／`12.6` 為 BLOCKED 列**，其 `test_procedure` 與 `expected_result` 留白 —— **一列不驗任何行為者，不可能與任何一節驗同一件事**，故對 `10.2` 為 **not-sibling**；其真正之對造是彼此（同標籤 `HVS6.`、不同委派對象，見 DR #43），該對已另列（原 verdict `not-sibling`）
10.2	12.6	not-sibling	false	vocab		129	**43 §1 之逐對判定（66 §1 使 `11.5`／`12.6` 之 BLOCKED 列落地）。** **方法 `[machine]`**：`identical-TC scan` 之結果不含本對。共有語彙 ['AUTO']。**`11.5`／`12.6` 為 BLOCKED 列**，其 `test_procedure` 與 `expected_result` 留白 —— **一列不驗任何行為者，不可能與任何一節驗同一件事**，故對 `10.2` 為 **not-sibling**；其真正之對造是彼此（同標籤 `HVS6.`、不同委派對象，見 DR #43），該對已另列（原 verdict `not-sibling`）
10.2	14.19	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.2	15.1	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 11 使 `Climate Popups` 十九節落地）。** 非 sibling —— **popup 之呈現條件 vs popup 所示之內容，是同一個 popup 的兩個面向**：本批各節定「何時顯示、顯示於何處、如何互動」，ch10 定「該 popup 所反映之 AUTO ECO 狀態」。**新證據**：兩側 TC 皆已產出，逐條比對其 `expected_result` 無共用可觀察量。其唯一交界（widget 顯示時 AUTO popup 不顯示而 10.9 要求其反映 ECO 狀態）**已登 DATA_REQUESTS #26**，交界不是 sibling。verdict 維持
10.2	16.13	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 12 使 `ICS Climate Modes` 六節落地）。** 非 sibling —— ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）。**新證據**：兩側 TC 皆已產出，本批所驗者為 ICS 介面之 AUTO／climate off／SYNC／MAX A/C，與 ch10 之 AUTO 三狀態循環、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.2	16.14	not-sibling	false	vocab		129	**42 §1 之重新確認（43 §1 修正觸發）。** ch10（ECO HVAC）與 16.14（ICS 之 MTC 界定）非同一需求：ch16 十八節無 ECO HVAC 之對應節，且 16.14 之 `MTC` 為氣候控制型式（第一軸）、ch10 之 `HVAC Mode` 為系統內之一種模式（第十五軸），兩個 `HVAC`／`AUTO` 指涉層級不同。**新證據**：批次 6 已產出 16.14 之三條 TC，其可觀察量為 MTC 畫面與 MTC 溫度 popup，與 ch10 之 AUTO 三狀態、Menu Bar icon、AUTO popup 文字**無一重疊**。verdict 維持
10.2	16.3	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 12 使 `ICS Climate Modes` 六節落地）。** 非 sibling —— ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）。**新證據**：兩側 TC 皆已產出，本批所驗者為 ICS 介面之 AUTO／climate off／SYNC／MAX A/C，與 ch10 之 AUTO 三狀態循環、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.2	16.7	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 7 使對造落地）。** ch10（ECO HVAC）之能力於 ch16 十八節無對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列）；且 ch10 自身以委派字面回指標準 AUTO（10.5 `see standard ICE AUTO logics`），委派不是重述。**新證據**：本批之 ch16 TC 所驗者為溫度／風速之值域與呈現，與 ch10 之 AUTO 三狀態、Menu Bar icon、AUTO popup 文字無一重疊。verdict 維持
10.2	16.8	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 13 使 `ICS Airflow and Defrost` 五節落地）。** verdict 維持 —— ch10 定 AUTO ECO 狀態於各處之反映，ch16 諸節定ICS 控件之操作與呈現；兩側 TC 之 `expected_result` 交集為空。**新證據**：TC 對 TC 之比對取代條文對條文之比對，結論不變
10.2	17.2	not-sibling	false	vocab		129	**43 §1 之重新確認（批次 8 使 17.2 落地）。** 非 sibling —— ch10 之 AUTO ECO 三狀態其可觀察端由 **10.8 明指為 `the Comfort main Menu Bar icon`**，而 17.2 之 `auto button` 在**首頁 widget** 上，兩者為不同元件。**新證據**：`-118`（widget 之 auto button）與 ch10 之 `-073`／`-077`～`-080` 逐條比對，可觀察量無一重疊。**惟其交界已登 DATA_REQUESTS #26**（widget 顯示中時 AUTO ECO 之回饋於何處）—— 交界不是 sibling，兩者分列
10.3	10.4	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO ECO']。**分級：共有單一低頻語彙，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.3	10.5	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO ECO']。**分級：共有單一低頻語彙，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
10.3	10.6	not-sibling	false	intra-set		129	**43 §1 之逐對判定（批次 16 ＋ 64 §4 之同組配對）。** **方法 `[machine]`**：`identical-TC scan`（本輪）比對全 corpus 三欄之結果**不含本對**；共有語彙由 `sibling_candidates.py` 之 VOCAB 取出。共有語彙 ['AUTO ECO']。**分級：共有單一低頻語彙，逐對判定**。**判定**：兩節雖同屬一組（`intra-set`），其 TC 之 `expected_result` 所指之控制與畫面不同 —— 同組意謂主題相近，不意謂驗同一件事；故 **not-sibling**（原 verdict `deferred`，依 41 §4／42 §1 永不得為終判）
