outline	req_id	test_set	full_text
2.10	SWE1-HVAC-014	Climate Modes	C11.) Climate off has on/off state that is indicated on HC, TS (climate screen) and in status bar. Climate off affects every climate function with the exception of FRONT /MAX DEFROST (depending on equipment) and REAR DEFROST (and seat/wheel controls). When the system is turned off, show the CLIMATE OFF screen with the OFF button turned into an ON button and grey out remaining buttons except for Front/max defrost and rear defrost. Category button shows fan greyed out and mode oscar replaced with "OFF" which will remain until the user turns it back on. Temperatures and units (°F/C) in status bar are substituted by dashes in all modes when climate is off. If a user presses a temp/fan control to turn climate back on, the system reinstates to the last level of that feature and if Front/Max Defrost is selected, the climate system turns back on (does not happen with rear defrost, heated/vented seats or heated wheel). If the user continues to hold/turn the control, the system will respond in-kind.
2.11	SWE1-HVAC-015	Climate Modes	C12.) SYNC has on/ off state that is indicated on climate screen (highlight button if SYNC). Sync is not shown for single zone climate configurations. Sync synchronizes driver and passenger temperatures to the driver temperature. When SYNC is on, changing the driver temperature automatically changes the passenger temperature. Adjusting the passenger temperature via touchscreen or hard control would break SYNC. Adjusting Fan speed and Mode will alter the Front and Rear passengers. If the rear fan speed, mode, or temp are adjust from either the touchscreen or rear climate controls will break SYNC and turn it off.
2.12	SWE1-HVAC-016	Airflow and Defrost	C13.) There are 4 Airflow Mode displayed in this order (1) Face, (2) Face plus Feet, (3) Feet, (4) Feet plus Windshield. ON state for the four airflow modes is shown by highlighting the button and increasing button size. The main category control will display the newly selected airflow mode inside the fan space. Only one airflow mode can be selected at a time.
2.12.1	SWE1-HVAC-017	Airflow and Defrost	C13.0) In some non-tri mode equipment types, airflow modes has 5 states (1.Face, 2.Mix of Face & Feet, 3.Feet, 4.Mix of Feet & Windshield, 5. Windshield).
2.12.2	SWE1-HVAC-018	Airflow and Defrost	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop. Defrost will not be included in the loop) press and hold of the control will only move one mode over, it will not continue to move through modes. When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main. In both cases the main category label will be updated. While in Rear Climate screen the Mode Hard Control button will alter the front Mode.
2.13	SWE1-HVAC-019	Climate Modes	C14.) MAX A/C screens/popups are to be used when CCM relays presence of MAX A/C functionality. MAX A/C has an on/off state that is indicated on climate screen (highlight button if on). MAX A/C modifies multiple climate parameters. On/Off logic should follow requirements from VF HVAC document.
2.14	SWE1-HVAC-020	Front Climate Anatomy	C15.) MTC screens/popups are to be used when CCM relays MTC functionality. MTC climate is primarily differentiated from ATC by the lack of discrete temperature settings and "Auto" control over the set temperature. For MTC with ICS, there will be no redundant interaction with the screen for certain types of physical knobs (3 knob HVAC controls) in order to prevent a mismatch between the soft and hard controls. In these cases, no HVAC menu bar icons, no HVAC screens and no HVAC pop ups will be displayed. For one zone MTC with push button TEMPERATURE and hard controls that would not create a mismatch between hard controls then this exception does not apply.
2.15	SWE1-HVAC-021	Airflow and Defrost	C16.) EXTERIOR REAR-VIEW MIRROR DEFROST has on/ off state. EXTERIOR REAR-VIEW MIRROR DEFROST is independent of any other climate functions.
2.16	SWE1-HVAC-022	Temperature and Fan	C18.) If blower reduction occurs automatically due to an active Voice Recognition session, the change in fan speed is not displayed to the user. After blower reduction, return blower speed to previous speed without showing a change in fan speed.
3.1	SWE1-HVAC-023	Tri-Mode Climate	C19) Tri-Mode Climate: On vehicles with Tri-Mode climate, there are 3 airflow mode buttons (Windshield, Face, Feet) on the Tri-Mode Climate screen. Each Mode button can be pressed to individually toggle ON / OFF which provides 7 possible distribution modes. Pressing the hard control MODE button will cycle through all MODE combinations (repeating the process so it loops at the end of each cycle). The airflow mode combinations will cycle in this order: (Face, Face & Feet, Feet, Windshield & Feet, Windshield, Windshield & Face, Windshield & Face & Feet). If the MODE button is a multi-directional toggle or a hard control that allows 2 controls (UP/DOWN or RIGHT/LEFT) then the user can navigate through the cycle of modes. Toggling UP (or RIGHT) moves forward in the order and toggling DOWN (or LEFT) moves backwards through the cycle.
3.2	SWE1-HVAC-024	Tri-Mode Climate	C20.) MAX DEFROST: On vehicles with MAX DEF, MAX DEF replaces FRONT DEF button. MAX DEF automatically turns on A/C, changes airflow modes to Windshield, increases fan speed to highest setting (7/7), sets temperature (driver and passenger if available) at highest setting (HI), change RECIRC to open (LED off), turns on Sync and activates the REAR DEFROST. MAX DEF switches off automatically after a set time after which the system goes back to the previous manual mode. Change in fan speed does not break MAX DEF. Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on. Pressing A/C breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C off. Pressing AUTO brakes MAX DEF (turns MAX DEF off) and the system goes to AUTO. Similarly, pressing MAX A/C turns MAX DEF off (turns MAX DEF off) and the system goes to MAX A/C.
3.3	SWE1-HVAC-025	Tri-Mode Climate	C21.) MAX DEF and REAR DEF are available during climate off.
3.4	SWE1-HVAC-026	Tri-Mode Climate	C22.) For soft top vehicles such as JL/JT, when configured, the rear defrost button will not appear when not present in the vehicle.
6.3	SWE1-HVAC-027	Front Climate Anatomy	CM1.) When a vehicle is configured with a non-foldable secondary lower screen that contains comfort information, the comfort section will be removed from the head unit except for comfort popups.
7.1	SWE1-HVAC-028	Rear Climate	CR1.) Hard controls do not switch to controlling the rear climate when on the rear climate screen. For example, fan knob will always control the fan speed and driver/passenger temperature controls will always control the front driver/pass temperature.
7.1.1	SWE1-HVAC-029	Rear Climate	CR1.1) Rear hard controls changes will not provide popups on the front screen (i.e. do not do similar to what is done with fan and temp for front seat). To that point, the driver must be on the rear climate screen to see the changes that the rear passenger commanded. Further, if on rear climate screen and user uses front controls, provide fan and temperature popup (showing update to front climate).
7.2	SWE1-HVAC-030	Rear Climate	CR2.) Rear AUTO has on/ off state. The fan speed indicator shows Auto instead of the actual fan speed (this is based on fan speed of 15h rather than the status of AUTO). AUTO affects Fan speed and Modes in order to reach desired temperature as quickly as possible. Auto is mutually exclusive with the three airflow modes. If Auto is turned on, these buttons/statuses are turned off. The fan speed will be transmitted as 15h instead of the actual fan speed. Switching to another airflow mode would break Auto; go from auto mode to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode. Fan breaks Auto for Airflow mode. Any other climate controls do NOT break Auto either.
7.3	SWE1-HVAC-031	Rear Climate	CR3.) LOCK REAR has on/ off state. Rear lock will lockout the rear climate controls. The text for LOCK REAR will change to UNLOCK REAR text and Lock graphic when Rear Climate is locked to indicate the state of being locked or unlocked (While unlocked = Lock Rear text with unlocked Lock icon, While locked = Unlock Rear text with the Lock icon).
7.4	SWE1-HVAC-032	Rear Climate	CR4.) Temperature ranges: LO, 60-84, HI. The status is indicated on the rear climate screen. Temperature will display the current degree (or half degree increments for Celsius) the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value. Change temperature on climate screen by using arrows (move 1 increment up/down per press, long press = fast move ((hold longer that 500 ms)) or slider (TEMP pop-up next to slider when touching it so that finger does not cover number). The system can jump to a value as well via the slider. User must press slider handle to move temperature slider position; if user initially presses slider area outside of handle, ignore the press. If SYNC is ON, adjusting driver temperature affects passenger temperatures, adjusting passenger temperatures would break SYNC and turn it off. When the user sets the climate system temperature ranges to Metric the CCM switches to half degree increments. The temperature within the temp slider, status bar, temp slider popup, and temp popup will reflect this change in temperature increments.
7.5	SWE1-HVAC-033	Rear Climate	CR5.) Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead). The status is indicated on TS rear climate screen. When on climate screen, user can either use Fan up/down (minus/plus) buttons, directly touch a fan segment to jump or slide. The user shall not be able to turn the FAN off by using the FAN controls on the screen. There would always be one bar highlighted. The only way to have all FAN bars grayed out is by shutting the CLIMATE system OFF (using climate power button on the screen).
7.6	SWE1-HVAC-034	Rear Climate	CR6.) Rear climate off has on/off state that is indicated on TS (rear climate screen). Climate off affects every rear climate function. When the rear climate system is turned off, show the REAR CLIMATE OFF screen with the REAR OFF button turned into an REAR ON button and blank other rear climate buttons except rear lock and front climate. If the user turns off the front climate while the head unit is showing the rear climate screen, transition to the front climate off screen with the REAR CLIMATE button blanked. Rear climate is unavailable when front climate is off.
7.7	SWE1-HVAC-035	Rear Climate	CR7.) SYNC has on/ off state that is indicated on climate screen (highlight button if SYNC). Sync synchronizes driver and passenger temperatures to the driver temperature. Fan speed and blower are sync'd front to back. When SYNC is on, changing the driver temperature, mode or fan speed automatically changes the rear climate. Adjusting the front or rear passenger temperature, mode, and fan speed via touchscreen or hard control would break SYNC.
7.8	SWE1-HVAC-036	Rear Climate	CR8.) The Rear Airflow Modes has 3 states: 1) Feet, 2) Face + Feet, 3) Face. ON state for the three airflow modes is shown by highlighting the button and increasing button size. AUTO breaks Airflow Modes. If Auto is turned on, these buttons are turned off. Only one mode can be selected at a time. If the Rear Mode hard control is pressed the user will be moved to the next mode available in the loop the user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes.
7.9	SWE1-HVAC-037	Rear Climate	CR9.) AC has on/ off state.
7.10	SWE1-HVAC-038	Rear Climate	CR10.) 4 Zone Climate includes two temperature zones in the rear climate. The rear driver-side and rear-passenger side have separate temperature slider bars to control each respective TEMP zones.
9.1	SWE1-HVAC-039	Rear Climate	CR11.) On some vehicles (See CFTS043 for details), there are additional Rear Climate controls and shortcuts.
9.2	SWE1-HVAC-040	Rear Climate	CR12.) Alternative fan speed pop up: in these variants, when the fan speed pop up is triggered by the interaction with hard controls, the pop up will show additional information on the Rear Climate fan speed. The pop up will show the front fan speed status (level number, AUTO, OFF) and the Rear fan status (level number, AUTO, OFF). The pop up will be touch interactive: by pressing on the Front Fan area, the user will be redirected to the Front climate tab; by pressing on the Rear fan area, the user will be redirected to the Rear climate tab. See «HVAC Popups» chapter and C1.) and C2.) requirements for further information on pop ups logics.
9.3	SWE1-HVAC-041	Rear Climate	C12.1.) The pop up will have text labels, «Front» for front climate and «Rear» for Rear Climate.
9.4	SWE1-HVAC-042	Rear Climate	CR13.) Alternative Status Bar Dropdown: in these variants, the driver side climate dropdown menu will have an additional Rear Climate button. The button will act as a Rear Climate On / Off shortcut. By pressing it, the user will be able to turn the Rear Climate OFF (change will be reflected in the Rear Climate Tab) and On again following core Rear Climate on / off logics. When the button is highlighted, it means Rear Climate is On.
9.4.1	SWE1-HVAC-043	Rear Climate	CR13.1.) The button label will read «Rear».
10.1	SWE1-HVAC-044	ECO HVAC	EH1.) ECO HVAC is an HVAC Mode, used on EV Vehicles only, to reduce Climate control System Power Consumption.
10.2	SWE1-HVAC-045	ECO HVAC	EH2.) For BEV vehicles, the AUTO functionality can have 3 states: AUTO ECO, AUTO ON, AUTO OFF.
10.3	SWE1-HVAC-046	ECO HVAC	EH3.) Button label will read AUTO ECO.
10.4	SWE1-HVAC-047	ECO HVAC	EH4.) When the AUTO function is off and available, the user s first press of the AUTO button will activate the AUTO ECO functionality.
10.5	SWE1-HVAC-048	ECO HVAC	EH5.) The second press will switch to AUTO on. A third press would go back to AUTO ECO. The user will not be able to exit AUTO mode by pressing the AUTO button again. AUTO mode will only be broken by acting on other buttons e.g. fan speed, airflow mode etc (see standard ICE AUTO logics).
10.6	SWE1-HVAC-049	ECO HVAC	EH6.) When AUTO ECO is on, deselect airflow modes as in standard AUTO mode; fan speed indication should denote that AUTO ECO is active.
10.7	SWE1-HVAC-050	ECO HVAC	EH7.) HVAC AUTO shall keep the selected setting through ignition cycles.
10.8	SWE1-HVAC-051	ECO HVAC	EH8.) The Comfort main Menu Bar icon shall reflect the AUTO ECO and AUTO states.
10.9	SWE1-HVAC-052	ECO HVAC	EH9.) The comfort pop ups triggered by hard controls interaction shall reflect the AUTO ECO and AUTO states.
10.9.1	SWE1-HVAC-053	ECO HVAC	EH9.1) When ECO HVAC is equipped on a vehicle, the AUTO pop ups triggered by hard controls will have an additional info text compared to the standard ICE AUTO pop up. When entering the AUTO ECO mode, text will read «Press again to improve climate performance»; when standard AUTO is activated, the text will read «Press again for lower battery consumption»
11.1	SWE1-HVAC-054	Heated Vented Seats	HVS1. For Multi-Level Heated/Vented seats, a press of the heated seat button opens popup and turns the seat on HI, the soft button highlights red and the control displays 3 arrows, HI and/or LEDs. The next button press sets the seat to MED, button remains highlighted and displays 2 arrows, MED and/or LEDs. The third button press sets the seat to LO, button remains highlighted and displays 1 arrow, LO and/or LED. The next press, turns the heated seat OFF, the button is no longer highlighted and 3 arrows are shown.
11.2	SWE1-HVAC-055	Heated Vented Seats	HVS2. For Multi-Level Heated/Vented seats, a press of the vented seat button opens popup and turns the seat on HI , the soft button highlights blue and control displays a large fan, HI and/or 3 LEDs. The next button press sets the seat to MED, button remains highlighted and displays a medium fan, MED and/or 2 LEDs. The third button press sets the seat to LO, button remains highlighted and displays a small fan, LO and/or 1 LED. The next press, turns the vented seat OFF, the button is no longer highlighted and no arrows are shown.
11.3	SWE1-HVAC-056	Heated Vented Seats	HVS4. When climate is OFF, the status bar should still show heated/vented seat status.
11.4	SWE1-HVAC-057	Heated Vented Seats	HVS5. Heated seats buttons when activated will be shown red. Vented seat buttons when activated will be shown blue.
11.5	SWE1-HVAC-058	Heated Vented Seats	HVS6. Refer to HMI Settings List for the details on the Auto Comfort Settings options for heated/vented seats.
11.6	SWE1-HVAC-059	Heated Vented Seats	R1HVS1.) If the independent seat zone feature is available, when heated or vented seats are activated the seat zone control will default to both seat back and seat cushion active. Seat zone popup is not displayed when user is interacting with heated and vented seat controls. While both seat zones (cushion and back) are active an additional press of seat zone button will maintain seat back active only. An additional press will activate seat cushion only. User cannot turn seat zone off by using the seat zone button. Seat zone button will be shown in an off state when heated/vented seats are not active.
11.6.1	SWE1-HVAC-060	Heated Vented Seats	R1HVS1.1) On vehicles that are equipped with the seat zone feature without a hard control or capacitive control there will be a soft button to control this feature in the comfort screen. There are 3 states (1. both seat back and seat cushion, 2. Seat back only 3. Seat cushion only), plus a greyed out state in case heated and vented seats are off.
11.7	SWE1-HVAC-061	Heated Vented Seats	R1HVS1.2.) For independent seat zones soft control, when the heated or vented seat is turned on for the first time in a key cycle, the seat zone button will default to back and cushion. A press of the seat zone button opens the pop up and moves to the next available state in the cycle (back and cushion, back, cushion etc.). The pop up will have a «Driver Seat Zone» label for the driver and «Passenger Seat Zone» label for the passenger. The pop up will not open if the user presses the greyed out button.
11.8	SWE1-HVAC-062	Heated Vented Seats	W1HVS2.) For Multi-Level Heated steering wheel, a press of the heated steering wheel button opens popup and turns the wheel heat on HI , the soft button highlights red and the control displays 3 arrows, HI and/or LEDs. The next button press sets the wheel to MED, button remains highlighted and displays 2 arrows, MED and/or LEDs. The third button press sets the wheel to LO, button remains highlighted and displays 1 arrow, LO and/or LED. The next press, turns the heated wheel OFF, the button is no longer highlighted and 3 arrows are shown.
11.9	SWE1-HVAC-063	Heated Vented Seats	R1HVS2.) For Single-Level heated steering wheel, a press of the heated steering wheel button opens popup and turns the wheel heat to ON . The next press turns the heated wheel OFF , the button is no longer highlighted.
11.10	SWE1-HVAC-064	Heated Vented Seats	R1HVS3.) Heated/vented seat, heated wheel, and seat zone popup is displayed on first press of heated/vented seat, heated wheel, or seat zone control. The first press will open popup and change level of heated/vented seat, wheel, or seat zone. The popup will be displayed for 3 seconds. If an item in the popup is selected the timer will restart. Additional presses of the heated/vented seat, heated wheel, or seat zone icon will change the level of heated/vented seat, heated wheel, or seat zone area.
11.11	SWE1-HVAC-065	Heated Vented Seats	R1HVS4.) Heated/vented seat, heated wheel will not be displayed in the comfort section if the vehicle is configured with hard buttons for comfort controls. Comfort controls will still exist within the status bar and temperature/comfort popup. For vehicle programs such as WS that have haptic heated/vented seat/heated steering wheel buttons placed on the side of the radio, those controls will not be displayed in the status bar.
11.11.1	SWE1-HVAC-066	Heated Vented Seats	R1HS4.1.) When comfort controls are not active, they will be greyed out in the status bar combined temperature/comfort top left/right corners.
12.1	SWE1-HVAC-067	Heated Vented Seats	HVS1. For Multi-Level Heated/Vented seats a press of the heated seat button turns the seat on HI, the soft button highlights red and the control displays 3 arrows, HI and/or LEDs (. The next button press sets the seat to MED, button remains highlighted and displays 2 arrows, MED and/or LEDs. The third button press sets the seat to LO, button remains highlighted and displays 1 arrow, LO and/or LED. The next press, turns the heated seat OFF, the button is no longer highlighted and 3 arrows are shown.
12.2	SWE1-HVAC-068	Heated Vented Seats	HVS2. For Multi-Level Heated/Vented seats a press of the vented seat button turns the seat on HI, the soft button highlights blue and control displays a large fan, HI and/or 3 LEDs. The next button press sets the seat to MED, button remains highlighted and displays a medium fan, MED and/or 2 LEDs. The third button press sets the seat to LO, button remains highlighted and displays a small fan, LO and/or 1 LED. The next press, turns the vented seat OFF, the button is no longer highlighted and no arrows are shown.
12.3	SWE1-HVAC-069	Heated Vented Seats	HVS3. Active button state text/icon color is white. Inactive button text/icon color is grey.
12.4	SWE1-HVAC-070	Heated Vented Seats	HVS4. When climate is OFF, the status bar should still show heated/vented seat status.
12.5	SWE1-HVAC-071	Heated Vented Seats	HVS5. Heated seats buttons when activated will be shown red. Vented seat buttons when activated will be shown blue.
12.6	SWE1-HVAC-072	Heated Vented Seats	HVS6. Refer to HMI Notes for the details on the Auto Comfort Settings options for heated/vented seats.
12.7	SWE1-HVAC-073	Heated Vented Seats	HVS7. Whenever pop ups are shown, images should be shown in full, but not directly above the button as to not cutoff the popup image. This also applies to climate controls popups for FAN and MODE.
12.8	SWE1-HVAC-074	Heated Vented Seats	SHVS1. For Standard Heated/Vented seats a press of the heated seat button turns the seat on HI, the soft button highlights red and the control displays 2 arrows, HI and/or LEDs. The next button press sets the seat to LO, button remains highlighted and displays 1 arrow, LO and/or LED. The next press, turns the heated seat OFF, the button is no longer highlighted and 2 arrows are shown un-highlighted.
12.9	SWE1-HVAC-075	Heated Vented Seats	SHVS2. For Standard Heated/Vented seats a press of the vented seat button turns the seat on HI, the soft button highlights blue and control displays a large fan, HI and/or 2 LEDs. The next button press sets the seat to LO, button remains highlighted and displays a small fan, LO and/or 1 LED. The next press, turns the vented seat OFF, the button is no longer highlighted and a unhighlighted fan is shown.
13.2	SWE1-HVAC-076	Seat Control Tab	LS1.) When the (-, +) seat control buttons are pressed from the door control for lumbar & bolster, if the lower screen is not in the stowed position, switch the tab on the lower screen to the Seats tab. If the lower screen is in the stowed position, display the Seat Control Popup on the head unit (popup times out after 5 seconds of not interaction). If the lower screen is in the stowed position, and the user is already in the climate section on the main head unit, switch the user to the Seats tab.
13.2.1	SWE1-HVAC-077	Seat Control Tab	LS1.1) The 4 types of adjustments the user will be able to alter for lumbar/bolster will be: Lumbar In/Out, Lumbar Up/Down, Back Bolster, Thigh Bolster.
13.3	SWE1-HVAC-078	Seat Control Tab	LS2.) When the (-, +) seat control buttons are pressed, it will trigger the popup or tab change within climate, and only on the second press will be reflected.
13.3.1	SWE1-HVAC-079	Seat Control Tab	LS2.1) The user last selected lumbar/bolster selection will be latching during a keycycle, after a keycycle, and after the lower screen has been stowed/retracted. If the lower screen displayed the last selected option as Back Bolster , then the user retracts the lower screen, the next time they press the door (-, +) buttons or enter the seat tab on the HU, Back Bolster will still be the selected option.
13.4	SWE1-HVAC-080	Seat Control Tab	LS3.) The user will be able to long press on the hard button (-, +) or on the touch screen itself to initiate fast increases/decreases. (See HMI Core Logic and Flow, requirement N0.)
13.5	SWE1-HVAC-081	Seat Control Tab	LS4.) A short press of the (-, +) button will increase the lumbar/bolster by a small set amount, that would be equivalent to a short press of the previous 4-way rocker hard control (See CFTS044).
13.6	SWE1-HVAC-082	Seat Control Tab	LS5.) Once the minimum or maximum level has been reach, the system will grey out the (-, +) control. So if the user is increasing their lumbar, once the maximum has been reached, pressing the (+) button again will result in error tone being triggered.
14.1	SWE1-HVAC-083	Climate Popups	HVACP1.) HVAC pop-ups should follow the pop-up list.
14.1.1	SWE1-HVAC-084	Climate Popups	HVACP1.2) If there is an HVAC pop-up displayed (e.g. fan pop-up) and user makes additional adjustment to the same HVAC event (e.g. fan adjustment), the new HVAC pop-up timeout will restart (e.g. fan pop-up timeout restarts).
14.2	SWE1-HVAC-085	Climate Popups	HVACP2.) HVAC pop-ups are not displayed while RVC screen is active.
14.3	SWE1-HVAC-086	Climate Popups	HVACP3.1) HVAC popups will be interactive (e.g. Temp popups, fan speed popups, mode popups)
14.4	SWE1-HVAC-087	Climate Popups	HVACP4.) If head unit is in simulated off/idle mode and HVAC pop-up event is triggered only the HVAC pop-up will be displayed on the blank screen (status bar, category bar, and brand background are not displayed).
14.5	SWE1-HVAC-088	Climate Popups	HVACP5.) HVAC pop-ups should display over NAV, 3rd Party Apps, and Projection screens when permitted.
14.6	SWE1-HVAC-089	Climate Popups	HVACP6.) When an HVAC popup is displayed over another popup, if user touches area inside the bottom pop-up which is not a selectable item (e.g. text area) the HVAC pop-up will close.
14.7	SWE1-HVAC-090	Climate Popups	HVACP7.) When an HVAC popup is displayed over another popup, if user touches a selectable item inside the bottom pop-up (e.g. OK or X ) then the action is taken and HVAC pop-up is closed.
14.8	SWE1-HVAC-091	Climate Popups	HVACP8.) When an HVAC popup is displayed over another popup, if the user presses an external area outside of both the pop-ups then both pop-ups will close.
14.9	SWE1-HVAC-092	Climate Popups	HVACP9.) HVAC popups will not be displayed during intro/outro animation or splash screens.
14.10	SWE1-HVAC-093	Climate Popups	HVACP10.) When head unit is in simulated off/idle mode HVAC popups should display as they normally would when idle mode is not applied.
14.10.1	SWE1-HVAC-094	Climate Popups	HVACP10.1) If Climate is located in the main category bar, fan speed and mode popups display from this position as well during idle mode.
14.11	SWE1-HVAC-095	Climate Popups	HVACP11.) HVAC pop ups will only be displayed based on direct user interaction (not automatic system changes to Climate). For example, during ignition cycles there should not be any HVAC pop ups displayed like FAN SPEED or any other HVAC pop ups even if the system has made changes.
14.12	SWE1-HVAC-096	Climate Popups	HVACP12.) The style of HVAC popups should match the type of hard controls. If the hard controls are knobs that turn then the HVAC popups should be radial popups. If the hard controls are UP/DOWN toggles then the HVAC popups should be vertical popups to mirror the physical action of turning UP/DOWN.
14.13	SWE1-HVAC-097	Climate Popups	HVACP13.) For vehicles with a lower hvac screen, interactions with that screen will not trigger popups on the head unit (e.g. temperature popup, fan speed popup, mode popup).
14.14	SWE1-HVAC-098	Climate Popups	HVACP14.) For vehicles with dual zone climate versions with dual airflow modes on 8.4", 10.1" Landscape, 10.25" and 12.3" radios, there will be driver and passenger centric popups.
