B	_seq	_src	C	D	G	H	I	J	K	L	M	N	P	R	AA	AH	F
256	280	vf230_batch01.json	Power Tailgate	SWE1-VC-PowerTailgate-023	Vehicle Setting	Approach and Tailgate	"When the HMI receives the value Absent via signal, $CAN_Node_82_PTGM$, Then the HMI shall not display the Power Tailgate customer setting in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the ""Power Tailgate"" customer setting is not displayed -> The ""Power Tailgate"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $CAN node 82 (PTGM)$ is set to ""Absent"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Power Tailgate"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Power Tailgate"" customer setting is not displayed"	VF230_V1_PDT27_VF_6542	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
257	281	vf230_batch01.json	Forward Collision Warning	SWE1-VC-ForwardCollisionWarning-034	Vehicle Setting	Lane and Lighting	"If $Forward_Collision_Mitigation$ != [Full Speed Forward Collision Warning with Mitigation], [Full Speed FCW with Pedestrian Emergency Braking], or [Full Speed FCW with Pedestrian or Cyclist Emergency Braking], the LTM or ETM shall not display the Forward Collision Warning customer setting.

(read the Vehicle Settings menu and check that the ""Forward Collision Warning"" customer setting is not displayed -> The ""Forward Collision Warning"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $Forward_Collision_Mitigation$ is set to ""Full Speed Forward Collision Warning with Mitigation"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Forward Collision Warning"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Forward Collision Warning"" customer setting is not displayed"	VF230_V1_PHDCC27_VF_2057	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
258	282	vf230_batch01.json	Driver Easy Exit Seat	SWE1-VC-DriverEasyExitSeat-039	Vehicle Setting	Suspension and Comfort	"When the HMI receives the value as Present via signal, $Easy_Entry_Menu$, Then the HMI shall display the Driver Easy Exit Seat customer setting in the Vehicle Settings menu and allow the customer to modify the setting.

(select the ""Driver Easy Exit Seat"" customer setting and check that its value can be changed -> The value of the ""Driver Easy Exit Seat"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Easy_Entry_Menu$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Driver Easy Exit Seat"" customer setting is displayed
4. Select the ""Driver Easy Exit Seat"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Driver Easy Exit Seat"" customer setting is displayed
4. The value of the ""Driver Easy Exit Seat"" customer setting can be changed"	VF230_V1_PDT27_VF_5806	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
259	283	vf230_batch01.json	Power Side Step	SWE1-VC-PowerSideStep-052	Vehicle Setting	Trailer and Signage	"If CAN node 97 = [Present], the LTM or ETM shall display the Power Side Step customer setting to allow the customer the ability to modify the setting.

(select the ""Power Side Step"" customer setting and check that its value can be changed -> The value of the ""Power Side Step"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $CAN node 97$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Power Side Step"" customer setting is displayed
4. Select the ""Power Side Step"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Power Side Step"" customer setting is displayed
4. The value of the ""Power Side Step"" customer setting can be changed"	VF230_V1_PDT27_VF_6583	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu	"Upstream Verification Criteria: Scenario of checking PROXI parameter is not clear
Upstream Verification Method: Scenario of checking PROXI parameter is not clear"	
260	284	vf230_batch01.json	Power Tailgate	SWE1-VC-PowerTailgate-024	Vehicle Setting	Approach and Tailgate	"When the HMI receives the value Present via signal, $CAN_Node_82_PTGM$, Then the HMI shall display the Power Tailgate customer setting in the Vehicle Settings menu and allow the customer to modify the setting.

(select the ""Power Tailgate"" customer setting and check that its value can be changed -> The value of the ""Power Tailgate"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $CAN node 82 (PTGM)$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Power Tailgate"" customer setting is displayed
4. Select the ""Power Tailgate"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Power Tailgate"" customer setting is displayed
4. The value of the ""Power Tailgate"" customer setting can be changed"	VF230_V1_PDT27_VF_6544	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
261	285	vf230_batch01.json	Forward Collision Warning	SWE1-VC-ForwardCollisionWarning-035	Vehicle Setting	Lane and Lighting	"If $Forward_Collision_Mitigation$ = [Full Speed Forward Collision Warning with Mitigation or Full Speed FCW with Pedestrian Emergency Braking or Full Speed FCW with Pedestrian or Cyclist Emergency Braking], the HMI shall display the Forward Collision Warning customer setting to allow the customer to modify the setting.

(select the ""Forward Collision Warning"" customer setting and check that its value can be changed -> The value of the ""Forward Collision Warning"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Forward_Collision_Mitigation$ is set to ""Full Speed Forward Collision Warning with Mitigation or Full Speed FCW with Pedestrian Emergency Braking or Full Speed FCW with Pedestrian or Cyclist Emergency Braking"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Forward Collision Warning"" customer setting is displayed
4. Select the ""Forward Collision Warning"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Forward Collision Warning"" customer setting is displayed
4. The value of the ""Forward Collision Warning"" customer setting can be changed"	VF230_V1_PHDCC27_VF_5632	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
262	286	vf230_batch01.json	Driver Easy Exit Seat	SWE1-VC-DriverEasyExitSeat-040	Vehicle Setting	Suspension and Comfort	"Then the HMI/LTM/ETM shall update the Driver Easy Exit Seat customer setting status to OFF in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the Driver Easy Exit Seat setting is displayed as Off -> The Driver Easy Exit Seat setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Driver Easy Exit Seat"" customer setting is set to On"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Driver Easy Exit Seat"" customer setting to Off and check that TELEMATIC_VEHICLE_SETUP.Easy_Exit_D_Req = 0 (Off) is transmitted
3. Read the Vehicle Settings menu and check that the Driver Easy Exit Seat setting is displayed as Off"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Easy_Exit_D_Req = 0 (Off) is sent
3. The Driver Easy Exit Seat setting is displayed as Off"	VF230_V1_PDT27_VF_5807	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
263	287	vf230_batch01.json	Power Side Step	SWE1-VC-PowerSideStep-053	Vehicle Setting	Trailer and Signage	"The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Power Side Step setting is displayed as Auto -> The Power Side Step setting is displayed as Auto)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Power Side Step"" customer setting is set to Store"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Power Side Step"" customer setting to Auto and check that TELEMATIC_VEHICLE_SETUP.Power_Side_Step_Req = 0 (Auto) is transmitted
3. Read the Vehicle Settings menu and check that the Power Side Step setting is displayed as Auto"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Power_Side_Step_Req = 0 (Auto) is sent
3. The Power Side Step setting is displayed as Auto"	VF230_V1_PDT27_VF_6584	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
264	288	vf230_batch01.json	Driver Easy Exit Seat	SWE1-VC-DriverEasyExitSeat-041	Vehicle Setting	Suspension and Comfort	"Then the HMI/LTM/ETM shall update the Driver Easy Exit Seat customer setting status to ON in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the Driver Easy Exit Seat setting is displayed as On -> The Driver Easy Exit Seat setting is displayed as On)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Driver Easy Exit Seat"" customer setting is set to Off"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Driver Easy Exit Seat"" customer setting to On and check that TELEMATIC_VEHICLE_SETUP.Easy_Exit_D_Req = 1 (On) is transmitted
3. Read the Vehicle Settings menu and check that the Driver Easy Exit Seat setting is displayed as On"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Easy_Exit_D_Req = 1 (On) is sent
3. The Driver Easy Exit Seat setting is displayed as On"	VF230_V1_PDT27_VF_5808	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
265	289	vf230_batch01.json	Power Side Step	SWE1-VC-PowerSideStep-054	Vehicle Setting	Trailer and Signage	"The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Power Side Step setting is displayed as Store -> The Power Side Step setting is displayed as Store)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Power Side Step"" customer setting is set to Auto"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Power Side Step"" customer setting to Store and check that TELEMATIC_VEHICLE_SETUP.Power_Side_Step_Req = 1 (Store) is transmitted
3. Read the Vehicle Settings menu and check that the Power Side Step setting is displayed as Store"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Power_Side_Step_Req = 1 (Store) is sent
3. The Power Side Step setting is displayed as Store"	VF230_V1_PDT27_VF_6585	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
266	290	vf230_batch01.json	Driver Easy Exit Seat	SWE1-VC-DriverEasyExitSeat-042	Vehicle Setting	Suspension and Comfort	"When the LTM or ETM receives the value via signal, $IPC_VEHICLE_SETUP.Easy_Exit_D$, the LTM or ETM shall update the Driver Easy Exit Seat setting status information on the display within the defined system response time.

(read the Vehicle Settings menu and check that the Driver Easy Exit Seat setting is displayed as Off -> The Driver Easy Exit Seat setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.Easy_Exit_D = one of [0 (Off), 1 (On)]	"1. Send CAN: IPC_VEHICLE_SETUP.Easy_Exit_D = 1 (On)
2. Send CAN: IPC_VEHICLE_SETUP.Easy_Exit_D = 0 (Off)
3. Read the Vehicle Settings menu and check that the Driver Easy Exit Seat setting is displayed as Off"	"1. IPC_VEHICLE_SETUP.Easy_Exit_D = 1 (On) is sent
2. IPC_VEHICLE_SETUP.Easy_Exit_D = 0 (Off) is sent
3. The Driver Easy Exit Seat setting is displayed as Off"	VF230_V1_PDT27_VF_5809	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
267	291	vf230_batch01.json	Power Side Step	SWE1-VC-PowerSideStep-055	Vehicle Setting	Trailer and Signage	"Any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Power Side Step setting is displayed as Auto -> The Power Side Step setting is displayed as Auto)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.Power_Side_Step = one of [0 (Auto), 1 (Store)]	"1. Send CAN: IPC_VEHICLE_SETUP.Power_Side_Step = 1 (Store)
2. Send CAN: IPC_VEHICLE_SETUP.Power_Side_Step = 0 (Auto)
3. Read the Vehicle Settings menu and check that the Power Side Step setting is displayed as Auto"	"1. IPC_VEHICLE_SETUP.Power_Side_Step = 1 (Store) is sent
2. IPC_VEHICLE_SETUP.Power_Side_Step = 0 (Auto) is sent
3. The Power Side Step setting is displayed as Auto"	VF230_V1_PDT27_VF_6586	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu	"Upstream Verification Criteria: In which scenario the IPC_VEHICLE_SETUP.Power_Side_Step signal will be received is not clear
Upstream Verification Method: In which scenario the IPC_VEHICLE_SETUP.Power_Side_Step signal will be received is not clear"	
268	292	vf230_batch01.json	Power Tailgate	SWE1-VC-PowerTailgate-027	Vehicle Setting	Approach and Tailgate	"When the LTM or ETM receives the value via signal, $IPC_VEHICLE_SETUP2.Power_Tailgate_Enable$, Then the LTM or ETM shall update the Power Tailgate setting status information on the display within the defined system response time.

(read the Vehicle Settings menu and check that the Power Tailgate setting is displayed as Disabled -> The Power Tailgate setting is displayed as Disabled)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP2.Power_Tailgate_Enable = one of [0 (Disabled), 1 (Enabled)]	"1. Send CAN: IPC_VEHICLE_SETUP2.Power_Tailgate_Enable = 1 (Enabled)
2. Send CAN: IPC_VEHICLE_SETUP2.Power_Tailgate_Enable = 0 (Disabled)
3. Read the Vehicle Settings menu and check that the Power Tailgate setting is displayed as Disabled"	"1. IPC_VEHICLE_SETUP2.Power_Tailgate_Enable = 1 (Enabled) is sent
2. IPC_VEHICLE_SETUP2.Power_Tailgate_Enable = 0 (Disabled) is sent
3. The Power Tailgate setting is displayed as Disabled"	VF230_V1_PDT27_VF_6550	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
