leaf_id	current_tc	target_tc	split_axis	basis	enumerated	has_negative	excerpt
SWE1-VC-HeatedSteeringWheel-021	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the HU receives a $HSW_Stat$ = [1h: On] signal, the HU shall change the stored status of the heated steer
SWE1-VC-HeatedSteeringWheel-022	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the HU receives a $HSW_Stat$ = [0h: Off] signal, the HU shall change the stored status of the heated stee
SWE1-VC-HeatedSteeringWheelManagement-025	1	2	decision-table（每列一條）	§8.2.2／§8.3	no	no	The HU shall Monitor $Heated_Steering_Wheel$ to determine if the vehicle is equipped with a heated steering wh
SWE1-VC-HeatedSteeringWheelManagement-026	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When $DriverSide$ = [Left Side], the HU shall show the Heated Steering Wheel Icon in the with in the left side
SWE1-VC-HeatedSteeringWheelManagement-027	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When $DriverSide$ = [Right Side], the HU shall mirror the location of the Heated Steering Wheel Icon, showing 
SWE1-VC-HeatedSteeringWheelManagement-028	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	During the Ignition Working Condition- Ignition Off- Ignition On- Ignition On Engine On- Ignition Pre OffWHEN 
SWE1-VC-HeatedSteeringWheelManagement-029	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"IF ($HSW_Stat$ == ""OFF"" AND STATUS_CSWM.HSW_StatFailSts == ""Fail_Not_Present"" AND SteeringWheelHeating.Req pas"
SWE1-VC-HeatedSteeringWheelManagement-030	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"IF ($HSW_Stat$ == ""ON"" AND STATUS_CSWM.HSW_StatFailSts == ""Fail_Not_Present"" AND SteeringWheelHeating.Req pass"
SWE1-VC-HeatedSteeringWheelManagement-031	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	"IF (SteeringWheelHeating.Req passes to ""Requested"" AND STATUS_CSWM.FL_HS_STATFailSts == ""Fail_Present"")THENTLM"
SWE1-VC-HeatedSteeringWheelManagement-032	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	In Ignition On Engine On Ignition Working Condition,WHEN no icon on TLM_Display.GUI is pressed but the state o
SWE1-VC-HeatedSteeringWheelManagement-033	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"IF ($HSW_Stat$ passes to ""ON"")THENTLM shall set TELEMATIC_VEHICLE_SETUP.HSW_Cmd_Tlm = ""ON""."
SWE1-VC-HeatedSteeringWheelManagement-034	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"IF ($HSW_Stat$ == ""OFF"")THENTLM shall set TELEMATIC_VEHICLE_SETUP.HSW_Cmd_Tlm = ""OFF""."
SWE1-VC-HeatedSteeringWheelManagement-035	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	"IF STATUS_CSWM.HSW_StatFailSts passes to ""Fail_Present"", regardless of the value of $HSW_Stat$, the relative i"
SWE1-VC-LeftFrontHeatedSeat-003	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	no	When the HU wakes up on the BH-CAN bus, the HU shall show the Front Left Heated Seat as off until it receives 
SWE1-VC-LeftFrontHeatedSeat-004	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	the HU shall use $Heated_Seat_Levels$ to determine which levels are supported by the vehicle and HMI. valid va
SWE1-VC-LeftFrontHeatedSeat-005	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with two states (i.e. LO and HI) the HU shall implement the following requirements:Valid values f
SWE1-VC-LeftFrontHeatedSeat-006	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with three states (i.e. LO, MEDIUM, and HI), the HU shall implement the following requirements:Va
SWE1-VC-LeftFrontHeatedSeat-007	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	no	When the HU receives a $HeatedSeatFL$ signal, it shall compare to the stored state and, if different, and vali
SWE1-VC-LeftFrontHeatedSeat-008	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	yes	The HU shall ignore invalid $HeatedSeatFL$ signals, if received.
SWE1-VC-LeftFrontHeatedSeat-009	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	If $PrplsnSysAtv$ = [Not Active] &amp;&amp; $Hybrid_Type$ = [[PHEV] OR [BEV] OR [HEV] OR [REPB] OR [FCEV]], th
SWE1-VC-LeftFrontHeatedSeat-010	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles not equipped with the Stop-Start feature, when the vehicle engine is not running ($EngRun_Stat$ &
SWE1-VC-LeftFrontHeatedSeat-011	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles equipped with the Stop-Start feature, when the vehicle engine is not running ($EngRun_Stat$ &lt;&
SWE1-VC-LeftFrontHeatedSeat-012	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	If $PowerMode$ &lt;&gt; [Ignition run], the left front heated seat switch, shall be shown as greyed-out, with 
SWE1-VC-LeftFrontHeatedSeat-013	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the customer selects to change the state of the LF heated seat, the HU shall send an on-change $FL_HS_RQ$
SWE1-VC-LeftFrontHeatedSeat-014	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	The HU shall follow this signal with an on change $FL_HS_RQ$ = [Not Pressed / HS_NOT_PSD] within a time period
SWE1-VC-LeftFrontHeatedSeat-015	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU determines that the Customer has selected to change the status of the heated seat, the HU shall se
SWE1-VC-LeftFrontHeatedSeat-016	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFL$ = [Heated Seat Off / HS_OFF] signal, the HU shall change the stored stat
SWE1-VC-LeftFrontHeatedSeat-017	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFL$ = [Heated Seat High / HS_HI] signal, the HU shall change the stored stat
SWE1-VC-LeftFrontHeatedSeat-018	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFL$ = [Heated Seat Medium / HS_MED] signal, the HU shall change the stored s
SWE1-VC-LeftFrontHeatedSeat-019	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFL$ = [Heated Seat Low / HS_LO] signal, the HU shall change the stored statu
SWE1-VC-LeftFrontVentedSeat-003	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	no	When the HU wakes up on the BH-CAN bus, the HU shall set the LF vented seat state to OFF.
SWE1-VC-LeftFrontVentedSeat-004	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	no	For vehicles with two states (i.e. LO and HI), the HU shall implement the following requirements:Valid values 
SWE1-VC-LeftFrontVentedSeat-005	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with three states for vehicles with two states (i.e. LO, MED, and HI), the HU shall implement the
SWE1-VC-LeftFrontVentedSeat-006	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	yes	The HU shall ignore invalid $VentedSeatFL$ signals, if received.
SWE1-VC-LeftFrontVentedSeat-007	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	no	When the HU receives an $VentedSeatFL$ signal, it shall compare to the stored state and , if different, replac
SWE1-VC-LeftFrontVentedSeat-008	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	If $PrplsnSysAtv$ = [Not Active] &amp;&amp; $Hybrid_Type$ = [[PHEV] OR [BEV] OR [HEV] OR [REPB] OR [FCEV]], th
SWE1-VC-LeftFrontVentedSeat-009	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles not equipped with the Stop-Start feature, when the vehicle engine is not running ($EngRun_Stat$ &
SWE1-VC-LeftFrontVentedSeat-010	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	If $PowerMode$ &lt;&gt; [Ignition run], the left front vented seat switch, shall be shown as greyed-out, with 
SWE1-VC-LeftFrontVentedSeat-011	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the customer selects to change the state of the LF vented seat, the HU shall send an on-change $FL_VS_RQ_
SWE1-VC-LeftFrontVentedSeat-012	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	The HU shall follow this signal with an on change $FL_VS_RQ_TGW$ = [Not Pressed / VS_NOT_PSD] within a time pe
SWE1-VC-LeftFrontVentedSeat-013	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU determines that the Customer has selected to change the status of the Vented seat, the HU shall se
SWE1-VC-LeftFrontVentedSeat-014	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	no	When the HU receives a $VentedSeatFL$ = [Vented Seat Off / VS_OFF] signal, the HU shall change the stored stat
SWE1-VC-LeftFrontVentedSeat-015	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	no	When the HU receives an $VentedSeatFL$ = [Vented Seat High / VS_HI] signal, the HU shall change the stored sta
SWE1-VC-LeftFrontVentedSeat-016	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives an $VentedSeatFL$ = [Vented seat medium / VS_MED] signal, the HU shall change the stored 
SWE1-VC-LeftFrontVentedSeat-017	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_VS_STATSts	no	When the HU receives an $VentedSeatFL$ = [Vented Seat Low / VS_LO] signal, the HU shall change the stored stat
SWE1-VC-OneStageHeatedSeat-039	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"Following requirements are valid only if PROXI parameter Heated_Seats == ""Front Seats"" OR ""Front and Rear Seat"
SWE1-VC-OneStageHeatedSeat-040	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"Also the requirements are valid only if $Heated_Seat_Levels$ == ""One Level"""
SWE1-VC-OneStageHeatedSeat-041	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	no	During the Ignition Working Condition- Ignition Off- Ignition On- Ignition On Engine On- Ignition Pre OffWHEN 
SWE1-VC-OneStageHeatedSeat-042	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"IF DrvSeatHeating.Req passes to ""Requested""THENTLM shall set TELEMATIC_CLIMATE_SETUP.FL_HS_Cmd_Tlm = ""Pressed"""
SWE1-VC-OneStageHeatedSeat-043	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"The TLM shall follow this signal with TELEMATIC_CLIMATE_SETUP.FL_HS_Cmd_Tlm = ""Not_Pressed"" within a time peri"
SWE1-VC-OneStageHeatedSeat-044	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"IF PsngrSeatHeating.Req passes to ""Requested""THENTLM shall set TELEMATIC_VEHICLE_SETUP.FR_HS_Cmd_Tlm = ""Presse"
SWE1-VC-OneStageHeatedSeat-045	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	"The TLM shall follow this signal with TELEMATIC_CLIMATE_SETUP.FR_HS_Cmd_Tlm = ""Not_Pressed"" within a time peri"
SWE1-VC-OneStageHeatedSeat-046	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	no	WHEN no icon on TLM_Display.GUI is pressed but the state of the heaters change, the icons shall change and fol
SWE1-VC-OneStageHeatedSeat-047	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	no	"IF ($HeatedSeatFL$ passes to ""Heated_seat_off"" AND STATUS_CSWM.FL_HS_STATFailSts == ""Fail_Not_Present"")THENTLM"
SWE1-VC-OneStageHeatedSeat-048	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FL_HS_STATSts	no	"IF ($HeatedSeatFL$ passes to ""Heated_seat_high"" AND STATUS_CSWM.FL_HS_STATFailSts == ""Fail_Not_Present"")THENTL"
SWE1-VC-OneStageHeatedSeat-049	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_HS_STATSts	no	"IF ($HeatedSeatFR$ passes to ""Heated_seat_off"" AND STATUS_CSWM.FR_HS_STATFailSts == ""Fail_Not_Present"")THENTLM"
SWE1-VC-OneStageHeatedSeat-050	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_HS_STATSts	no	"IF ($HeatedSeatFR$ passes to ""Heated_seat_high"" AND STATUS_CSWM.FR_HS_STATFailSts == ""Fail_Not_Present"")THENTL"
SWE1-VC-OneStageHeatedSeat-051	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	"Regardless of the value of $HeatedSeatFL$, IF STATUS_CSWM.FL_HS_STATFailSts passes to ""Fail_Present"" value, th"
SWE1-VC-OneStageHeatedSeat-052	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	"Regardless of the value of $HeatedSeatFR$, IF STATUS_CSWM.FR_HS_STATFailSts passes to ""Fail_Present"" value, th"
SWE1-VC-PHEVFeatures-017	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	This section defines features for plug-in hybrid electric vehicles (PHEV) that can be modified or displayed in
SWE1-VC-RightFrontHeatedSeat-022	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_HS_STATSts	no	When the HU wakes up on the BH-CAN bus, the HU shall set the RF heated seat state to OFF.
SWE1-VC-RightFrontHeatedSeat-023	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with two states (i.e. LO and HI), the HU shall implement the following requirements:Valid values 
SWE1-VC-RightFrontHeatedSeat-024	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with three states (i.e. LO, MEDIUM, and HI), the HU shall implement the following requirements:Va
SWE1-VC-RightFrontHeatedSeat-025	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_HS_STATSts	no	When the HU receives an $HeatedSeatFR$ signal, it shall compare to the stored state and, if different, and val
SWE1-VC-RightFrontHeatedSeat-026	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_HS_STATSts	yes	The HU shall ignore invalid $HeatedSeatFR$ signals, if received.
SWE1-VC-RightFrontHeatedSeat-027	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	If $PrplsnSysAtv$ = [Not Active] &amp;&amp; $Hybrid_Type$ = [[PHEV] OR [BEV] OR [HEV] OR [REPB] OR [FCEV]], th
SWE1-VC-RightFrontHeatedSeat-028	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles not equipped with the Stop-Start feature, when the vehicle engine is not running ($EngRun_Stat$ &
SWE1-VC-RightFrontHeatedSeat-029	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	If $PowerMode$ &lt;&gt; [Ignition run], the right front heated seat switch, shall be shown as greyed-out, with
SWE1-VC-RightFrontHeatedSeat-030	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the customer selects to change the state of the RF heated seat, the HU shall send an on-change $FR_HS_RQ$
SWE1-VC-RightFrontHeatedSeat-031	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	The HU shall follow this signal with an on change $FR_HS_RQ$ = [Not Pressed / HS_NOT_PSD] within a time period
SWE1-VC-RightFrontHeatedSeat-032	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU determines that the Customer has selected to change the status of the heated seat, the HU shall se
SWE1-VC-RightFrontHeatedSeat-033	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFR$ = [Heated Seat Off / HS_OFF] signal, the HU shall change the stored stat
SWE1-VC-RightFrontHeatedSeat-034	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFR$= [Heated Seat High / HS_HI] signal, the HU shall change the stored statu
SWE1-VC-RightFrontHeatedSeat-035	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFR$= [Heated Seat Medium / HS_MED] signal, the HU shall change the stored st
SWE1-VC-RightFrontHeatedSeat-036	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HeatedSeatFR$ = [ Heated Seat Low / HS_LO] signal, the HU shall change the stored stat
SWE1-VC-RightFrontVentedSeat-020	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	no	When the HU wakes up on the BH-CAN bus, the HU shall set the RF vented seat state to OFF.
SWE1-VC-RightFrontVentedSeat-021	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	no	For vehicles with two states (i.e. LO, and HI), the HU shall implement the following requirements:Valid values
SWE1-VC-RightFrontVentedSeat-022	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with three states (i.e. LO, MEDIUM, and HI), the HU shall implement the following requirements:Va
SWE1-VC-RightFrontVentedSeat-023	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	yes	The HU shall ignore invalid $VentedSeatFR$ signals, if received.
SWE1-VC-RightFrontVentedSeat-024	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	no	When the HU receives an $VentedSeatFR$ signal, it shall compare to the stored state and , if different, replac
SWE1-VC-RightFrontVentedSeat-025	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	If $PrplsnSysAtv$ = [Not Active] &amp;&amp; $Hybrid_Type$ = [[PHEV] OR [BEV] OR [HEV] OR [REPB] OR [FCEV]], th
SWE1-VC-RightFrontVentedSeat-026	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles not equipped with the Stop-Start feature, when the vehicle engine is not running ($EngRun_Stat$ &
SWE1-VC-RightFrontVentedSeat-027	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	If $PowerMode$ &lt;&gt; [Ignition run], the right front vented seat switch, shall be shown as greyed-out, with
SWE1-VC-RightFrontVentedSeat-028	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the customer selects to change the state of the RF vented seat, the HU shall send an on-change $FR_VS_RQ_
SWE1-VC-RightFrontVentedSeat-029	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	The HU shall follow this signal with an on change $FR_VS_RQ_TGW$ = [Not Pressed / VS_NOT_PSD] within a time pe
SWE1-VC-RightFrontVentedSeat-030	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU determines that the Customer has selected to change the status of the Vented seat, the HU shall se
SWE1-VC-RightFrontVentedSeat-031	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	no	When the HU receives a $VentedSeatFR$ = [Vented Seat Off / VS_OFF] signal, the HU shall change the stored stat
SWE1-VC-RightFrontVentedSeat-032	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	no	When the HU receives an $VentedSeatFR$ = [Vented Seat High / VS_HI] signal, the HU shall change the stored sta
SWE1-VC-RightFrontVentedSeat-033	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives an $VentedSeatFR$ = [Vented seat medium / VS_MED] signal, the HU shall change the stored 
SWE1-VC-RightFrontVentedSeat-034	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	FR_VS_STATSts	no	When the HU receives an $VentedSeatFR$ = [Vented Seat Low / VS_LO] signal, the HU shall change the stored stat
SWE1-VC-ScreenOFF-047	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	The default setting of the Screen Off soft button shall be ON.
SWE1-VC-ScreenOFF-048	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives $DSP_SK_PRSNT$ = [Present], the HU shall activate the virtual Screen Off button for user 
SWE1-VC-ScreenOFF-049	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	The display button will allow the customer to turn the Touchscreen display on or off.
SWE1-VC-ScreenOFF-050	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the HU wakes-up on the BH-CAN bus, the HU shall recall the state of the display from the previous wake cy
SWE1-VC-ScreenOFF-051	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the user presses the Screen Off Softkey button, the HU shall send the $TGW_DISP_STAT$ signal. See {CFTS02
SWE1-VC-ScreenOFF-052	2	4	multi-value（一條驗多值）	§8.3 壓力測試	no	no	"Display ""on"" or ""off"" status changes resulting from customer display button selections shall not alter any aud"
SWE1-VC-Stop-StartSystem-002	3	3	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the stop-start system is enabled the HU/CCDMR shall turn off the heated/vented seats and the heated steer
SWE1-VC-Stop-StartSystem-003	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the stop-start system is enabled the HU/CCDMR shall monitor the $ESS_ENG_ST$ signal to determine if a cha
SWE1-VC-Stop-StartSystem-004	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	IF ($EngRun_Stat$ &lt;&gt; [IDLE_STBL//UNLIMITED//LIMITED//RUN] &amp;&amp; $ESS_ENG_ST$ &lt;&gt; [ENS_DSBL] &a
SWE1-VC-Stop-StartSystem-005	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	IF ($EngRun_Stat$ &lt;&gt; [IDLE_STBL//UNLIMITED//LIMITED//RUN] &amp;&amp; $ESS_ENG_ST$ = [ENS_DSBL])THEN- The
SWE1-VC-Stop-StartSystem-006	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	IF ($EngRun_Stat$ = [IDLE_STBL//UNLIMITED//LIMITED//RUN])THEN- The HU shall allow activation of the heated and
SWE1-VC-Stop-StartSystem-007	1	2	decision-table（每列一條）	§8.2.2／§8.3	no	no	IF ($ESS_ENG_ST$ = [SNA])THEN- The HU/CCDMR shall behave as if the vehicle is not equipped with the Stop-Start
SWE1-VC-StopStartSystemBehavior-054	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	This functionality is implemented if PROXI parameter $Stop_And_Start_cfg$ = [Present].During the Ignition Work
SWE1-VC-StopStartSystemBehavior-055	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	ELSE IF (STATUS_CCAN3.EngineSts == “Engine_Off” AND STATUS_CCAN3.ESS_ENG_ST = “ENS_DSBL”)THEN- Heated Seats bu
SWE1-VC-StopStartSystemBehavior-056	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	ELSE IF (STATUS_CCAN3.EngineSts == “Engine_On”)THEN- The HU shall retain the existing state and level of the H
SWE1-VC-SwitchLHD/RHDConfiguration-009	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	Wherever there is no Driver or Passenger label for Heated and Vented seats, the $DriverSide$ signal value shal
SWE1-VC-SwitchLHD/RHDConfiguration-010	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When $DriverSide$ = [Right hand drive] the HMI shall be modified as defined by HMI requirements.
