row	req_id	old_E	old_F	new_F	status	note
69	SWE1-HMI-BLM-018-02		newR1L-BLM-085	NR1L-BLM-060	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
70	SWE1-HMI-BLM-018-03		newR1L-BLM-086	NR1L-BLM-061	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
71	SWE1-HMI-BLM-018-04		newR1L-BLM-087	NR1L-BLM-062	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
72	SWE1-HMI-BLM-019-01		newR1L-BLM-088	NR1L-BLM-063	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
73	SWE1-HMI-BLM-019-02		newR1L-BLM-063	NR1L-BLM-064	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
74	SWE1-HMI-BLM-019-03		newR1L-BLM-064	NR1L-BLM-065	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
75	SWE1-HMI-BLM-019-04		newR1L-BLM-065	NR1L-BLM-066	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
76	SWE1-HMI-BLM-020-01		newR1L-BLM-030	NR1L-BLM-067	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
77	SWE1-HMI-BLM-020-02		newR1L-BLM-089	NR1L-BLM-068	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
78	SWE1-HMI-BLM-020-03		newR1L-BLM-090	NR1L-BLM-069	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
79	SWE1-HMI-BLM-020-04		newR1L-BLM-091	NR1L-BLM-070	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
80	SWE1-HMI-BLM-020-05		newR1L-BLM-092	NR1L-BLM-071	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
81	SWE1-HMI-BLM-021-01		newR1L-BLM-116	NR1L-BLM-072	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
82	SWE1-HMI-BLM-021-02		newR1L-BLM-117	NR1L-BLM-073	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
83	SWE1-HMI-BLM-021-03		newR1L-BLM-118	NR1L-BLM-074	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
84	SWE1-HMI-BLM-022-01		newR1L-BLM-059	NR1L-BLM-075	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
85	SWE1-HMI-BLM-024-01		newR1L-BLM-093	NR1L-BLM-076	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
86	SWE1-HMI-BLM-024-02		newR1L-BLM-077	NR1L-BLM-077	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
87	SWE1-HMI-BLM-024-03		newR1L-BLM-078	NR1L-BLM-078	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
88	SWE1-HMI-BLM-024-04		newR1L-BLM-079	NR1L-BLM-079	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
89	SWE1-HMI-BLM-024-05		newR1L-BLM-080	NR1L-BLM-080	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
90	SWE1-HMI-BLM-024-06		newR1L-BLM-001	NR1L-BLM-081	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
91	SWE1-HMI-BLM-024-07		newR1L-BLM-002	NR1L-BLM-082	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
92	SWE1-HMI-BLM-025-01		newR1L-BLM-066	NR1L-BLM-083	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
93	SWE1-HMI-BLM-025-02		newR1L-BLM-106	NR1L-BLM-084	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
94	SWE1-HMI-BLM-025-03		newR1L-BLM-107	NR1L-BLM-085	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
95	SWE1-HMI-BLM-025-04		newR1L-BLM-108	NR1L-BLM-086	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
96	SWE1-HMI-BLM-026-01		newR1L-BLM-016	NR1L-BLM-087	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
97	SWE1-HMI-BLM-026-02		newR1L-BLM-017	NR1L-BLM-088	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
98	SWE1-HMI-BLM-026-03		newR1L-BLM-018	NR1L-BLM-089	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
99	SWE1-HMI-BLM-026-04		newR1L-BLM-019	NR1L-BLM-090	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
100	SWE1-HMI-BLM-026-05		newR1L-BLM-127	NR1L-BLM-091	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
101	SWE1-HMI-BLM-026-06		newR1L-BLM-128	NR1L-BLM-092	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
102	SWE1-HMI-BLM-027-01		newR1L-BLM-109	NR1L-BLM-093	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
103	SWE1-HMI-BLM-027-02		newR1L-BLM-110	NR1L-BLM-094	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
104	SWE1-HMI-BLM-027-03		newR1L-BLM-111	NR1L-BLM-095	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
105	SWE1-HMI-BLM-027-04		newR1L-BLM-112	NR1L-BLM-096	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
106	SWE1-HMI-BLM-027-05		newR1L-BLM-113	NR1L-BLM-097	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
107	SWE1-HMI-BLM-028-01		newR1L-BLM-005	NR1L-BLM-098	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
108	SWE1-HMI-BLM-028-02		newR1L-BLM-006	NR1L-BLM-099	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
109	SWE1-HMI-BLM-028-03		newR1L-BLM-007	NR1L-BLM-100	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
110	SWE1-HMI-BLM-029-01		newR1L-BLM-008	NR1L-BLM-101	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
111	SWE1-HMI-BLM-029-02		newR1L-BLM-009	NR1L-BLM-102	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
112	SWE1-HMI-BLM-029-03		newR1L-BLM-010	NR1L-BLM-103	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
113	SWE1-HMI-BLM-029-04		newR1L-BLM-011	NR1L-BLM-104	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
114	SWE1-HMI-BLM-030-01		newR1L-BLM-012	NR1L-BLM-105	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
115	SWE1-HMI-BLM-030-02		newR1L-BLM-013	NR1L-BLM-106	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
116	SWE1-HMI-BLM-030-03		newR1L-BLM-137	NR1L-BLM-107	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
117	SWE1-HMI-BLM-031-01		newR1L-BLM-129	NR1L-BLM-108	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
118	SWE1-HMI-BLM-031-02		newR1L-BLM-130	NR1L-BLM-109	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
119	SWE1-HMI-BLM-031-03		newR1L-BLM-131	NR1L-BLM-110	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
120	SWE1-HMI-BLM-032-01		newR1L-BLM-132	NR1L-BLM-111	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
121	SWE1-HMI-BLM-032-02		newR1L-BLM-133	NR1L-BLM-112	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
122	SWE1-HMI-BLM-032-03		newR1L-BLM-134	NR1L-BLM-113	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
123	SWE1-HMI-BLM-033-01		newR1L-BLM-123	NR1L-BLM-114	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
124	SWE1-HMI-BLM-033-02		newR1L-BLM-124	NR1L-BLM-115	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
125	SWE1-HMI-BLM-033-03		newR1L-BLM-125	NR1L-BLM-116	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
126	SWE1-HMI-BLM-034-01		newR1L-BLM-126	NR1L-BLM-117	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
127	SWE1-HMI-BLM-034-02		newR1L-BLM-094	NR1L-BLM-118	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
128	SWE1-HMI-BLM-034-03		newR1L-BLM-095	NR1L-BLM-119	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
129	SWE1-HMI-BLM-035-01		newR1L-BLM-119	NR1L-BLM-120	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
130	SWE1-HMI-BLM-035-02		newR1L-BLM-120	NR1L-BLM-121	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
131	SWE1-HMI-BLM-035-03		newR1L-BLM-121	NR1L-BLM-122	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
132	SWE1-HMI-BLM-035-04		newR1L-BLM-122	NR1L-BLM-123	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
133	SWE1-HMI-BLM-036-01		newR1L-BLM-135	NR1L-BLM-124	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
134	SWE1-HMI-BLM-036-02		newR1L-BLM-136	NR1L-BLM-125	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
135	SWE1-HMI-BLM-036-03		newR1L-BLM-100	NR1L-BLM-126	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
136	SWE1-HMI-BLM-037-01		newR1L-BLM-050	NR1L-BLM-127	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
137	SWE1-HMI-BLM-037-02		newR1L-BLM-051	NR1L-BLM-128	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
138	SWE1-HMI-BLM-037-03		newR1L-BLM-052	NR1L-BLM-129	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
139	SWE1-HMI-BLM-037-04		newR1L-BLM-053	NR1L-BLM-130	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
140	SWE1-HMI-BLM-037-05		newR1L-BLM-054	NR1L-BLM-131	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
141	SWE1-HMI-BLM-038-01		newR1L-BLM-055	NR1L-BLM-132	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
142	SWE1-HMI-BLM-038-02		newR1L-BLM-056	NR1L-BLM-133	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
143	SWE1-HMI-BLM-038-03		newR1L-BLM-057	NR1L-BLM-134	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
144	SWE1-HMI-BLM-038-04		newR1L-BLM-058	NR1L-BLM-135	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
145	SWE1-HMI-BLM-039-01		newR1L-BLM-138	NR1L-BLM-136	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
146	SWE1-HMI-BLM-039-02		newR1L-BLM-139	NR1L-BLM-137	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
147	SWE1-HMI-BLM-039-03		newR1L-BLM-067	NR1L-BLM-138	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
148	SWE1-HMI-BLM-040-01		newR1L-BLM-031	NR1L-BLM-139	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
149	SWE1-HMI-BLM-040-02		newR1L-BLM-032	NR1L-BLM-140	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
150	SWE1-HMI-BLM-040-03		newR1L-BLM-033	NR1L-BLM-141	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
151	SWE1-HMI-BLM-040-04		newR1L-BLM-034	NR1L-BLM-142	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
152	SWE1-HMI-BLM-041-01		newR1L-BLM-035	NR1L-BLM-143	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
153	SWE1-HMI-BLM-041-02		newR1L-BLM-060	NR1L-BLM-144	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
154	SWE1-HMI-BLM-041-03		newR1L-BLM-061	NR1L-BLM-145	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
155	SWE1-HMI-BLM-041-04		newR1L-BLM-062	NR1L-BLM-146	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
156	SWE1-HMI-BLM-041-05		newR1L-BLM-014	NR1L-BLM-147	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
157	SWE1-HMI-BLM-041-06		newR1L-BLM-036	NR1L-BLM-148	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
158	SWE1-HMI-BLM-042-01		newR1L-BLM-003	NR1L-BLM-149	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
159	SWE1-HMI-BLM-042-02		newR1L-BLM-004	NR1L-BLM-150	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
160	SWE1-HMI-BLM-042-03		newR1L-BLM-081	NR1L-BLM-151	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
