swe_id	family	src_ref	title	desc
SWE1-VC-FeaturesEnableCriteria-020	Common Features	SYS-RA-CFTS044-333	Features Enable Criteria	Note:  Each object is tagged Market = allMrkt which signifies all markets that apply to RU PHEV, K8 PHEV, JL PHEV, and WL PHEV vehicles.
SWE1-VC-FeaturesEnableCriteria-021	Common Features	SYS-RA-CFTS044-334	Features Enable Criteria	"*The VHAL shall provide the current values of the $VC_VEH_LINE$ and $Hybrid_Type$ signals to CarPropertyService.
*CarPropertyService shall receive the $VC_VEH_LINE$ and $Hybrid_Type$ signals and forward them to CarPropertyManager through the appropriate interface.
*CarPropertyManager shall expose these signal values to the HMI through the corresponding APIs.
*The HMI shall evaluate the received $VC_VEH_LINE$ and $Hybrid_Type$ values against the required feature enablement conditions.
*The HMI shall enable the WL version of the Hybrid Electric Pages feature and display the Hybrid Electric Pages access button when $VC_VEH_LINE$ = [WL] and $Hybrid_Type$ = [Plugin Hybrid Electric Vehicle]."
SWE1-VC-FeaturesEnableCriteria-022	Common Features	SYS-RA-CFTS044-335	Features Enable Criteria	"*The VHAL shall provide the current values of the $VC_VEH_LINE$ and $Hybrid_Type$ signals to CarPropertyService.
*CarPropertyService shall receive the $VC_VEH_LINE$ and $Hybrid_Type$ signals and forward them to CarPropertyManager through the appropriate interface.
*CarPropertyManager shall expose these signal values to the HMI through the corresponding APIs.
*The HMI shall evaluate the received $VC_VEH_LINE$ and $Hybrid_Type$ values against the required feature enablement conditions.
*The HMI shall enable the M version of the Hybrid Electric Pages feature and display the Hybrid Electric Pages access button when $VC_VEH_LINE$ = [M4 or MP] and $Hybrid_Type$ = [Plugin Hybrid Electric Vehicle]."
SWE1-VC-FeaturesEnableCriteria-023	Common Features	SYS-RA-CFTS044-336	Features Enable Criteria	The HMI shall disable and hide the associated feature whenever the received signal value does not match any supported or valid operating condition. For all other signal values, the feature shall remain unavailable and shall not be displayed to the customer.
SWE1-VC-ThirdRowHeadrestDump-024	Common Features	SYS-RA-CFTS044-134	Third Row Headrest Dump	Third Row Headrest Dump
SWE1-VC-ThirdRowHeadrestDump-025	Common Features	SYS-RA-CFTS044-135	Third Row Headrest Dump	"*HW supplier shall notify the Third Row Headrest Dump feature availability, activation request, and status signals via the VHAL interface.
*CarPropertyService shall receive the Third Row Headrest Dump signals and send them to CarPropertyManager via interface.
*CarPropertyManager shall expose these values to the HMI via API interfaces as get/set methods.
*The HMI shall evaluate the received signals and compare them with the internally stored Third Row Headrest Dump system status.
*When the Headrest Dump Softkey button is pressed, the HMI shall simultaneously activate both left and right third-row head restraint dump functions.
*The left and right head restraint dump functions shall operate together and shall not be independently controlled.
*The Headrest Dump Softkey button shall only lower the head restraints and shall not provide any functionality to raise them.
*The Headrest Dump Softkey button shall exhibit behavior consistent with other touch screen buttons, including press-to-actuation timing and button size."
SWE1-VC-ThirdRowHeadrestDump-026	Common Features	SYS-RA-CFTS044-136	Third Row Headrest Dump	The Third Row Headrest Dump softkey shall be accessible from the Controls screen and shall remain in an enabled state when the feature is available.
SWE1-VC-ThirdRowHeadrestDump-027	Common Features	SYS-RA-CFTS044-137	Third Row Headrest Dump	The Third Row Headrest Dump softkey shall also be accessible from the Rear View Camera screen, when supported. Rear View Camera availability shall be provided by the Camera module, and the HMI shall enable and display the softkey only when this feature is supported.
SWE1-VC-ThirdRowHeadrestDump-028	Common Features	SYS-RA-CFTS044-138	Third Row Headrest Dump	"*HW supplier shall notify the VC_HdRstPrsnt signal via the VHAL interface.
*CarPropertyService shall receive the VC_HdRstPrsnt signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If the HMI receives the vehicle configuration signal VC_HdRstPrsnt = [Present], the HMI shall dispaly the Third Row Headrest Dump softkey button."
SWE1-VC-ThirdRowHeadrestDump-029	Common Features	SYS-RA-CFTS044-139	Third Row Headrest Dump	"*HW supplier shall notify the $PowerMode$ signal via the VHAL interface.
*CarPropertyService shall receive the $PowerMode$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If The HMI shall grey-out the Third Row Headrest Dump Softkey button when the $PowerMode$ = [Ignition start / IGN_START]."
SWE1-VC-ThirdRowHeadrestDump-030	Common Features	SYS-RA-CFTS044-140	Third Row Headrest Dump	"*The HMI shall request the current value of the $PowerMode$ signal through the CarPropertyManager API.
*CarPropertyManager shall retrieve the $PowerMode$ signal from CarPropertyService.
*CarPropertyService shall obtain the $PowerMode$ signal from the VHAL interface.
*The HMI shall evaluate the received $PowerMode$ value and compare it with the required operating condition.
*The HMI shall make the Third Row Headrest Dump softkey selectable when $PowerMode$ = [Ignition Lock / IGN_LK]."
SWE1-VC-ThirdRowHeadrestDump-031	Common Features	SYS-RA-CFTS044-141	Third Row Headrest Dump	"*The HMI shall request the current value of the $PowerMode$ signal through the CarPropertyManager API.
*CarPropertyManager shall retrieve the $PowerMode$ signal from CarPropertyService.
*CarPropertyService shall obtain the $PowerMode$ signal from the VHAL interface.
*The HMI shall evaluate the received $PowerMode$ value and compare it with the required operating condition.
*The HMI shall make the Third Row Headrest Dump softkey selectable when $PowerMode$ = [Ign. Off & ACC (4-position switch) / IGN_OFF_ACC]."
SWE1-VC-ThirdRowHeadrestDump-032	Common Features	SYS-RA-CFTS044-142	Third Row Headrest Dump	"*The HMI shall request the current value of the $PowerMode$ signal through the CarPropertyManager API.
*CarPropertyManager shall retrieve the $PowerMode$ signal from CarPropertyService.
*CarPropertyService shall obtain the $PowerMode$ signal from the VHAL interface.
*The HMI shall evaluate the received $PowerMode$ value and compare it with the required operating condition.
*The HMI shall make the Third Row Headrest Dump softkey selectable when $PowerMode$ = [Ignition Run / IGN_RUN]."
SWE1-VC-ThirdRowHeadrestDump-033	Common Features	SYS-RA-CFTS044-143	Third Row Headrest Dump	"*When the customer selects the Third Row Headrest Dump softkey, the HMI shall generate an $HdRstRelRq$ request with the value [Pressed].
*The HMI shall send the $HdRstRelRq$ request to CarPropertyManager through the appropriate API.
*CarPropertyManager shall forward the request to CarPropertyService.
*CarPropertyService shall transmit the $HdRstRelRq$ signal to the VHAL interface.
*The VHAL shall communicate the $HdRstRelRq$ = [Pressed] signal to the CBC within <Tsend>."
SWE1-VC-ThirdRowHeadrestDump-034	Common Features	SYS-RA-CFTS044-144	Third Row Headrest Dump	"*When the customer selects the Third Row Headrest Dump softkey, the HMI shall generate an $HdRstRelRq$ request with the value [Pressed].
*The HMI shall send the $HdRstRelRq$ request to CarPropertyManager through the appropriate API.
*CarPropertyManager shall forward the request to CarPropertyService.
*CarPropertyService shall transmit the $HdRstRelRq$ signal to the VHAL interface.
*The VHAL shall communicate the $HdRstRelRq$ = [Pressed] signal to the FSM within <Tsend>."
SWE1-VC-ThirdRowHeadrestDump-035	Common Features	SYS-RA-CFTS044-145	Third Row Headrest Dump	"*After transmitting the $HdRstRelRq$ = [Pressed] signal, the HMI shall generate a follow-up $HdRstRelRq$ request with the value [Not Pressed].
*The HMI shall send the updated $HdRstRelRq$ request to CarPropertyManager through the appropriate API.
*CarPropertyManager shall forward the updated request to CarPropertyService.
*CarPropertyService shall transmit the updated $HdRstRelRq$ signal to the VHAL interface.
*The VHAL shall communicate the $HdRstRelRq$ = [Not Pressed] signal to the FSM within <Tsend> of the initial [Pressed] request."
SWE1-VC-ThirdRowHeadrestDump-036	Common Features	SYS-RA-CFTS044-146	Third Row Headrest Dump	"*HW supplier shall notify the $HdRstRelRq$ signal via the VHAL interface.
*CarPropertyService shall receive the $HdRstRelRq$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If The HMI shall continue to send the periodic $HdRstRelRq$ = [Not pressed] signal until the next short press event for this button."
SWE1-VC-ThirdRowHeadrestDump-037	Common Features	SYS-RA-CFTS044-147	Third Row Headrest Dump	"*HW supplier shall notify the $RVC_SK_PRSNT$ signal via the VHAL interface.
*CarPropertyService shall receive the $RVC_SK_PRSNT$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If the HMI receives the $RVC_SK_PRSNT$ = [Present] the HMI shall activate the virtual Rear View Camera button for user select-ability."
SWE1-VC-ThirdRowHeadrestDump-038	Common Features	SYS-RA-CFTS044-148	Third Row Headrest Dump	"*The HMI shall request the current value of the $PowerMode$ signal through the CarPropertyManager API.
*CarPropertyManager shall retrieve the $PowerMode$ signal from CarPropertyService.
*CarPropertyService shall obtain the $PowerMode$ signal from the VHAL interface.
*The HMI shall evaluate the received $PowerMode$ value against the required operating condition.
*The Rear View Camera soft button shall be selectable only when $PowerMode$ = [IGN_RUN]."
SWE1-VC-ThirdRowHeadrestDump-039	Common Features	SYS-RA-CFTS044-149	Third Row Headrest Dump	"*The HMI shall request the current value of the $PowerMode$ signal through the CarPropertyManager API.
*CarPropertyManager shall retrieve the $PowerMode$ signal from CarPropertyService.
*CarPropertyService shall obtain the $PowerMode$ signal from the VHAL interface.
*The HMI shall continuously monitor and evaluate changes to the received $PowerMode$ signal.
*When $PowerMode$ <> [IGN_RUN], the HMI shall update the state of the Rear View Camera soft button in accordance with the defined HMI Logic and Flow."
SWE1-VC-ThirdRowHeadrestDump-040	Common Features	SYS-RA-CFTS044-150	Third Row Headrest Dump	"*HW supplier shall notify the Rear Camera configuration and default status signals via the VHAL interface.
*CarPropertyService shall receive the Rear Camera signals and send them to CarPropertyManager via the interface.
*CarPropertyManager shall expose these values to the HMI through API interfaces as get/set methods.
*The HMI shall evaluate the received signals and compare them with the internally stored Rear Camera configuration and status.
*The HMI shall initialize the Rear Camera setting to OFF as the default state during system startup or factory reset."
SWE1-VC-ThirdRowHeadrestDump-041	Common Features	SYS-RA-CFTS044-151	Third Row Headrest Dump	The Rear Camera softkey shall be accessible from the Controls screen. The software shall enable and display the softkey in an accessible state whenever the feature is supported and available.
SWE1-VC-ThirdRowHeadrestDump-042	Common Features	SYS-RA-CFTS044-152	Third Row Headrest Dump	"*HW supplier will provide the X,Y co-ordinates for softkey button click
  Also need to provide the Camera Close API status via the VHAL interface.
*CarPropertyService shall receive the Camera Close API status and send it to CarPropertyManager via interface.
*CarPropertyManager shall expose this value to the HMI via API interfaces as get/set methods.
*The HMI shall evaluate the received Rear Camera display status and compare it with the internally stored system state.
*When the Rear Camera is activated, the HMI shall continue displaying the Rear Camera image until the driver presses the Rear Camera softkey to disable it."
SWE1-VC-ThirdRowHeadrestDump-043	Common Features	SYS-RA-CFTS044-153	Third Row Headrest Dump	The Rear Camera softkey shall enable the display of the Rear Camera image when selected. Upon activation, the system shall request and process the camera video stream from the Camera module and present it on the display. The softkey shall remain enabled and shall exhibit behavior consistent with other touchscreen controls, including response time, visual feedback when pressed, and button dimensions.
SWE1-VC-ThirdRowHeadrestDump-044	Common Features	SYS-RA-CFTS044-154	Third Row Headrest Dump	"*HW supplier shall notify the RVC IMAGE signal via the VHAL interface.
*CarPropertyService shall receive the RVC IMAGE signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If the user presses the Rear Camera Softkey button, the HMI shall receive the internal signal RVC IMAGE ON and shall display the image of the rear area of the vehicle."
SWE1-VC-ThirdRowHeadrestDump-045	Common Features	SYS-RA-CFTS044-155	Third Row Headrest Dump	"*HW supplier will provide the X,Y co-ordinates for softkey button click and RVC IMAGE signal
  and also need to provide the Camera Close API status via the VHAL interface.
*HW supplier shall notify the Camera Close API status and  RVC IMAGE signal via the VHAL interface.
*CarPropertyService shall receive the RVC IMAGE signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If the user presses the X on the top right corner of the HMI screen, the HMI shall receive the internal signal RVC IMAGE OFF and shall close the image of the rear area of the vehicle."
SWE1-VC-ScreenOFF-046	Common Features	SYS-RA-CFTS044-172	Screen OFF	Screen OFF
SWE1-VC-ScreenOFF-047	Common Features	SYS-RA-CFTS044-173	Screen OFF	The default state of the Screen Off soft button shall be set to ON. The software shall initialize and display the Screen Off soft button in the ON state during system startup or whenever the feature is reset to its default configuration.
SWE1-VC-ScreenOFF-048	Common Features	SYS-RA-CFTS044-174	Screen OFF	"*HW supplier shall notify the $DSP_SK_PRSNT$ signal via the VHAL interface.
*CarPropertyService shall receive the $DSP_SK_PRSNT$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If the HMI receives $DSP_SK_PRSNT$ = [Present], the HMI shall activate the virtual Screen Off button for user select-ability."
SWE1-VC-ScreenOFF-049	Common Features	SYS-RA-CFTS044-175	Screen OFF	The Display soft button shall allow the customer to turn the touchscreen display ON or OFF. The software shall provide access to this soft button and enable the customer to toggle the display state through the HMI.
SWE1-VC-ScreenOFF-050	Common Features	SYS-RA-CFTS044-176	Screen OFF	"*HW supplier shall notify the HMI wake-up status and display state signals via the VHAL interface.
*CarPropertyService shall receive the HMI wake-up and display state signals and send them to CarPropertyManager via interface.
*CarPropertyManager shall expose these values to the HMI via API interfaces as get/set methods.
*The HMI shall evaluate the received wake-up and display state signals and compare them with the internally stored system status.
*When the HMI wakes up on the BH-CAN bus, the HMI shall recall and restore the display state from the previous wake cycle."
SWE1-VC-ScreenOFF-051	Common Features	SYS-RA-CFTS044-177	Screen OFF	"*When the user presses the Screen Off softkey, the HMI shall generate a request to update the $TGW_DISP_STAT$ signal.
*The HMI shall send the requested $TGW_DISP_STAT$ value to CarPropertyManager through the appropriate API.
*CarPropertyManager shall forward the request to CarPropertyService.
*CarPropertyService shall transmit the requested $TGW_DISP_STAT$ signal to the VHAL interface.
*The VHAL shall communicate the $TGW_DISP_STAT$ signal"
SWE1-VC-ScreenOFF-052	Common Features	SYS-RA-CFTS044-178	Screen OFF	The software shall allow the customer to change the display state between ON and OFF using the Display soft button. Changes to the display state resulting from customer selection shall not affect any audio or video entertainment functions, informational displays, or signal warning/alert functions, unless otherwise specified by system requirements.
SWE1-VC-StopStartSystemBehavior-053	Common Features	SYS-RA-CFTS044-320	Stop Start System Behavior	Stop Start System Behavior
SWE1-VC-StopStartSystemBehavior-054	Common Features	SYS-RA-CFTS044-321	Stop Start System Behavior	"*HW supplier shall notify the $Stop_And_Start_cfg$, STATUS_CCAN3.EngineSts and STATUS_CCAN3.ESS_ENG_ST signals via the VHAL interface.
*CarPropertyService shall receive the $Stop_And_Start_cfg$, STATUS_CCAN3.EngineSts and STATUS_CCAN3.ESS_ENG_ST signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*This functionality is implemented if PROXI parameter $Stop_And_Start_cfg$ = [Present].
 During the Ignition Working Conditions:
• Ignition On
• Ignition On Engine On
IF (STATUS_CCAN3.EngineSts == “Engine_Off” AND STATUS_CCAN3.ESS_ENG_ST != “ENS_DSBL”)then 
*The HMI shall retain the existing state and level of the Heated/Vented Seats or Heated Steering Wheel button(s);
*The HMI shall allow the vented seats buttons to be selectable, as defined in Section ‘Vented Seats’;
*The HMI shall allow the heated steering wheel buttons to be selectable, as defined in Section ‘Heated Steering Wheel’;"
SWE1-VC-StopStartSystemBehavior-055	Common Features	SYS-RA-CFTS044-322	Stop Start System Behavior	"*HW supplier shall notify the STATUS_CCAN3.EngineSts and STATUS_CCAN3.ESS_ENG_ST signals via the VHAL interface.
*CarPropertyService shall receive the STATUS_CCAN3.EngineSts and STATUS_CCAN3.ESS_ENG_ST signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*ELSE IF (STATUS_CCAN3.EngineSts == “Engine_Off” AND STATUS_CCAN3.ESS_ENG_ST = “ENS_DSBL”)then
*Heated Seats button shall be greyed-out; OR
* Vented Seats button shall be greyed-out; OR
* Heated Steering Wheel button shall be greyed-out"
SWE1-VC-StopStartSystemBehavior-056	Common Features	SYS-RA-CFTS044-323	Stop Start System Behavior	"*HW supplier shall notify the STATUS_CCAN3.EngineSts signal via the VHAL interface.
*CarPropertyService shall receive the STATUS_CCAN3.EngineSts signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*ELSE IF (STATUS_CCAN3.EngineSts == “Engine_On”)then
*The HMI shall retain the existing state and level of the Heated/Vented Seats or Heated Steering Wheel button(s);
*The HMI shall allow the Vented Seats buttons to be selectable, as defined in Section ‘Vented Seats’;
*The HMI shall allow the Heated Steering Wheel buttons to be selectable, as defined in Section ‘Heated Steering Wheel’;"
SWE1-VC-LeftFrontHeatedSeat-001	HeatedSeat	SYS-RA-CFTS044-022	Left Front Heated Seat	Left Front Heated Seat
SWE1-VC-LeftFrontHeatedSeatButton-002	HeatedSeat	SYS-RA-CFTS044-023	Left Front Heated Seat Button	The LF heated seat button will allow the customer to change the state of the left front heated seat from Off to a High heat to a Low heat.
SWE1-VC-LeftFrontHeatedSeat-003	HeatedSeat	SYS-RA-CFTS044-024	Left Front Heated Seat	"HW supplier shall notify the HU wake-up event via the BH-CAN bus through the VHAL interface and provide the HeatedSeatFL signal upon availability and send that to CarPropertyManager via Interface.
CarPropertyManager will expose that value to HMI layer via API interface as get/set methods.
CarPropertyService shall receive the wake-up indication and HeatedSeatFL signal and make them available to the HMI layer.
The HMI layer shall evaluate the received event and signals and initialize the display state.
When the HU wakes up on the BH-CAN bus, the HMI shall display the Front Left heated seat as Off until a valid $HeatedSeatFL$ status is received from CAN."
SWE1-VC-LeftFrontHeatedSeat-004	HeatedSeat	SYS-RA-CFTS044-025	Left Front Heated Seat	"HW supplier shall notify the Heated_Seat_Levels signal via the VHAL interface.
CarPropertyService shall receive the Heated_Seat_Levels signal from VHAL and send that to CarPropertyManager via Interface.
CarPropertyManager will expose that value to HMI layer via API interface as get/set methods.
The HMI layer shall evaluate the received signal and determine the supported heated seat levels.
The HMI shall interpret the Heated_Seat_Levels signal as follows:
If $Heated_Seat_Levels$ = [1], the HMI shall support On/Off only.
If $Heated_Seat_Levels$ = [2], the HMI shall support Off, Low, and High levels.
If $Heated_Seat_Levels$ = [3], the HMI shall support Off, Low, Medium, and High levels.
Any other value of $Heated_Seat_Levels$ shall be considered invalid by the HMI."
