row037	swe	kind	title_prefix	title
30	SWE1-Diagnostics-023	negative	AM/FM	AM/FM - Handle Negative response to report the Tuner status.
31	SWE1-Diagnostics-024	unsupported	AM/FM	AM/FM - Handle Unsupported Service for report the Tuner status.
32	SWE1-Diagnostics-025	positive	AM/FM	AM/FM - When requested by this DID, the HU shall report the Tuner Carrier Freq Offset.
33	SWE1-Diagnostics-026	negative	AM/FM	AM/FM - Handle Negative response to report the Tuner Carrier Freq Offset.
34	SWE1-Diagnostics-027	unsupported	AM/FM	AM/FM - Handle Unsupported Service to report the Tuner Carrier Freq Offset.
35	SWE1-Diagnostics-028	positive	AM/FM	"AM/FM - When requested by this DID, the HU shall report the status of the Signal Strength. The status can be either ""No signal"", ""Very weak"", ""Weak signal"", ""Marginal signal"", or ""Good signal""."
36	SWE1-Diagnostics-029	negative	AM/FM	AM/FM - Handle Negative response to report the status of the Signal Strength
37	SWE1-Diagnostics-030	unsupported	AM/FM	AM/FM - Handle Unsupported Service to report the status of the Signal Strength.
38	SWE1-Diagnostics-031	positive	AM/FM	AM/FM - When the command to change SDAR station is received, the radio shall change to the new channel number contained in the command.
39	SWE1-Diagnostics-032	negative	AM/FM	AM/FM - Handle Negative response to change to the new channel number contained in the command.
40	SWE1-Diagnostics-033	unsupported	AM/FM	AM/FM - Handle Unsupported Service to change to the new channel number contained in the command.
41	SWE1-Diagnostics-034	negative	AM/FM	"AM/FM - If the new station number is not a valid station under the currently broadcast channel line-up, the radio shall return the ""Request Out of Range"" negative response, code $31."
42	SWE1-Diagnostics-035	positive	AM/FM	AM/FM - The radio shall tune to a specific frequency when receiving a command from this DID.
43	SWE1-Diagnostics-036	negative	AM/FM	AM/FM - Handle Negative response to tune to a specific frequency when receiving a command from this DID.
44	SWE1-Diagnostics-037	unsupported	AM/FM	AM/FM - Handle Unsupported Service to change to the new channel number contained in the command.
45	SWE1-Diagnostics-038	positive	AM/FM	AM/FM - The radio shall stop a seek function when receiving the seek status = Not Set.
46	SWE1-Diagnostics-039	negative	AM/FM	AM/FM - Handle Negative response to stop a seek function when receiving the seek status
47	SWE1-Diagnostics-040	unsupported	AM/FM	AM/FM - Handle Unsupported Service to change to the new channel number contained in the command.
48	SWE1-Diagnostics-041	positive	AM/FM	AM/FM - The radio shall initiate a seek function when receiving the seek status = Set.
49	SWE1-Diagnostics-042	negative	AM/FM	AM/FM - Handle Negative response to seek a function when receiving the seek status = set
50	SWE1-Diagnostics-043	unsupported	AM/FM	AM/FM - Handle Unsupported Service to change to the new channel number contained in the command.
51	SWE1-Diagnostics-044	positive	Audio	Audio - Read the current Entertainment audio source mode using this DID $500A
52	SWE1-Diagnostics-045	negative	Audio	Audio - Handle the negative response while reading the current Entertainment audio source mode
53	SWE1-Diagnostics-046	unsupported	Audio	Audio - Handle the Unsupported service requests while reading the current Entertainment audio source mode
54	SWE1-Diagnostics-047	positive	(無前綴)	This DID shall report the currently selected active speaker output.
55	SWE1-Diagnostics-048	negative	(無前綴)	negative senario for This DID shall report the currently selected active speaker output.
56	SWE1-Diagnostics-049	negative	(無前綴)	If the speaker outputs are functioning normally, meaning each output is active, the radio shall provide the negative response $22, Conditions Not Correct.
57	SWE1-Diagnostics-050	positive	(無前綴)	This DID shall report the current status of the Buzzer output.
58	SWE1-Diagnostics-051	positive	(無前綴)	This DID shall report the current state of the Aux input detect switch: inserted or not inserted.
59	SWE1-Diagnostics-052	positive	(無前綴)	The Cabin EQ Curve Number Currently Used By Radio shall be readable from and writeable to this DID. The number will show the status of the radio's current Cabin EQ curve number setting.
60	SWE1-Diagnostics-053	positive	(無前綴)	The Automated Loudness data shall be readable from and writeable to this DID. The Automated Loudness shows the status of the radio's loudness setting.
61	SWE1-Diagnostics-054	positive	(無前綴)	When requested by this DID, the radio shall report the status of the following push buttons: Power, Up, Down, Select, Dark, Mute, Back, Radio, Player, Nav, Phone and More.
62	SWE1-Diagnostics-055	positive	(無前綴)	For each push button the radio is not compatible with, the radio shall report the status as Not Pressed.
63	SWE1-Diagnostics-056	positive	(無前綴)	This DID shall report the current volume step setting from 0 to 38, Base, Treble, Mid, Balance and Fade settings from -9 to 9.
64	SWE1-Diagnostics-057	positive	(無前綴)	AMP shall process any chimes, and the HU shall switch phone call to cell phone.
65	SWE1-Diagnostics-058	positive	Audio	Audio - Update the Entertainment (Mode 2) audio source selection using DID $500A
66	SWE1-Diagnostics-059	negative	Audio	Audio - Handle negative response while processing Entertainment (Mode 2) audio source selection via DID $500A
67	SWE1-Diagnostics-060	unsupported	Audio	Audio - Handle unsupported service requests for Entertainment (Mode 2) audio source selection via DID $500A
68	SWE1-Diagnostics-061	positive	Audio	Audio - Update the Information (Mode 1) audio source selection using DID $500A
69	SWE1-Diagnostics-062	negative	Audio	Audio - Handle negative response while processing Information (Mode 1) audio source selection via DID $500A
70	SWE1-Diagnostics-063	unsupported	Audio	Audio - Handle unsupported service requests for Information (Mode 1) audio source selection via DID $500A
71	SWE1-Diagnostics-064	positive	(無前綴)	Valid values for fade control step shall be from 9 front to 9 rear, including neutral.
72	SWE1-Diagnostics-065	positive	(無前綴)	The radio shall change the current fade control step to the new value provided using this DID.
73	SWE1-Diagnostics-066	positive	(無前綴)	Valid values for balance control step shall be from 9 left to 9 right, including neutral.
74	SWE1-Diagnostics-067	positive	(無前綴)	The radio shall change the current balance control step to the new value provided using this DID.
75	SWE1-Diagnostics-068	positive	(無前綴)	Valid values for treble tone control step shall be from -9 to +9, including neutral.
76	SWE1-Diagnostics-069	positive	(無前綴)	The radio shall change the current treble tone control step to the new value provided using this DID.
77	SWE1-Diagnostics-070	positive	Audio	Audio - Write the treble tone control step value using DID $5004
78	SWE1-Diagnostics-071	negative	Audio	Audio - Handle negative response while processing treble tone control step via DID $5004
79	SWE1-Diagnostics-072	unsupported	Audio	Audio - Handle unsupported service requests for treble tone control step via DID $5004
80	SWE1-Diagnostics-073	positive	Audio	Audio - Validate the bass tone control step value is within the supported range (-9 to +9) for DID $5003
81	SWE1-Diagnostics-074	negative	Audio	Audio - Handle the negative response while validating the bass tone control step value for DID $5003
82	SWE1-Diagnostics-075	unsupported	Audio	Audio - Handle the Unsupported service requests while processing the bass tone control step value for DID $5003
83	SWE1-Diagnostics-076	positive	Audio	Audio - Update the current bass tone control step to the new value provided using this DID $5003
84	SWE1-Diagnostics-077	negative	Audio	Audio - Handle the negative response while updating the bass tone control step value
85	SWE1-Diagnostics-078	unsupported	Audio	Audio - Handle the Unsupported service requests while updating the bass tone control step value
86	SWE1-Diagnostics-079	positive	Audio	Audio - Write the bass tone control step value using DID $5003
87	SWE1-Diagnostics-080	negative	Audio	Audio - Handle negative response while processing bass tone control step via DID $5003
88	SWE1-Diagnostics-081	unsupported	Audio	Audio - Handle unsupported service requests for bass tone control step via DID $5003
89	SWE1-Diagnostics-082	positive	Audio	Audio - Validate the volume step value is within the supported range (0 to 38) for DID $5002
90	SWE1-Diagnostics-083	negative	Audio	Audio - Handle the negative response while validating the volume step value for DID $5002
91	SWE1-Diagnostics-084	unsupported	Audio	Audio - Handle the Unsupported service requests while processing the volume step value for DID $5002
92	SWE1-Diagnostics-085	positive	Audio	Audio - Update the current volume step to the new value provided using this DID $5002
93	SWE1-Diagnostics-086	negative	Audio	Audio - Handle the negative response while updating the current volume step value
94	SWE1-Diagnostics-087	unsupported	Audio	Audio - Handle the Unsupported service requests while updating the current volume step value
95	SWE1-Diagnostics-088	positive	Audio	Audio - Write the radio volume step value using DID $5002
96	SWE1-Diagnostics-089	negative	Audio	Audio - Handle negative response while processing radio volume step via DID $5002
97	SWE1-Diagnostics-090	unsupported	Audio	Audio - Handle unsupported service requests for radio volume step via DID $5002
98	SWE1-Diagnostics-091	positive	Audio	Audio - Update the Rear Right speaker output selection using this DID $5001
99	SWE1-Diagnostics-092	negative	Audio	Audio - Handle the negative response while updating the Rear Right speaker output selection
100	SWE1-Diagnostics-093	unsupported	Audio	Audio - Handle the Unsupported service requests while updating the Rear Right speaker output selection
101	SWE1-Diagnostics-094	positive	Audio	Audio - Update the Rear Left speaker output selection using this DID $5001
102	SWE1-Diagnostics-095	negative	Audio	Audio - Handle the negative response while updating the Rear Left speaker output selection
103	SWE1-Diagnostics-096	unsupported	Audio	Audio - Handle the Unsupported service requests while updating the Rear Left speaker output selection
104	SWE1-Diagnostics-097	positive	Audio	Audio - Enable the specified speaker output selection for test tone routing using DID $5001
105	SWE1-Diagnostics-098	negative	Audio	Audio - Handle negative response while processing speaker output selection for test tone routing via DID $5001
106	SWE1-Diagnostics-099	unsupported	Audio	Audio - Handle unsupported service requests for speaker output selection for test tone routing via DID $5001
107	SWE1-Diagnostics-100	positive	Audio	Audio - Update the Front Right speaker output selection using this DID $5001
108	SWE1-Diagnostics-101	negative	Audio	Audio - Handle the negative response while updating the Front Right speaker output selection
109	SWE1-Diagnostics-102	unsupported	Audio	Audio - Handle the Unsupported service requests while updating the Front Right speaker output selection
110	SWE1-Diagnostics-103	positive	Audio	Audio - Update the Front Left speaker output selection using this DID $5001
111	SWE1-Diagnostics-104	negative	Audio	Audio - Handle the negative response while updating the Front Left speaker output selection
112	SWE1-Diagnostics-105	unsupported	Audio	Audio - Handle the Unsupported service requests while updating the Front Left speaker output selection
113	SWE1-Diagnostics-106	negative	Audio	Audio - Return NRC $22 Conditions Not Correct when external buzzer source is active during speaker quadrant selection using DID $5001
114	SWE1-Diagnostics-107	negative	Audio	Audio - Handle the negative response while processing speaker quadrant selection when external buzzer source is active
115	SWE1-Diagnostics-108	unsupported	Audio	Audio - Handle the Unsupported service requests while processing speaker quadrant selection
116	SWE1-Diagnostics-109	positive	Audio	Audio - Activate buzzer control tone and mute entertainment audio sources using DID $5000
117	SWE1-Diagnostics-110	negative	Audio	Audio - Handle negative response while processing buzzer control tone activation with entertainment mute via DID $5000
118	SWE1-Diagnostics-111	unsupported	Audio	Audio - Handle unsupported service requests for buzzer control tone activation with entertainment mute via DID $5000
119	SWE1-Diagnostics-112	positive	Audio	Audio - Control tone output level according to radio volume when no specific level is defined using DID $5000
120	SWE1-Diagnostics-113	negative	Audio	Audio - Handle negative response while processing tone output level linked to radio volume via DID $5000
121	SWE1-Diagnostics-114	unsupported	Audio	Audio - Handle unsupported service requests for tone output level linked to radio volume via DID $5000
122	SWE1-Diagnostics-115	positive	Audio	Audio - Route tool-controlled tones to all speaker outputs unless specific outputs are requested using DID $D013
123	SWE1-Diagnostics-116	negative	Audio	Audio - Handle negative response while processing tool-controlled tone routing to all or specified speaker outputs via DID $D013
124	SWE1-Diagnostics-117	unsupported	Audio	Audio - Handle unsupported service requests for tool-controlled tone routing to all or specified speaker outputs via DID $D013
125	SWE1-Diagnostics-118	positive	Audio	Audio - Select the Tones Off option to deactivate all active tones using DID $5000
126	SWE1-Diagnostics-119	negative	Audio	Audio - Handle negative response while processing Tones Off option via DID $5000
127	SWE1-Diagnostics-120	unsupported	Audio	Audio - Handle unsupported service requests for Tones Off option via DID $5000
128	SWE1-Diagnostics-121	positive	Audio	Audio - Select and output the 7 kHz tool-controlled tone using DID $5000
129	SWE1-Diagnostics-122	negative	Audio	Audio - Handle negative response while processing 7 kHz tool-controlled tone selection and output via DID $5000
130	SWE1-Diagnostics-123	unsupported	Audio	Audio - Handle unsupported service requests for 7 kHz tool-controlled tone selection and output via DID $5000
131	SWE1-Diagnostics-124	positive	Audio	Audio - Select and output the 7 kHz radio-controlled tone using DID $5000
132	SWE1-Diagnostics-125	negative	Audio	Audio - Handle negative response while processing 7 kHz radio-controlled tone selection and output via DID $5000
133	SWE1-Diagnostics-126	unsupported	Audio	Audio - Handle unsupported service requests for 7 kHz radio-controlled tone selection and output via DID $5000
134	SWE1-Diagnostics-127	positive	Audio	Audio - Select and output the 60 Hz tool-controlled tone using DID $5000
135	SWE1-Diagnostics-128	negative	Audio	Audio - Handle negative response while processing 60 Hz tool-controlled tone selection and output via DID $5000
136	SWE1-Diagnostics-129	unsupported	Audio	Audio - Handle unsupported service requests for 60 Hz tool-controlled tone selection and output via DID $5000
137	SWE1-Diagnostics-130	positive	Audio	Audio - Select and output the 60 Hz radio-controlled tone applied via AV1 analog input to all speaker quadrants using DID $5000
138	SWE1-Diagnostics-131	negative	Audio	Audio - Handle negative response while processing 60 Hz radio-controlled tone via AV1 analog input routed to all four speaker quadrants via DID $5000
139	SWE1-Diagnostics-132	unsupported	Audio	Audio - Handle unsupported service requests for 60 Hz radio-controlled tone via AV1 analog input routed to all four speaker quadrants via DID $5000
140	SWE1-Diagnostics-133	positive	Audio	Audio - Select and output the 200 Hz 120 mV tool-controlled tone using DID $5000
141	SWE1-Diagnostics-134	negative	Audio	Audio - Handle negative response while processing 200 Hz 120 mV tool-controlled tone selection and output via DID $5000
142	SWE1-Diagnostics-135	unsupported	Audio	Audio - Handle unsupported service requests for 200 Hz 120 mV tool-controlled tone selection and output via DID $5000
143	SWE1-Diagnostics-136	positive	Audio	Audio - Select and output the 200 Hz tool-controlled tone using DID $5000
144	SWE1-Diagnostics-137	negative	Audio	Audio - Handle negative response while processing 200 Hz tool-controlled tone selection and output via DID $5000
145	SWE1-Diagnostics-138	unsupported	Audio	Audio - Handle unsupported service requests for 200 Hz tool-controlled tone selection and output via DID $5000
146	SWE1-Diagnostics-139	positive	Audio	Audio - Select and output the 200 Hz radio-controlled tone using DID $5000
147	SWE1-Diagnostics-140	negative	Audio	Audio - Handle negative response while processing 200 Hz radio-controlled tone selection and output via DID $5000
148	SWE1-Diagnostics-141	unsupported	Audio	Audio - Handle unsupported service requests for 200 Hz radio-controlled tone selection and output via DID $5000
149	SWE1-Diagnostics-142	positive	Audio	Audio - Select and output the 1 kHz 120 mV tool-controlled tone using DID $5000
150	SWE1-Diagnostics-143	negative	Audio	Audio - Handle negative response while processing 1 kHz 120 mV tool-controlled tone selection and output via DID $5000
151	SWE1-Diagnostics-144	unsupported	Audio	Audio - Handle unsupported service requests for 1 kHz 120 mV tool-controlled tone selection and output via DID $5000
152	SWE1-Diagnostics-145	positive	Audio	Audio - Output radio-controlled tones sequentially through speaker outputs in clockwise rotation with a 10-second hold per output and continue the sequence until disabled using DID 0x5000.
153	SWE1-Diagnostics-146	negative	Audio	Audio - Handle the negative response while executing the sequential clockwise speaker tone routine
154	SWE1-Diagnostics-147	unsupported	Audio	Audio - Handle the Unsupported service requests while executing the sequential clockwise speaker tone routine
155	SWE1-Diagnostics-148	positive	Audio	Audio - Configure the frequency and amplitude parameters for AC audio measurement using DID $031B
156	SWE1-Diagnostics-149	negative	Audio	Audio - Handle negative response while processing audio measurement AC frequency and amplitude parameter configuration via DID $031B
157	SWE1-Diagnostics-150	unsupported	Audio	Audio - Handle unsupported service requests for audio measurement AC frequency and amplitude parameter configuration via DID $031B
158	SWE1-Diagnostics-151	positive	Audio	Audio - Initiate AV signal detection for audio test tone and/or video test pattern on the specified channel input using DID $0312
159	SWE1-Diagnostics-152	negative	Audio	Audio - Handle negative response while processing AV signal detection routine for audio test tone and/or video test pattern on a specified channel via DID $0312
160	SWE1-Diagnostics-153	unsupported	Audio	Audio - Handle unsupported service requests for AV signal detection routine for audio test tone and/or video test pattern on a specified channel via DID $0312
161	SWE1-Diagnostics-154	positive	Audio	Audio - Return NRC 0x31 Request Out of Range when the channel number does not correspond to a valid AV input using DID $0312
162	SWE1-Diagnostics-155	positive	Audio	Audio - Validate that the expected audio test tone frequency is 1 kHz and amplitude is 0 dB using DID $0312
163	SWE1-Diagnostics-156	negative	Audio	Audio - Handle negative response while processing expected audio test tone validation (1 kHz, 0 dB) for AV signal detection routine via DID $0312
164	SWE1-Diagnostics-157	unsupported	Audio	Audio - Handle unsupported service requests for expected audio test tone validation (1 kHz, 0 dB) for AV signal detection routine via DID $0312
165	SWE1-Diagnostics-158	positive	Audio	Audio - Detect the AV signal for the specified AV Channel Number using DID $0312
166	SWE1-Diagnostics-159	unsupported	Audio	Audio - Handle the Unsupported service requests while detecting the AV signal for the specified AV Channel Number
167	SWE1-Diagnostics-160	negative	Audio	Audio - Return NRC 0x31 Request Out of Range when the AV Channel Number does not correspond to a valid audio or video input
168	SWE1-Diagnostics-161	positive	SiriusXM	SiriusXM - Report TWER Pipe 2A Status via DID Read
169	SWE1-Diagnostics-162	negative	SiriusXM	SiriusXM - Handle Negative Response for TWER Pipe Status DID Read
170	SWE1-Diagnostics-163	positive	SiriusXM	SiriusXM - Report TWER Pipe 1B Status via DID Read
171	SWE1-Diagnostics-164	negative	SiriusXM	SiriusXM - Handle Negative Response for TWER Pipe Status DID Read
172	SWE1-Diagnostics-165	positive	SiriusXM	SiriusXM - Report TWER Pipe 1A Status via DID Read
173	SWE1-Diagnostics-166	negative	SiriusXM	SiriusXM - Handle Negative Response for TWER Pipe Status DID Read
174	SWE1-Diagnostics-167	positive	SiriusXM	SiriusXM - Report TWER Pipe 0B Status via DID Read
175	SWE1-Diagnostics-168	negative	SiriusXM	SiriusXM - Handle Negative Response for TWER Pipe Status DID Read
176	SWE1-Diagnostics-169	positive	SiriusXM	SiriusXM - Report TWER Pipe 0A Status via DID Read
177	SWE1-Diagnostics-170	negative	SiriusXM	SiriusXM - Handle Negative Response for TWER Pipe Status DID Read
178	SWE1-Diagnostics-171	positive	SiriusXM	SiriusXM - Report the Status of Receiver State via DID Read
179	SWE1-Diagnostics-172	negative	SiriusXM	SiriusXM - Handle Negative Response for Receiver State status DID Read
180	SWE1-Diagnostics-173	positive	SiriusXM	SiriusXM - Report the Status of OBER TB via DID Read
181	SWE1-Diagnostics-174	negative	SiriusXM	SiriusXM - Handle Negative Response for OBER TB status DID Read
182	SWE1-Diagnostics-175	positive	SiriusXM	SiriusXM - Report the Status of OBER TA via DID Read
183	SWE1-Diagnostics-176	negative	SiriusXM	SiriusXM - Handle Negative Response for OBER TA status DID Read
184	SWE1-Diagnostics-177	positive	SiriusXM	SiriusXM - Report the Status of OBER S2B via DID Read
185	SWE1-Diagnostics-178	negative	SiriusXM	SiriusXM - Handle Negative Response for OBER S2B status DID Read
186	SWE1-Diagnostics-179	positive	SiriusXM	SiriusXM - Report the Status of OBER S2A via DID Read
187	SWE1-Diagnostics-180	negative	SiriusXM	SiriusXM - Handle Negative Response for OBER S2A status DID Read
188	SWE1-Diagnostics-181	positive	SiriusXM	SiriusXM - Report the Status of OBER S1B via DID Read
189	SWE1-Diagnostics-182	negative	SiriusXM	SiriusXM - Handle Negative Response for OBER S1B status DID Read
190	SWE1-Diagnostics-183	positive	SiriusXM	SiriusXM - Report the Status of OBER S1A via DID Read
191	SWE1-Diagnostics-184	negative	SiriusXM	SiriusXM - Handle Negative Response for OBER S1A status DID Read
192	SWE1-Diagnostics-185	positive	SiriusXM	SiriusXM - Report RSSI via DID Read
193	SWE1-Diagnostics-186	negative	SiriusXM	SiriusXM - Handle Negative Response for RSSI DID Read
194	SWE1-Diagnostics-187	positive	SiriusXM	SiriusXM - Report RSErrs Words via DID Read
195	SWE1-Diagnostics-188	negative	SiriusXM	SiriusXM - Handle Negative Response for RSErrs Words DID Read
196	SWE1-Diagnostics-189	positive	SiriusXM	SiriusXM - Report RSErrs Terr Symbol via DID Read
197	SWE1-Diagnostics-190	negative	SiriusXM	SiriusXM - Handle Negative Response for RSErrs Terr Symbol DID Read
198	SWE1-Diagnostics-191	positive	SiriusXM	SiriusXM - Report report the RSErrs Sat Symbol via DID Read
199	SWE1-Diagnostics-192	negative	SiriusXM	SiriusXM - Handle Negative Response for report the RSErrs Sat Symbol DID Read
200	SWE1-Diagnostics-193	positive	SiriusXM	SiriusXM - Report report the report the ENSB Lock status via DID Read
201	SWE1-Diagnostics-194	negative	SiriusXM	SiriusXM - Handle Negative Response to report the ENSB Lock status DID Read
202	SWE1-Diagnostics-195	positive	SiriusXM	SiriusXM - Report report the report the ENSA Lock status via DID Read
203	SWE1-Diagnostics-196	negative	SiriusXM	SiriusXM - Handle Negative Response to report the ENSA Lock status DID Read
204	SWE1-Diagnostics-197	positive	SiriusXM	SiriusXM - Report the C/N S2B via DID
205	SWE1-Diagnostics-198	negative	SiriusXM	SiriusXM - Handle Negative Response to report the C/N S2B via DID
206	SWE1-Diagnostics-199	positive	SiriusXM	SiriusXM - Report the C/N S2A via DID
207	SWE1-Diagnostics-200	negative	SiriusXM	SiriusXM - Handle Negative Response to report the C/N S2A via DID
208	SWE1-Diagnostics-201	positive	SiriusXM	SiriusXM - Report the C/N S1B via DID
209	SWE1-Diagnostics-202	negative	SiriusXM	SiriusXM - Handle Negative Response to report the C/N S1B via DID
210	SWE1-Diagnostics-203	positive	SiriusXM	SiriusXM - Report the C/N S1A via DID
211	SWE1-Diagnostics-204	negative	SiriusXM	SiriusXM - Handle Negative Response to report the C/N S1A via DID
212	SWE1-Diagnostics-205	positive	SiriusXM	SiriusXM - Report the BER T via DID
213	SWE1-Diagnostics-206	negative	SiriusXM	SiriusXM - Handle Negative Response to report the BER T via DID
214	SWE1-Diagnostics-207	positive	SiriusXM	SiriusXM - Report the BER S2 via DID
215	SWE1-Diagnostics-208	negative	SiriusXM	SiriusXM - Handle Negative Response to report the BER S2 via DID
216	SWE1-Diagnostics-209	positive	SiriusXM	SiriusXM - Report the BER S1 via DID
217	SWE1-Diagnostics-210	negative	SiriusXM	SiriusXM - Handle Negative Response to report the BER S1 via DID
218	SWE1-Diagnostics-211	positive	SiriusXM	SiriusXM - Report the Terrestrial Signal via DID
219	SWE1-Diagnostics-212	negative	SiriusXM	SiriusXM - Handle Negative Response to report the Terrestrial Signal via DID
220	SWE1-Diagnostics-213	positive	SiriusXM	SiriusXM - Report the Status of the signal via DID
221	SWE1-Diagnostics-214	negative	SiriusXM	SiriusXM - Handle Negative Response to report the Status of the Signal via DID
222	SWE1-Diagnostics-215	positive	SiriusXM	SiriusXM - Report the Status of the Satellite signal via DID
223	SWE1-Diagnostics-216	negative	SiriusXM	SiriusXM - Handle Negative Response to report the Status of the Satellite Signal via DID
224	SWE1-Diagnostics-217	positive	SiriusXM	SiriusXM - Report the Status of the Audio Decoder bitrate via DID
225	SWE1-Diagnostics-218	negative	SiriusXM	SiriusXM - Handle Negative Response to report the Status of the Audio Decoder bitrate via DID
226	SWE1-Diagnostics-219	positive	SiriusXM	SiriusXM - Report the Status of the Antenna via DID
227	SWE1-Diagnostics-220	negative	SiriusXM	SiriusXM - Handle Negative Response to report the Status of the Antenna via DID
228	SWE1-Diagnostics-221	positive	SiriusXM	SiriusXM - Package Select Routine Control
229	SWE1-Diagnostics-222	negative	SiriusXM	SiriusXM - Handle Negative Response for Package Select Routine Control
230	SWE1-Diagnostics-223	positive	SiriusXM	SiriusXM - Package Validation Routine Control
231	SWE1-Diagnostics-224	negative	SiriusXM	SiriusXM - Handle Negative Response for Package Validation Routine Control
232	SWE1-Diagnostics-225	positive	SiriusXM	SiriusXM - Package Validation Routine Control
233	SWE1-Diagnostics-226	positive	SiriusXM	SiriusXM - Package Validation Routine Control
234	SWE1-Diagnostics-227	positive	SiriusXM	SiriusXM - Package Validation Routine Control
235	SWE1-Diagnostics-228	positive	SiriusXM	SiriusXM - Package Validation Routine Control
236	SWE1-Diagnostics-229	positive	SiriusXM	SiriusXM - Package Validation Routine Control
237	SWE1-Diagnostics-230	positive	SiriusXM	SiriusXM - Package Validation Routine Control
238	SWE1-Diagnostics-231	positive	SiriusXM	SiriusXM - Package Validation Routine Control
239	SWE1-Diagnostics-232	positive	SiriusXM	SiriusXM - Read CA Pellet status via DID $2848
240	SWE1-Diagnostics-233	negative	SiriusXM	SiriusXM - Handle negative response while reading CA Pellet status via DID $2848
241	SWE1-Diagnostics-234	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading CA Pellet status via DID $2848
242	SWE1-Diagnostics-235	positive	SiriusXM	SiriusXM - Apply requested Sirius XM package ID via DID $2847 write
243	SWE1-Diagnostics-236	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while applying Sirius XM package ID via DID $2847
244	SWE1-Diagnostics-237	negative	SiriusXM	SiriusXM - Return negative response when Sirius XM package ID application fails via DID $2847
245	SWE1-Diagnostics-238	positive	SiriusXM	SiriusXM - Return positive response when Sirius XM package ID application succeeds via DID $2847
246	SWE1-Diagnostics-239	positive	SiriusXM	SiriusXM - Read CA Pellet validation status via DID $2846
247	SWE1-Diagnostics-240	negative	SiriusXM	SiriusXM - Handle negative response while reading CA Pellet validation status via DID $2846
248	SWE1-Diagnostics-241	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading CA Pellet validation status via DID $2846
249	SWE1-Diagnostics-242	positive	SiriusXM	SiriusXM - Read Event Indication data via DID $2845
250	SWE1-Diagnostics-243	negative	SiriusXM	SiriusXM - Handle negative response while reading Event Indication data via DID $2845
251	SWE1-Diagnostics-244	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Event Indication data via DID $2845
252	SWE1-Diagnostics-245	positive	SiriusXM	SiriusXM - Read Subscription Suspend Year via DID $2844
253	SWE1-Diagnostics-246	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Suspend Year via DID $2844
254	SWE1-Diagnostics-247	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Suspend Year via DID $2844
255	SWE1-Diagnostics-248	positive	SiriusXM	SiriusXM - Read Subscription Suspend Month via DID $2844
