tc_id	row	req_id	test_set	priority	design_method	has_pending
newR1L-SU-118	127	SWE1-FOTA-148	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-119	128	SWE1-FOTA-149	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-120	129	SWE1-FOTA-150	Deployment Flow	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-121	130	SWE1-FOTA-151	Deployment Flow	P1	負向測試 (Negative / Invalid)	
newR1L-SU-122	131	SWE1-FOTA-152	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-123	132	SWE1-FOTA-153	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-124	133	SWE1-FOTA-154	Deployment Flow	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-125	134	SWE1-FOTA-155	Deployment Flow	P1	負向測試 (Negative / Invalid)	
newR1L-SU-126	135	SWE1-FOTA-156	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-127	136	SWE1-FOTA-157	Deployment Flow	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-128	137	SWE1-FOTA-160	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-129	138	SWE1-FOTA-161	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-130	139	SWE1-FOTA-162	Deployment Flow	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-131	140	SWE1-FOTA-163	Deployment Flow	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-132	141	SWE1-FOTA-165	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-133	142	SWE1-FOTA-167	Deployment Flow	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-134	143	SWE1-FOTA-169	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-135	144	SWE1-FOTA-171	Integrity Verification	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-136	145	SWE1-FOTA-172	Integrity Verification	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-137	146	SWE1-FOTA-173	Integrity Verification	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-138	147	SWE1-FOTA-174	Integrity Verification	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-139	148	SWE1-FOTA-175	Silent Update	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-140	149	SWE1-FOTA-176	Silent Update	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-141	150	SWE1-FOTA-176	Silent Update	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-142	151	SWE1-FOTA-177	Silent Update	P2	負向測試 (Negative / Invalid)	
newR1L-SU-143	152	SWE1-FOTA-179	Silent Update	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-144	153	SWE1-FOTA-180	Silent Update	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-145	154	SWE1-FOTA-181	Silent Update	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-146	155	SWE1-FOTA-182	Silent Update	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-147	156	SWE1-FOTA-183	Silent Update	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-148	157	SWE1-FOTA-184	Silent Update	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-149	158	SWE1-FOTA-187	Session Flows	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-150	159	SWE1-FOTA-189	Session Flows	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-151	160	SWE1-FOTA-190	Session Flows	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-152	161	SWE1-FOTA-191	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-153	162	SWE1-FOTA-195	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-154	163	SWE1-FOTA-198	Client Architecture	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-155	164	SWE1-FOTA-199	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-156	165	SWE1-FOTA-201	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-157	166	SWE1-FOTA-203	Client Architecture	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-158	167	SWE1-FOTA-205	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-159	168	SWE1-FOTA-206	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-160	169	SWE1-FOTA-207	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-161	170	SWE1-FOTA-208	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-162	171	SWE1-FOTA-209	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-163	172	SWE1-FOTA-210	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-164	173	SWE1-FOTA-211	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-165	174	SWE1-FOTA-212	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-166	175	SWE1-FOTA-213	Client Architecture	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-167	176	SWE1-FOTA-215	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-168	177	SWE1-FOTA-216	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-169	178	SWE1-FOTA-217	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-170	179	SWE1-FOTA-218	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-171	180	SWE1-FOTA-219	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-172	181	SWE1-FOTA-220	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-173	182	SWE1-FOTA-221	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-174	183	SWE1-FOTA-222	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-175	184	SWE1-FOTA-223	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-176	185	SWE1-FOTA-224	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-177	186	SWE1-FOTA-225	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-178	187	SWE1-FOTA-226	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-179	188	SWE1-FOTA-227	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-180	189	SWE1-FOTA-228	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-181	190	SWE1-FOTA-229	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-182	191	SWE1-FOTA-230	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-183	192	SWE1-FOTA-231	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-184	193	SWE1-FOTA-232	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-185	194	SWE1-FOTA-233	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-186	195	SWE1-FOTA-234	HU FOTA via TBM	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-187	196	SWE1-FOTA-235	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-188	197	SWE1-FOTA-236	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-189	198	SWE1-FOTA-237	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-190	199	SWE1-FOTA-238	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-191	200	SWE1-FOTA-239	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-192	201	SWE1-FOTA-240	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-193	202	SWE1-FOTA-241	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-194	203	SWE1-FOTA-242	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-195	204	SWE1-FOTA-243	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-196	205	SWE1-FOTA-244	HU FOTA via TBM	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-197	206	SWE1-FOTA-245	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-198	207	SWE1-FOTA-246	HU FOTA via TBM	P1	負向測試 (Negative / Invalid)	
newR1L-SU-199	208	SWE1-FOTA-247	HU FOTA via TBM	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-200	209	SWE1-FOTA-248	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-201	210	SWE1-FOTA-249	HU FOTA via TBM	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-202	211	SWE1-FOTA-250	HU FOTA via TBM	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-203	212	SWE1-FOTA-252	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-204	213	SWE1-FOTA-253	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-205	214	SWE1-FOTA-254	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-206	215	SWE1-FOTA-255	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-207	216	SWE1-FOTA-256	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-208	217	SWE1-FOTA-257	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-209	218	SWE1-FOTA-258	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-210	219	SWE1-FOTA-260	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-211	220	SWE1-FOTA-261	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-212	221	SWE1-FOTA-262	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-213	222	SWE1-FOTA-264	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-214	223	SWE1-FOTA-265	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-215	224	SWE1-FOTA-267	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-216	225	SWE1-FOTA-268	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-217	226	SWE1-FOTA-269	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-218	227	SWE1-FOTA-270	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-219	228	SWE1-FOTA-272	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-220	229	SWE1-FOTA-273	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-221	230	SWE1-FOTA-274	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-222	231	SWE1-FOTA-275	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-223	232	SWE1-FOTA-276	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-224	233	SWE1-FOTA-277	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-225	234	SWE1-FOTA-279	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-226	235	SWE1-FOTA-281	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-227	236	SWE1-FOTA-282	Client Architecture	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-228	237	SWE1-FOTA-283	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-229	238	SWE1-FOTA-284	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-230	239	SWE1-FOTA-286	Client Architecture	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-231	240	SWE1-FOTA-288	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-232	241	SWE1-FOTA-289	Session Flows	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-233	242	SWE1-FOTA-290	Session Flows	P2	負向測試 (Negative / Invalid)	Y
newR1L-SU-234	243	SWE1-FOTA-292	Bearer Selection	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-235	244	SWE1-FOTA-293	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-236	245	SWE1-FOTA-294	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-237	246	SWE1-FOTA-295	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-238	247	SWE1-FOTA-297	Bearer Selection	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-239	248	SWE1-FOTA-298	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-240	249	SWE1-FOTA-299	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-241	250	SWE1-FOTA-300	Bearer Selection	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-242	251	SWE1-FOTA-301	Bearer Selection	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-243	252	SWE1-FOTA-302	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-244	253	SWE1-FOTA-303	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-245	254	SWE1-FOTA-304	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-246	255	SWE1-FOTA-305	Bearer Selection	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-247	256	SWE1-FOTA-306	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-248	257	SWE1-FOTA-307	Bearer Selection	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-249	258	SWE1-FOTA-308	Bearer Selection	P2	功能測試 (Functional based ; no specific technique)	Y
